,R10C-1,R15C-1,R20C-1,R30C-1,R45C-1,R60C-1,R90C-1,R10N-1,R15N-1,R20N-1,R30N-1,R45N-1,R60N-1,R90N-1,S10C-1,S15C-1,S20C-1,S30C-1,S45C-1,S60C-1,S90C-1,S10N-1,S15N-1,S20N-1,S30N-1,S45N-1,S60N-1,S90N-1,R10C-2,R15C-2,R20C-2,R30C-2,R45C-2,R60C-2,R90C-2,R10N-2,R15N-2,R20N-2,R30N-2,R45N-2,R60N-2,R90N-2,S10C-2,S15C-2,S20C-2,S30C-2,S45C-2,S60C-2,S90C-2,S10N-2,S15N-2,S20N-2,S30N-2,S45N-2,S60N-2,S90N-2,R10C-3,R15C-3,R20C-3,R30C-3,R45C-3,R60C-3,R90C-3,R10N-3,R15N-3,R20N-3,R30N-3,R45N-3,R60N-3,R90N-3,S10C-3,S15C-3,S20C-3,S30C-3,S45C-3,S60C-3,S90C-3,S10N-3,S15N-3,S20N-3,S30N-3,S45N-3,S60N-3,S90N-3,R120C-1,R120N-1,S120C-1,S120N-1,R120C-2,R120N-2,S120C-2,S120N-2,R120C-3,R120N-3,S120C-3,S120N-3
AT5G35735,0.10158274219338972,0.12404360984067661,-0.1264636338783683,0.04438877693101015,-0.029001641261314437,-0.04070247959102438,0.15554659418286182,0.05740250232517641,0.018136709190384945,-0.0653025037712821,0.043598014217761896,-0.01685347471301607,-0.027199357324373348,-0.006974141817675736,-0.011369050007836945,-0.06905613708853625,0.012269480371861874,0.23930361825080604,0.015718012000841997,-0.3097586134909071,0.12091203775658893,0.13836399840445202,0.11035525122557555,-0.40345586338813544,0.5357876957367839,-0.23910626505129917,-0.11837323878251793,-0.10649871893410967,0.11736655549744923,-0.13561139595875096,0.08670306451732719,0.10208304455555052,-0.04014695915485289,-0.1443750027691434,0.20425360881986054,0.10354380589186969,-0.1143712725074062,0.012923871901841976,0.06688462611722784,-0.07561443381007726,0.07258183961816356,-0.0455344102100801,-0.07067757215671822,0.22883379782025964,0.07888523801626196,-0.15661489535362122,0.20846546201169042,-0.09313481491600062,-0.5636876365631048,0.21924391113666647,0.1700400987135373,-0.08659679843863433,0.4557714664870086,-0.779039540732212,0.01954364227458444,0.06286860006484146,0.1607746806114112,0.042302646132299004,-0.13713240175702687,-0.012770196442751208,0.13798519404486637,-0.03136827334832601,-0.050469943363511044,-0.028887556368577386,-0.009066199907673086,-0.028786647201993157,0.029332243926640786,-0.06111090866367315,0.04342054323229502,-0.010351032754395015,-0.18106952658183018,-0.048001406099176136,0.0774623260584667,0.3176641051822938,-0.1114159989201321,-0.07543485185233822,0.10307084038810299,-0.10976772869547263,0.35389118630310074,0.181020753252206,-0.30511096869635734,-0.38251086461727524,0.09796676540783683,0.12607004962555884,-0.04799464107644211,-0.015262143890047292,0.41285144841340304,0.31897410443587637,0.27229003690532283,-0.007448769012318779,0.696039907117185,0.3828893811664078,0.017595146084286778,-0.04846053342009969,0.0962455462161711,0.5903668822976345
AT4G35985,0.004671313756131839,0.009204826723602762,-0.008343169677443243,-0.010360908765892672,0.011093378190566095,-0.006042228005833707,0.0034900231127377463,0.006529557802072355,-0.004213661886550164,0.0019473249229484905,-0.0008007383863378112,-0.007781144847200123,0.005541696044122952,0.0066828273921750924,-0.00883516917882013,0.029930180503576598,0.0017661878721251245,-0.029889779186055884,-0.0020550696227626952,-0.0037436662176890123,-0.005298790288892796,-0.0020628188052740637,-0.012896732436589925,0.033812925580701494,-0.01907859266442731,0.004598460728355097,0.0300918068409063,-0.00410652571367294,-0.0003905505934784254,-0.004860584464510557,-0.008226559612052762,-0.008210349962505987,0.016006989421098364,-0.0016926279712270523,-0.01795165095490156,0.0050075531043421734,0.003735826935394741,-0.009405352924435142,-0.011807129077020678,0.009321907567374346,2.2144751857692407e-05,-0.007127273919920962,0.015869517206702627,-0.012325433703687258,-0.007924218825449816,0.005157755630806074,-0.001357080102242475,-0.010406952388386403,0.07375665431104714,0.014812712404010692,-0.0036841897446983907,0.0032832246591593395,-0.00808619010571987,0.04399066983157207,0.004843656448226152,-0.022464381519279056,0.006753833909335535,0.010816165570686946,-0.014259590597110666,-0.006625913702035521,0.004848331182214923,0.009113582868277072,-0.011842489384248811,0.008525972802927394,-0.006368168587574062,-0.004911780835918499,0.002479420552756713,-0.006686627983250917,-0.012324489116853882,0.02154642234497796,-0.0074231376763257695,-0.001644982987163257,0.0068241114202245295,-0.0009029743793782241,-0.01371230600046848,0.0056611858322844905,-0.008068526564747727,0.010407629945758834,-0.009400914729587762,0.014344590317618061,-0.006034037747212173,0.043663322366742946,-0.009441708154721118,0.0041782625626306386,-0.008111516560559789,-0.01570799395086948,-0.00237776019951233,-0.0044343404763481226,0.0014696458627229958,-0.0005082381664938199,-0.0853466716467412,-0.00010907392317263676,-0.011375246769697839,-0.015390369012806205,-0.004484566937376019,-0.033203771330431245
AT5G63020,0.0004920646907919587,-0.013489502958490045,0.00017304529023044052,-0.006058033074181304,0.009067724390627058,0.006626923862668263,-0.01886162015005665,0.0076050353368757526,-0.005840774399722429,-0.005930396994872418,-0.0013906067053740326,-0.010005975622490344,-0.0017162740287618161,0.008450057249002212,0.0006828194202426752,0.000301350457861161,0.02492447475745187,-0.021294018566211534,-0.00442702571431787,-0.005287009613598487,0.011821755682049948,0.028108400521362136,-0.008827175619811743,-0.02711222104836467,0.026588510030922538,-0.03228979703733295,0.0018804913168245022,0.007520074098155367,-0.012345874211474914,0.03066104212759952,-0.03313736489602871,-0.0056930102455285125,-0.008528595486889293,0.045508272098709945,-0.037091252035780065,0.007629945496033963,0.019867787564852267,-0.02693786439488549,-0.013266508437538356,0.010487526417902654,-0.00941158294565983,0.006967741422996547,0.008843496137144687,0.004155941244817366,-0.02099619579891097,0.0016014454118550778,-0.01617233249333916,0.021218699509996462,-0.03476950953169416,0.03131480313474751,-0.04716130977586119,0.008588973662031468,-0.035231713139137075,0.030042787981452268,-0.013217917934098142,-0.010532415334889751,-0.004479395751857018,-0.010073523909335094,0.0037956303194529306,0.0002141910174283182,-0.015382080682368432,-0.004666855651706908,0.007078028875883026,0.013748047535891483,-0.001052255246593789,-0.007244204369066046,-0.00446357256928976,0.004796795335711472,-0.0030398429883346095,-0.001714736515867496,-0.004818908173754974,-0.007734772823808852,0.0008347703484437793,-0.018742761255948776,0.03084994199363361,-0.018328216991489864,0.009890012632254027,-0.07374296929959374,0.05101300520493899,-0.005694791015972957,-0.02823758036750848,0.009135871274941539,-0.007929924882903894,0.011923353664582505,-0.0006062068225528572,-0.0020682339635319166,0.016726280004709514,0.00225635271723576,-0.0017315861224604379,-0.0016025403067542396,0.03329753450547986,-0.008216288082501015,-0.0011390461463268303,0.004899954347774543,-0.0015497500854251105,-0.016910940299490883
AT3G19580,0.0318456009102925,0.023270395849364803,-0.022770167817266998,-0.017714324986730912,0.010040871244908945,-0.006044810568108074,0.031537578606079926,-0.0036320721769399745,0.015826674747532743,-0.01777983660170447,0.01401877762096665,-0.013705716234919308,-0.01427721751416249,0.02090866335014338,0.010223031738661154,-0.10560691110875867,0.030410044502668217,0.006994254226583525,-0.03563609853455395,-0.020306711301609146,0.17919562709462564,-0.08259643421255625,0.08354439509727296,-0.09992390097128367,-0.00321456347080884,-0.058816282243992435,0.004515683833364155,0.005600467217905393,0.032958921085218376,-0.020948613707420558,0.0035731353881849237,-0.0017051492501432338,0.0013121844223406456,-0.004890814462789176,0.0026477283440026656,0.02588906008347456,-0.015796513809378316,-0.00986486292810173,0.008443639891790134,-0.011222914648840312,-4.1112931262663605e-05,0.01004234522891569,0.011260663853423183,0.03228007036421575,0.001856464898650198,-0.009439526264383179,0.09738078130449113,-0.07722754623528058,-0.07825833330983237,0.0342588330968949,0.05245671592016872,0.1043162508630742,-0.0047216021839598665,-0.2533195933434391,0.007278129714101855,0.02089785419033248,0.01195353901169598,0.01802005314425477,-0.024878803274033804,-0.007642214887457484,0.01354291889459638,0.019716991771810567,-0.039950176815371344,-0.015413477516866213,-0.006551383353603449,-0.004027212008269046,0.02195353738873302,-0.031724010478309535,-0.005027377065330281,0.01203947985467314,-0.12820144088997215,-0.00547885579512602,0.010032407227301752,-0.043515255421681796,0.03156526177706319,0.05866930736792126,-0.0883354757999012,-0.06094842231644566,0.04986663419768891,-0.004133222554818544,-0.03959831934518597,-0.059751726641968345,-0.005040962737377197,0.004084427729734157,-0.02061222219949589,-0.01436220096919619,-0.16339076702858935,0.009629400188302363,0.04181030165349,-0.0012587435102333578,0.03392197769575471,0.009776552763371256,0.010531715110135599,-0.008806927459968195,0.01244230222610552,0.01826349562881531
AT1G80520,0.007680150532801872,-0.012993119287738202,-0.01033291618037483,0.002784677294025359,0.0011465721519275524,0.01232798320383166,-0.018985444755534736,0.01324863491646627,-0.003782404043523282,-0.013334720928080995,0.001054102729358429,-0.015201301004557362,-0.00010148874060917495,0.006071310908256182,-0.019411289968770284,0.04303288871809377,-0.01313472027179903,-0.016814641685943252,-0.0026831185973431315,-0.005919951871818929,-0.00886350585555877,0.013600656295946006,-0.011942202633498655,0.026631114318941843,-0.02538579794963426,-0.009040903540357498,0.03528518760227323,0.013918982585201509,-0.007197337556288846,0.02830782471292237,-0.035742235487852256,-0.0026750844865860296,-0.012638437055003504,0.04742275995078409,-0.03595780299595497,0.013006956739144433,0.017613719413417432,-0.02848056584580927,-0.014467803285241602,0.010048155757259244,-0.008242117955820874,-0.0008337207375321357,0.009773260513420534,-0.009827379066735739,-0.012714374747066284,0.015059063987271304,-0.021701711743172467,-0.009771639026521159,0.08453091245427957,-0.0033641745146033297,-0.02224550737582648,0.016051887112861513,-0.012995462601343544,0.04612943780208331,0.00546944630182529,-0.023962390842846862,0.002493617707144416,-0.008011038966100212,-0.0026162185267969637,-0.0005047931695932872,-0.012908962104181125,-0.009761406774389157,0.01313242068956795,0.02113053548903509,-0.002388079390924759,-0.013008953090598754,-0.0023312213653717204,-0.002234642973877335,0.0035642435800545963,-0.008083921210241686,-0.008186296736315948,0.007994431871354929,0.007068303284875954,-0.0007599254276843687,-0.03540790777225061,0.007886313259470479,0.0020411128135273127,0.013659177042701726,-0.013022164516029361,-0.005432361875474023,0.0015491993601024767,0.05496210321403308,-0.019496853126349398,0.011919188940816644,-0.0016945563307972575,-6.6421062075439075e-06,0.004093997283328557,0.003123052454699335,-0.0040771947445748385,-0.0007244853582528687,-0.0772289101731682,0.011127608276892534,-0.004045671119893818,0.006943486758562309,-0.0036598970974585365,-0.036058582196578384
AT5G51920,0.0007759213244176028,-0.012003079068192403,-0.0019213974768483577,-0.0031771156704920173,0.0035134337592391124,0.009528937838558092,-0.02196948543903856,0.009562290371989773,-0.006509054444002169,-0.004763533533515933,0.0003311489673495163,-0.00980791593675525,0.0011700702633836435,0.0014633642936710337,-0.01768077238549927,0.051994657877465114,-0.008551794905893695,-0.027663439887006452,-0.0006740879103556974,-0.010112491647499458,-0.010559531498582186,-0.0009274306994241366,-0.01677088298081794,0.02774962119928387,-0.017224890143548194,-0.0002878685950048754,0.030632824879867307,0.02483642102263177,-0.010995516839957867,0.028552664048278557,-0.03184173260385077,-0.0008622997821155567,-0.01101571913176759,0.041185916142408206,-0.03432031029529342,0.008445864596433546,0.0178280088414616,-0.0250574266987428,-0.012240158644376102,0.009937538534495798,-0.0021708164933972457,-0.0031282723597983314,0.008492194127057415,-0.013328522711253413,-0.0029078455872346975,0.012362149623173446,-0.016120314146377365,-0.010397983574685146,0.08903651131417678,0.011977055694790323,-0.018291119890004565,0.007320232701825746,0.0010038166174886343,0.048836105007332264,0.01422367217702758,-0.027189323594441234,-0.00253739185329898,-0.009314593923047662,0.004588479325704442,-0.004633263182293394,-0.00796982291187804,-0.007325933120490964,0.004352546446321541,0.010513947192734373,-0.0014225763646830772,-0.00578469785012381,-0.004177129163978832,0.0034316908148851397,0.003137512145933309,-0.007186388321349255,-0.011712381617217299,0.002740706276638624,0.009622323626885074,-0.0009612578462508542,-0.02185749494490527,0.010679957506556662,-0.011723499137987883,0.012071040377193781,-0.0010064164582300472,-0.004216108423565318,0.0018383317959130563,0.056997912738441875,-0.022344640359619736,0.016823886802094457,0.005684470078729742,-0.0010471541629367628,0.016822151889506004,-0.02271299240903639,-0.0029614060314917257,-0.0053546206528889695,-0.09013406943884839,0.007126893429899014,0.004379203294789705,0.002995721274901851,-0.0013624254713486272,-0.04035431646585115
AT1G80530,-0.009790197178050805,0.03429609460000661,0.009582804354482027,-0.0023278784524996057,0.003197640641168717,-0.03051986295501621,0.035512157641510084,0.008129558814364057,-0.008200478463624532,0.02025510320034833,-0.012537457314817702,0.010758835550793829,0.018764644885549076,-0.028045118905717134,0.07057893454261585,-0.09035300431649904,0.08999296109544144,0.10672128576262396,-0.07718531498883696,-0.06779695249872386,-0.024453658624490976,-0.04237355804849524,-0.029750339382439928,-0.09348321658749703,0.2523479625534757,-0.05681925985818492,-0.1802977297666437,-0.006343018462740768,0.03053404731991558,-0.039113817117172184,0.05204515734711773,0.0016988296925284849,0.02151441932413982,-0.06948073357592577,0.03661866189309895,0.009520109736278898,-0.024196366613230224,0.05683414661953211,-0.013672476485960525,-0.021854792874672797,0.034655734976905966,0.03070793298831597,0.001168584471698375,-0.0011626950138836634,0.09072020267980668,-0.11019297850769622,-0.009429455293514355,0.012936649961348912,-0.32861291343803345,-0.09180945187913314,0.033802853077190664,-0.019816516509702564,-0.014000810310882295,-0.022943624383993944,0.015619612855023779,-0.004712637346016624,0.0044643869933108475,0.01968479480147843,0.00024188024142511588,0.006749366864334118,-0.002650952310321808,0.01409090943065159,-0.010409195986938118,-0.019207460085551777,-0.002844143643417084,0.027691713771601588,-0.012006013061847794,0.008486930516827577,-0.03241413553959891,0.042457799328425326,0.0931589862714331,-0.03572339806005681,-0.008732384052358766,-0.016509811911681632,0.08826755994133542,-0.044115377945369016,0.019699088887102645,0.0796204029397608,-0.024235960863938588,0.13553160621850502,-0.03820566878932208,-0.2266141718222675,0.004799848379878235,-0.01895071259059039,-0.011799669027151231,0.009191320832582478,0.03656887613715418,0.00458440824334827,0.004212049347599542,-0.0002860094543594982,0.393601255294067,-0.09268446845603934,0.001099587482067968,-0.005079999793491288,-0.013916046235682933,0.08604715599503049
AT1G55370,0.004404038898929395,-0.014759064675185785,-0.008689702098721254,-0.0002521451348649409,0.001928272638526872,0.013579873436352308,-0.022293883293489566,0.012987972335043022,-0.005320366066066055,-0.012737390851841772,-0.0003277740770589732,-0.01623491200758638,0.0002369669807174707,0.00697175891548079,-0.029572252979868013,0.05646698227603479,-0.015355145143113286,-0.017366240396468446,-0.008310340605361094,0.0034235131606418917,-0.017789887798104226,0.010664924259099595,-0.013309776705656196,0.04524062801285038,-0.031909720439366615,-0.01133172406402716,0.032359513438628654,0.04111689712895926,-0.009967294500430678,0.03205423633185246,-0.03961422857230315,-0.0055453713782383784,-0.01144598890399201,0.0525142941395167,-0.04226434757880597,0.011395706888262691,0.020323992223049325,-0.030818108687691154,-0.0177206424577315,0.013593240103327561,-0.010791160590252147,0.0004232202581089875,-0.003006792817280002,-0.022019817764071595,-0.0023034455459260694,0.016821689779018933,-0.022794024673815763,-0.015392261122283993,0.09334621457146977,-0.019512415178225745,-0.009763507729468573,0.006718203940322298,-0.010806292931624967,0.05961621701191236,0.0065315871149063814,-0.017795010988476828,-0.001088187489442928,-0.009927972569051702,-0.0019883552940317822,-0.0008817418459283466,-0.01653073064819959,-0.008977967522826327,0.012867543557504399,0.02145605579145239,-0.0011857496020692068,-0.014974572708823283,-0.004087061575960581,-0.000833687682358919,0.00566320489609097,-0.010687739872984742,-0.005026106164759153,0.006487023210850373,-0.004632328613581094,0.008519082881768378,-0.03460322845472369,0.01134737211237534,-0.00380714210794382,0.01988250070906676,-0.03328871249133554,0.005878580244365855,-0.0002680339874358839,0.056622560900450536,-0.014561182759573424,0.01913965849100767,0.0009239359287825238,-0.0015007011078349217,0.013800044470825293,-0.019329057759978924,-0.003145253232333327,-0.002083392612723077,-0.08305704661573343,0.009186425254891106,-0.0019797660198561384,0.009330569595847889,0.0056738325617007035,-0.047543675721116146
AT2G19190,0.004128460909232211,-0.012791157700344585,-0.005926834648971438,0.001145515583412797,0.0010734634039131496,0.015026507156944528,-0.018801185669446753,0.010517945724485837,-0.005223345609230875,-0.012055051122981046,0.0043831226793092995,-0.013251588293248157,0.0011264243532687138,0.004533528170082922,-0.05561957337626244,-0.3975878402910207,-0.01125660882610191,0.17670862966942236,-0.21865834497847575,0.5092757230847571,-0.19816619926746504,0.3486452437871237,0.26081521559320087,-0.9454787907290734,0.14173074172619604,-0.05643496875467702,-0.008308532066639451,-0.3452400142912224,-0.010099570949687706,0.030684290930042574,-0.03685853383101302,-0.00031526089820219094,-0.011146866021310604,0.045704956086151896,-0.03297308994053044,0.00992155821182255,0.018556293903386496,-0.028882647017684945,-0.011737124749396276,0.00956072787177386,-0.006829018568291566,-0.0010592933122302098,-0.21184997941237887,0.35572624967292443,-0.1736798705935697,0.2192660451519136,-0.1717453785551663,0.06060144173302223,0.3443118480407579,0.06640429175764695,-0.11247142773503926,-0.246373571712939,0.3848476330360225,-0.5037086866487201,-0.08322293615056908,0.05341393101321104,-0.0004967213954657629,-0.009529428963298482,-0.0005271883920479198,-0.0013187356694492128,-0.0011633916163159633,-0.0030949353902357812,-0.0024413657171720032,0.01995885378335778,-0.0007951142383829449,-0.013546032484624326,-0.0012677014618929366,0.002502186447829187,0.0007876733080414977,-0.005808002212501197,-0.8327705123869066,-0.19018442947002634,0.0749769061740877,-0.05000936293039551,0.35391224536604504,0.02339086786471778,-0.3949348107113112,-0.46287709682883715,0.4104389645304537,-0.11319683290789218,-0.43292033148361786,-0.06304237726272324,0.3758925734399118,-0.3958697799175708,0.003309697785750833,-0.0025176167781847114,1.2161171139084694,0.08307864259076575,0.007783335976993724,-0.002239190541711074,0.023194888077048392,-0.12753832585258415,0.001964100989189664,0.007443922182928657,0.21187344986622367,0.2576445269833919
AT5G58340,0.010810805468336904,-0.010408670682613974,-0.010275459980295998,-0.0011590478496317988,0.002985747859057683,0.007402689345249833,-0.013933175477881067,0.010499439686269499,-0.004674111796286091,-0.010367256999961067,-0.0023799766228837158,-0.0081955739936376,0.0009692837597401402,0.003701891712780271,-0.021744873874382134,0.0365058374165312,-0.006249748964905044,-0.020794118946509246,0.009369298531717099,-0.007416305737728182,0.02514946922008686,0.0026732571625688595,-0.011145241347495824,0.012016754729527582,-0.0008309537074597806,-0.011396191078713452,0.022710160941409277,0.005168639004567613,0.000663419959768291,0.015219743662021131,-0.028957067042117438,-0.005082162983351249,-0.0037027428243636765,0.03516699240598936,-0.02805476502888736,0.013574937452791501,0.012489142582174291,-0.023894931587091925,-0.014945077946942227,0.008749508337529265,-0.0026627834561734898,8.374412368437889e-05,0.013372176621134962,-0.015343969834028706,-0.0026120322800881057,0.010025401844702145,-0.008980140617554824,-0.005221506776648899,0.051228660011561136,0.001719447818895506,-0.0018898138358400263,0.017541173035913585,0.012657669374241426,-0.002160197212282694,0.009375552284106373,-0.0366999440759377,0.006318089354906381,0.0005089580461163611,-0.013337694424204159,0.0010848114866590722,-0.011187622519295351,-0.00298503493736884,0.005679806531332869,0.020408365421557485,-0.0012560044056143457,-0.012617822882285534,-0.0030802853418409396,-0.0020564764437865854,-0.002115449839926488,-0.0007021304949653279,-0.006225412987761247,0.006364818329924221,0.013857823083828685,-0.005570778312363994,-0.023886767578987958,0.019678274206036184,-0.004749366975433433,-0.00022747743565945666,-0.022520226063985155,0.010277539053669724,-0.004527512219499263,0.03508344218894005,-0.015381715270545951,0.009581729836761449,-0.0005527861518464794,-0.002765021207594087,-0.034534076107969616,-0.014342666732467521,-0.003969586711821828,-0.0022664128620212692,-0.057871171274647915,0.014549090915991145,0.0006706901800654988,0.002877085543406002,-0.01088441760671044,-0.03568308606475097
