,R10C-1,R15C-1,R20C-1,R30C-1,R45C-1,R60C-1,R90C-1,R10N-1,R15N-1,R20N-1,R30N-1,R45N-1,R60N-1,R90N-1,S10C-1,S15C-1,S20C-1,S30C-1,S45C-1,S60C-1,S90C-1,S10N-1,S15N-1,S20N-1,S30N-1,S45N-1,S60N-1,S90N-1,R10C-2,R15C-2,R20C-2,R30C-2,R45C-2,R60C-2,R90C-2,R10N-2,R15N-2,R20N-2,R30N-2,R45N-2,R60N-2,R90N-2,S10C-2,S15C-2,S20C-2,S30C-2,S45C-2,S60C-2,S90C-2,S10N-2,S15N-2,S20N-2,S30N-2,S45N-2,S60N-2,S90N-2,R10C-3,R15C-3,R20C-3,R30C-3,R45C-3,R60C-3,R90C-3,R10N-3,R15N-3,R20N-3,R30N-3,R45N-3,R60N-3,R90N-3,S10C-3,S15C-3,S20C-3,S30C-3,S45C-3,S60C-3,S90C-3,S10N-3,S15N-3,S20N-3,S30N-3,S45N-3,S60N-3,S90N-3,R120C-1,R120N-1,S120C-1,S120N-1,R120C-2,R120N-2,S120C-2,S120N-2,R120C-3,R120N-3,S120C-3,S120N-3
AT1G78570,0.07359331736877872,0.23576825999888743,0.07911351646848985,0.12230340841356097,-0.07557334392968429,-0.18702231736212577,0.3484830559345879,0.021632777588879104,0.02573645565994681,0.08944900730946853,0.1290381774027924,0.15765368899457438,0.02468999767714375,-0.12098913781421478,1.195977862628578,-0.7984243367814785,0.2064084486933191,0.730076951354937,-0.47078539545210907,-0.3909981868632375,-0.06343199327589266,-0.6218561148282586,0.8003061119565311,-2.2024049699590913,1.626142181701357,-0.3928423239221148,-0.48403159482775715,-1.1130992066480774,0.1907845987965326,-0.2169222077994964,0.418466930851249,0.21901460435008413,0.04440928044781045,-0.637409876725398,0.4446073231255344,0.08051224325990106,-0.1691299818625387,0.1705719890165353,0.1405447999729336,-0.10135209932458755,0.2133158420268077,-0.041153946417344045,1.1302223520224453,-0.3560545533352881,0.4501369159083999,-1.1848530802752193,0.18885680739723432,0.9148490810162704,-2.2252507713188767,0.7727914401436342,-0.4756526568470947,-0.1090076248741898,0.053907369632954616,-1.2319240247906478,0.18821164526170553,-0.6127188417805078,0.23290940439813954,-0.0039014202011757315,0.012134129592457632,0.01925028006743762,0.35824849767744493,0.1261569591405699,-0.09425038323785306,-0.05850028795984455,0.007300062290850423,0.09801370141917315,7.488957200096902e-05,0.09068742111287204,-0.2332395625725815,0.19264113897660506,1.111449927428965,-0.8788606311943665,0.08795083560090644,-0.33561387486692773,0.8587689694336293,-0.4305989744444161,-0.29104684973492834,0.06401971747576107,-0.8287851478169772,0.3681034366701348,-0.3428934754379962,-1.976009574707425,0.29230136728430867,-0.2538888446729648,-0.195605579040467,-0.2037984942508525,-0.4449905113047745,0.3360610168810484,0.028460197104022922,-0.1777789878897387,1.6373805349375297,-0.3447426459907801,-0.2805929880295,-0.17776053352721474,-0.08702571966167705,0.4643605884115496
AT4G21510,0.001380841811071419,-0.014345359665133589,-0.00894057718962997,0.0001281506943887692,0.001099768730213939,0.013142553812024636,-0.02125638559094272,0.009330191120561337,-0.005454134338026859,-0.011761576710705601,-0.001880686323671353,-0.014054170104302127,-0.001538421160664008,0.006900491514665159,-0.014060861335115263,0.02927562556343194,-0.0158730688415519,-0.018055379623430803,-0.0012198733913212217,0.0018810406365129678,-0.007024001983677253,-0.007211540039630079,-0.014188857008798128,0.024608591312214295,-0.028250546439579,-0.004509831710923173,0.038501343413022734,0.039556479441828094,-0.007660007149807378,0.028580353025343133,-0.035894001596039705,-0.0074441228561021935,-0.009622008629972575,0.04918748588139811,-0.040384127073807626,0.011001889629728812,0.01836910289365961,-0.027974750818322187,-0.016359978061791895,0.01118764012278034,-0.0075689300859258304,0.002652401392540131,-0.0015234980743254328,-0.023820927737226702,-0.005868367312306,0.00939326797744959,-0.006225823881490858,-0.0070100148515012395,0.06944695105375416,-0.006140713275780571,-0.018205309895550373,0.00015149712798387394,-0.006832471879498092,0.03856498600869687,0.011973857074252345,0.0014094198870920338,-0.004472218944658553,-0.008360284263928902,-0.002669168324138646,0.0013563647679026916,-0.0174604859984928,-0.01014007228483238,0.014762667192864398,0.021499298028019483,-0.001571901409173862,-0.013296532031292448,-0.004741074877885804,-0.0007606935426332714,0.00565167589216143,-0.008572421609600984,-0.009215968423639934,0.007994431871354929,0.004668004855090488,0.0036986245087359676,-0.023263782995196255,0.01296398728722059,0.0002473593223206866,-0.0013043721971830319,-0.013934397972789378,-0.026372775631407247,0.011667107058478177,0.056230584007268686,-0.01392654794608042,0.022327441136697143,9.850132068134343e-05,0.001120600375492005,0.011629138031012287,-0.026273875780278358,-0.003280660073332012,-0.004166903865756431,-0.06848670550932033,0.0086766383529083,-0.003913175419096707,0.00957930233385898,-0.010592778318603807,-0.029865744990662038
AT1G69490,-0.025571160480181918,-0.013648512852933274,0.007162885168514328,0.0002978785421575286,-0.0018342496869763261,0.012009390790974957,0.00511249882432176,-0.015774442981255535,-0.005452744942013213,-0.005335134463179833,0.005210125823334473,-0.005309703792710771,-0.008647814363822351,0.053983783645894214,0.32769806323906303,-0.9398874331667284,0.08925540069686966,0.26791505146037004,-0.007503887075032245,0.13416917248059823,0.8060552565411571,0.0761618175661577,-0.10421496207179803,-0.36197303459414176,-0.3633784906919114,-0.10203527446481025,-0.022951565122661714,0.0113676820646217,-0.025666098582655086,0.03127463364359659,-0.025185339600950332,-0.004842149187599426,0.003131077745497028,0.026073107329032476,-0.009634304105864015,-0.0032969679124217333,0.018828671227891,-0.014735841643669933,0.008830200968931248,-0.010984139778292514,0.007949349383653083,0.0771095174329596,-0.03114264967495517,0.05271626819453745,-0.10691905266112717,0.11278076530533648,0.2083463956485363,0.23111305067813004,-1.082810983464304,-0.20779705401282345,0.15805899499982978,0.00859606866220275,-0.3773533789437401,-0.4869932028768519,0.021065133645325813,0.06929904320459095,-0.024425138495831437,-0.009244426848707875,0.006768863558339659,0.0016723272539609021,-0.007443172432279731,0.0005469847799389124,0.010861048577587067,0.004443626246788859,-0.0011925715758557692,-0.0038517045269808453,0.0034910375782446976,0.0033841761848644736,0.0482710666290681,-0.002873975129964297,-0.1364571501933486,-0.15600536190099878,-0.010103416873255333,-0.13618880900852126,-0.004125673768354043,0.7138136065095096,-0.643861145790139,-0.45690863475618704,-0.0016578769449980824,-0.42220988011090177,-0.09004589028597346,-0.15577740237339113,0.008454906003907282,0.009013311840413478,-0.012320064854113057,0.006591764776629749,-1.0414058001243278,0.04359806457641724,-0.004975507560471933,0.01947199919383833,0.8839973073899141,-0.024103979149839912,-0.002870450965924011,0.03757996713909699,-0.08797198744823603,0.018234277430139494
AT3G50800,0.0019684133786104577,-0.012832017577654245,-0.00582508282120181,-0.0014028203522764432,0.00039406768682691273,0.011397602605774534,-0.017417881313020446,0.00393757549690146,-0.00793501703773379,-0.009868708420929857,-0.003409094553763231,-0.013101097404067778,0.00035438045275314883,0.004746277410707003,0.0008878449362510893,0.01981608952009893,-0.008465737533363993,-0.0076416475094931435,-0.0260713116533116,-0.016804987571220634,-0.0069423688068284695,0.02248273148695709,0.005364145136767029,0.025052070097876987,-0.03836155435361687,-0.03417291634885705,0.042660843017166925,-0.00751199138046435,-0.008886813964451741,0.020535128426225808,-0.025996710254316522,-0.01409883043393384,-0.0064140334257414555,0.04341043327963317,-0.03526595397413981,0.001234758183031981,0.017214107684554336,-0.027217268804188163,-0.018021859528726515,0.014199742970007534,-0.0048284731667983805,-0.007115990933493348,-0.0028491790615871454,0.010257175079373994,-0.012657154074599573,-0.005009893061629037,-0.022222758398083395,-0.022113548253817228,0.07610740154229785,-0.03527041478701408,0.009165142008582483,0.028045572872151273,-0.05268273613978168,0.017657773571677263,0.020870062162810232,-0.02422919826347665,-0.009270683778137345,-0.002415740666235403,-0.006565898453515177,0.0015134608926447649,-0.007779842499231915,-0.011727761193595282,0.00809901711575646,0.010253574983979517,-0.0024509618521978485,-0.011551798953354807,-0.0032769894695683296,-0.0020325024259587043,0.00271068374839753,-0.011648514106797223,-0.008239942913415316,0.055936388729333646,-0.05364139896380406,-0.011635586403010503,0.01209440020260208,-0.050681245429327074,-0.0015508929922090076,0.0022146124293833253,0.013721563752807683,-0.004600042705568963,-0.02414217888264858,0.0498050547651383,-0.038444735959641776,0.018679255956066454,-0.0005342440643701096,3.533506286249044e-05,0.011418368222161218,-0.006532774173637568,-0.002488359142782788,-0.0009652770275863712,-0.06349115998712154,-0.006328700485225089,-0.002956374592308998,0.00902408045638508,0.018558352387947022,-0.04884547932519957
AT3G17860,-0.05655173626927791,0.010758465362108494,0.05526743017369299,-0.0049993934781628405,-0.005499799696783551,-0.0002613819426295419,0.06349678982786897,-0.07495715547320851,-0.006647809150878333,0.07217215139907239,-0.03631410257584468,0.013515470912699255,0.01664446478079197,0.0028186887468677688,-0.007760014553970754,0.02722980327596801,-0.0017887477044090522,-0.03369858084150808,0.005088533693295955,-0.006985035369774045,0.00011482707657625713,-0.007753595993132592,-0.013120041369584529,0.048710855589911395,-0.0597868416025657,0.014739638181486825,0.023672810304490227,0.008048460727879167,-0.01777038070511991,-0.005362450859310419,0.049683917836089504,-0.0006940996722320236,0.014843672660995691,-0.05444377744748426,0.04243807647746635,-0.07600739942854272,0.0043819924377996745,0.06562219878394279,0.007617329628472516,-0.03602458177254594,0.04426863331364867,0.022736503501852967,0.019943490334070127,-0.021708839479319897,-0.0019705062845358085,0.009268973833940805,-0.005071816872970716,-0.0177392533415288,0.07218948949021334,-0.015498374625116593,-0.001871216181188462,0.016309664510386,-0.012020580571023023,0.02864365120433962,0.010277390617623144,-0.00908036870960334,-0.05653253881091737,0.004299450835196514,0.057421082050551166,-0.004844881087133025,0.009586711226734095,0.008412040795371167,0.022174626737959835,-0.07460552844060545,-0.01388283247536853,0.05928111056475303,-0.02380892807162316,0.01867349122983082,0.032985052844301574,0.004020047894558371,-0.019770103218710755,0.010572554108716867,-0.0014014605528684942,-0.000271194032218397,-0.02223388601588147,0.0167956946740946,-0.008810614545805173,0.010345612625359255,0.005203163081146711,-0.02754042702671408,0.014537389844666612,0.04151523512444401,-0.014582729717928053,0.004293363196365946,-0.015784592187236768,0.009761756120728188,0.011410069919057284,-0.008467385754103413,0.009819301729320558,-0.016638258514723905,-0.07140077373060295,-0.003707350309406998,-0.01000342930152831,0.008811508952699304,0.0010647528948846685,-0.030100375516589867
AT2G20630,-0.10973807802887942,0.048996366967867265,0.10215135307133508,-0.011620475322593832,-0.0015027572330963412,-0.01749469796692457,0.09300628409681397,-0.07460368182225044,-0.021082281389023957,0.1084805550927902,0.012929764882648673,0.017748084294921265,0.045909149808264854,-0.023400359968356044,0.01168998562737053,-0.04689228052696881,-0.004702181790723486,0.0598005066158164,0.015353309555587835,0.07980883474490569,-0.06289814361838544,-0.04362289953488971,0.03883765609113107,0.0010065142925231307,0.02044874820889714,-0.07105541080331834,-0.03913086016181494,-0.03273109918634853,-0.11253617697129739,-0.030737983096236026,0.13825638343805333,0.02061346462087499,0.03377865370834213,-0.17170075248778702,0.1488694966238977,-0.1922067252169105,-0.007342617810901689,0.1025982513117879,0.05677431302041623,0.014802420664649624,-0.010445906547895761,-0.04958312015693693,-0.037471766503199055,0.023369243130981904,0.002895273064799947,0.03091476580261493,-0.0024879993516777055,-0.0033582496310756438,-0.26827706783593175,-0.0735122429224842,0.07883087043345505,-0.08089403815280619,0.002383778134586595,-0.03368767423144611,-0.07015749329184906,0.01930583793809046,-0.10700503411887882,0.01941798264231809,0.08669258734256235,0.005872446317237379,0.09144576850805985,0.015905800285097554,-0.018017614436265872,-0.1685394167956873,-0.0023895250814867444,0.10204727479053158,0.019055713836784838,-0.0020259672710209453,0.012310623156870093,-0.012096525168834221,0.05326804111573416,0.026606653398994706,-0.01701868101911788,-0.030121580572298773,0.060222449949889456,-0.0533241433067731,0.07283559816041019,-0.08325206871370308,0.007996792847718842,-0.003609420682534892,0.07188990782654431,-0.12174150271985165,-0.009341560381287667,-0.059928975331499615,0.011738188456439758,-0.04715263216654081,0.015227719627928404,-0.023789436546437365,-0.00749960309587977,0.011801567658222309,0.2961881176111908,-0.057425925725171495,-0.06285454795611806,-0.02893861090447654,-0.0099502076743484,0.015700017912182868
AT2G38090,0.01483543420360189,-0.016656892076787114,-0.008161676466493357,-0.0009964183449476596,0.0036129794480681057,0.011134232977818716,-0.014324288556990833,0.012323609117384789,-0.002833150071446692,-0.010109401491703116,0.001185586799095431,-0.008685157480996554,0.0001542465704819293,0.0005446087430755822,0.010889364665688489,0.013156208533636436,-0.000893960932604132,-0.011931840972475453,0.025816569960016526,-0.022687343432161968,-0.0007628536084227158,-0.021381508671004322,-0.018919630121228166,0.021413404877418864,0.02699774292316338,-0.01222425328376613,-0.005633856382596544,-0.025012952810356523,-2.9168545637687365e-05,0.018280517015406436,-0.029097857641390994,-0.006834877400014337,-0.004610651108998422,0.03797213205233302,-0.028719466212334663,0.01567142431938814,0.011585769526300275,-0.022129352815760443,-0.01270795538599085,0.0059000342245868614,-0.0036072442462861884,-0.0032167776005853216,0.03671803222993031,-0.030782226221495734,0.02073375012328427,-0.024113783373103746,-0.010782542059179855,0.009202841721755166,-0.0010754658837672515,0.03253215082978889,0.00943440916026319,-0.02001339705793151,-0.0014309640370445617,-0.0033140267603220808,0.019160905028370742,-0.06314290816463436,0.008654342131269574,-0.007080778221137209,-0.007406465067261336,-0.0011082673074142152,-0.009783294473008172,-0.005145895109010062,0.012928403823333698,0.02526048700195651,-0.0043692045466849,-0.014340306810913021,-0.000260596917338575,0.0010447557382580464,-0.004788876495161458,-0.0029907299536941767,0.010275958047410771,0.03923568124965919,-0.029431786410179385,0.016632269290783156,0.01144618363779604,-0.027062272997239567,0.03794469473756163,0.0494341538068314,0.0017861064087704229,-0.0025690673801110446,0.018063979619668977,-0.04029829262043815,-0.009916179147895637,-0.009011171809476477,-0.008292057741244564,-0.004493487744614902,-0.017306483265108336,-0.011435811258021358,-0.00462582568900298,-0.0056859259400773715,0.006446477323661409,-0.00348483354754818,-0.008083011228207218,0.002479450651591067,-0.027260301178559578,-0.03200140050211625
AT5G48657,-0.008284292806893346,0.012410006847285344,0.004128658377355104,-0.012378035098841127,0.009814080874335575,0.0022626197781458607,-0.011680493445372038,-0.0006169756564305719,0.00260538123606119,-0.002490337616942109,0.0074595911217755165,-0.013131835607346836,-5.529668902585702e-05,0.012050160086874056,0.028001714451661025,-0.06285830316550262,0.011995330661130704,0.05834595766107706,-0.019472187592814383,-0.021251475968665945,-0.02280120696267586,0.00217109524105763,0.07807654799201333,-0.10272038420988494,0.024854417661943157,0.010683385373776666,-0.06671882994855821,-0.14953190023410637,0.00030039805770824476,0.010281425027811836,-0.010554391251482602,0.0013368038328181384,0.002268505018310189,0.0069461243257089526,-0.010733710874475177,-0.0032852426438338394,0.006761272642675285,-0.01342781825891092,-0.006475552531770887,0.012143353347364681,-0.008601916975657771,-0.0007403778646278558,-0.02313663483112125,0.10502864054112399,-0.0008212160007570746,-0.024977905160786074,0.04267968295980898,-0.03128781899462241,-0.16778262369996372,0.12203995183863015,0.005429318026940022,-0.04377125472813173,0.10227784034395568,-0.20606481560490536,-0.007311586101730869,0.028450078594435046,-0.003957494754174545,0.001270054941019512,0.0022226890282607305,0.001301334143643789,0.013686337821180488,0.000768837612243905,-0.023620854296778255,-0.01018722086785355,-0.0008435969687029393,-0.0018261193683024868,0.009817197177089263,-0.012046728538535483,0.0017255090414561476,0.005689512857554681,-0.09945565026330108,-0.016302211111022022,-0.006292584178711397,0.0479968400329681,0.12914258287161337,-0.08031647553028123,-0.10592970667209449,-0.1329501278331689,0.18104844556253097,-0.033626102560944365,-0.13338087897704187,-0.02071788746934035,0.07150323458711784,-0.123176274825848,0.020458920838681557,-0.011367605664455936,0.10154754027195924,0.03873895994777961,0.01607543746189727,0.011254284569107136,0.1579780248303578,-0.06942796520497024,-0.0015004691191287563,-0.005149491922461297,0.03735397729975777,0.125800354726459
AT5G56040,-0.005713781864242528,0.03324961667400418,0.04684735861134154,0.030745483259482217,0.010602383103011467,-0.04693494526860752,0.023236876951216748,-0.03259044856467817,-0.0008805407547943511,0.02351857156023307,0.0023474194201642956,0.05351790848689326,0.003012813139062695,-0.021462041270175813,-0.033222993421911595,-0.08156169923141282,0.10944453733206075,0.04223173816761874,-0.0610053087660761,0.11814111134125624,-0.08653013769052131,0.04234431585410969,-0.17660415159773785,0.0019740679248918536,0.0226876755958125,-0.07171535657326461,-0.03385448464413232,0.09678912017417032,0.004078607617182661,-0.023870621155851736,0.10443248829333056,0.022902003650081867,0.016714340171013975,-0.11531030903096387,0.11784584053990926,-0.0015606389762142375,-0.0215113027865216,0.03015720294202158,0.029158888518178404,-0.034679388381636075,0.04886912006536695,-0.0010285756447745154,-0.07567550154104996,-0.09021693683302445,0.13288238898974264,-0.07780162074070396,-0.06865896896345919,0.05772349316755124,-0.28394871604426986,-0.06690796456342996,-0.008617099917186455,-0.08034549627802787,-0.11260510699480791,0.0022443122963756723,0.006377995095348449,0.15835974151656546,0.02015559482788639,0.0025970381762285485,0.048781852399818214,0.007631613320655581,0.06075441536465456,0.04695947699697736,-0.03858176736037672,-0.054247979764376994,-0.004437575960313182,0.035367678858232526,-0.009396522487753835,0.0394724726106636,-0.08031167753686427,0.07174321185362771,0.12823899915003334,0.030373287503595914,-0.15677292884610242,-0.009504661910002515,0.10086068682841964,-0.04685528287474408,0.15917568901637605,0.26796138477123094,-0.25362763332811605,0.013404720180296814,-0.01947144849270388,-0.13267950795011924,0.00855889178624658,0.045153594571124,-0.01678158687011548,-0.002070714716402619,-0.025309817777505544,-0.10155169596436012,-0.018622107420793482,-0.019065153604573178,0.36258724351041627,-0.11136373235925748,-0.023082524882214323,-0.02377631862998668,-0.07076553815682896,-0.026282607267274438
AT4G14770,-0.007744226162249696,-0.009111849018770254,0.0019679552323617344,0.003065046405875252,-0.002539504205837567,0.008401512178022763,-0.012479636444734238,-0.003989044559170794,-0.0032827368276160743,-0.0009634900861766292,-0.005736012593241007,-0.006809107840725595,-0.0030444179842154737,0.007921024918308553,-0.03336664377027489,0.06273590108567456,-0.020839699890125116,-0.021471504186520177,-0.0004125944986926311,0.01348397908225521,-0.03324703847872795,0.016509530043492773,-0.02588634994420315,0.039102272847809746,-0.012338060464950368,-0.0024611069489026416,0.01954437923220624,0.039463486517559224,-0.015378718427766,0.024998095946213175,-0.02276431737413947,-0.006287838050745634,-0.009173894223115361,0.036757250493088436,-0.022070583114445697,-0.0015435063879995319,0.015252281266567257,-0.012790307148047401,-0.011908475843203925,0.002819341509407089,0.0006895647231985602,-0.0004492635858379321,-0.008646965539776702,-0.015664416613583837,-0.015049904076438123,0.02034516913770322,-0.018902710409682208,-0.014807181215318987,0.07336486310583869,-0.024372001226144163,-0.0033709667973811086,-0.01098096735396173,-0.003996727803256689,0.07621568675158535,-0.008614832577075585,-0.030214369124330398,-0.01095981835580424,-0.010015911316696602,0.010813998307789358,0.00045101754903685565,-0.008079763263287926,-0.010464050046578167,0.012600449086117835,0.00967740542604665,-0.003227859096685874,0.0024550485420686066,-0.01568277367427246,0.013201542398938206,-0.010201004426613612,0.0033877500577723305,-0.002683642886209356,0.012355397374223115,-0.0026452866953355775,-0.00014138608949883225,-0.02493649795733574,-0.0015163935754690383,0.015640816790335826,0.02015846805316511,-0.02417009475949909,0.003740272393712857,0.024905142014207737,0.04654548822983412,-0.028306717798650002,-0.0009791569260129418,-0.004074614110396245,0.013889397717032556,0.019611596103912513,-0.03975869148269899,-0.002986870312926271,0.0034402850554758058,-0.07119262600051134,0.0034623522201080725,0.00478154741953115,0.008978487317743165,-0.01709600579984233,-0.03913014110145789
