,R5C-1,R10C-1,R15C-1,R20C-1,R30C-1,R45C-1,R60C-1,R5N-1,R10N-1,R15N-1,R20N-1,R30N-1,R45N-1,R60N-1,S5C-1,S10C-1,S15C-1,S20C-1,S30C-1,S45C-1,S60C-1,S5N-1,S10N-1,S15N-1,S20N-1,S30N-1,S45N-1,S60N-1,R5C-2,R10C-2,R15C-2,R20C-2,R30C-2,R45C-2,R60C-2,R5N-2,R10N-2,R15N-2,R20N-2,R30N-2,R45N-2,R60N-2,S5C-2,S10C-2,S15C-2,S20C-2,S30C-2,S45C-2,S60C-2,S5N-2,S10N-2,S15N-2,S20N-2,S30N-2,S45N-2,S60N-2,R5C-3,R10C-3,R15C-3,R20C-3,R30C-3,R45C-3,R60C-3,R5N-3,R10N-3,R15N-3,R20N-3,R30N-3,R45N-3,R60N-3,S5C-3,S10C-3,S15C-3,S20C-3,S30C-3,S45C-3,S60C-3,S5N-3,S10N-3,S15N-3,S20N-3,S30N-3,S45N-3,S60N-3,R90C-1,R90N-1,S90C-1,S90N-1,R90C-2,R90N-2,S90C-2,S90N-2,R90C-3,R90N-3,S90C-3,S90N-3
AT1G62300,0.04149537973649876,0.14028918632635454,0.19881656167389228,0.10845643179860848,0.10383873955265896,0.10788325534894619,0.09013783496791511,0.048606420222674876,0.07333841723642165,0.10229833968386585,0.03934849628642395,0.04664953726718739,0.06716985009942973,0.08147361339911609,0.3680528919949718,0.22569815803933632,0.12634575017408078,0.18988283408206455,0.302187757582096,0.2696677129126018,0.23457559359905492,0.26036611762426665,0.39758331753201315,0.6299264250448058,0.29189361716067597,0.312582961606566,0.17042108997725866,0.22046270686579192,0.026072376772897726,0.14036935304690315,0.01934320683801502,0.0787397997722069,0.14692670879803094,0.12426039679891251,0.01815246785680148,0.05436405939725293,0.12011898031848536,0.027275173360433808,0.028331074957814884,0.05841291233213606,0.03982089032451083,0.07875658165245873,0.11674585687186977,0.04569953710168977,0.18423805771768642,0.22358771847739578,0.20452273565986134,0.26958236933519214,0.22508507063076932,0.16754125369474104,0.297508631976961,0.3846849360600733,0.4175282569072644,0.5971451899623371,0.14749493859894572,0.08538467831707143,0.037034519909279945,0.12871038111237085,0.17575893354326427,0.08556007503451345,0.06385810260173617,0.15502966214495367,0.19077530449512298,0.09160639075187371,0.11768172276866702,0.09650813553892533,0.04876149064208374,0.059767627521942486,0.05354951164263034,0.06199775248045908,0.2891067161024036,0.10880615316351928,0.1058035318952185,0.19368985946747866,0.1465661585416269,0.2674092941556258,0.26559046239011036,0.22877799817132174,0.1270330188814324,0.5082755841850728,0.40228249255547527,0.20903945549949846,0.01794754569893256,0.17277313718731963,0.11587111538454875,0.10811911961295669,0.24949359961309991,0.21843280952811067,0.10154769439976323,0.11283220899028412,-0.04358378841037089,0.24276355007183265,0.07862867222314261,0.12024056847438219,0.14993715710630556,0.10802995676457282
AT5G64810,0.03744257847359665,-0.014327119600942035,0.011878339280626385,0.062392149080957915,0.06226295993358857,0.0439076705367489,0.02321868747754808,0.059613074582481655,-0.007363540304577893,0.006123328665890131,0.023500083660529882,0.02426730416262937,0.03961239574690848,0.026521271532195974,-0.004795675770954679,-0.0015297994903804087,-0.016203759984911414,-0.03192486559927139,-0.046371317535398554,-0.04797663651888635,-0.08896485644904745,0.009413560142622544,-0.015146220196843306,0.04334615741133295,-0.01210654460587962,-0.08809502194637976,-0.08814266928005032,-0.06989668973994398,0.007958187269845707,0.0045268739502678235,-0.00527146274856348,0.07243963954639587,0.02555904802981001,0.026474811292815655,-0.0028573073902151964,0.042257483096884964,-0.005822009738463138,-0.00976018200572762,0.021013935524476873,0.053736358206226055,0.03193008087376421,0.042060598934420976,-0.08736216145426874,-0.032336386095624475,0.00145526961067274,-0.02377182600463224,-0.0632662725287597,-0.04212712418407674,-0.025073613894827505,-0.07782935287837657,0.0013810162028767966,-0.021542919361433256,-0.025898740102224517,-0.007916506326509268,-0.06517764992614751,-0.0705396512738542,0.08261310707330728,0.002241658388238654,0.016845731557264872,0.028253111268088302,0.04557718061211477,0.05902128451833744,0.051530945723489055,0.08698129060446316,-0.007642904989122443,-0.0033368182177563543,0.06004159772686455,0.05640702281870602,0.05510120743845849,0.025666490095932974,0.023194002850984923,-0.02385304339891124,-0.03885777142342309,-0.04350326718495815,-0.02761337520734881,-0.050938310090087535,-0.022527143387578663,-0.02016323535974268,-0.052866414428248756,-0.04719869308188543,-0.040653783847329115,-0.0677273757708749,-0.051489089206743825,-0.0775437475877136,0.06191534244017218,0.05944382196793794,-0.06738950072254811,-0.08043707210765057,0.06558329310339853,0.059805390025375764,-0.04358378841037089,-0.05701899896603549,0.05112835388874523,0.06319067782754999,-0.08224200622900656,-0.0713136951434831
AT2G40750,0.0032189233646455454,-0.001598416449542319,0.054874436235465555,0.09246093571334382,0.06624189196744491,0.04620547036932309,0.021561697292078522,0.0424137645869725,0.021448947881046527,0.09320573013339113,0.12142908108023355,0.22612446234783581,0.32408707405104537,0.303882683826243,0.10063898544497288,0.18025256653339297,0.08327943290550309,0.07818365782819658,0.09801647698111335,0.024521561741994626,-0.023229653899591727,0.18574302647874905,0.18535766584482835,0.286540150358751,0.14360085532333175,0.2955389810516823,0.24932419104589962,0.0665519218118424,-0.004728933552728426,0.033141737276243255,0.0009999017104490827,0.1027991073012099,0.019550428146155742,0.03984760009763216,0.006264303046228112,0.04492412985908056,0.05184979841139681,0.0075059253923746745,0.10691346315786512,0.23475578476532685,0.19822158374320223,0.2693997521430863,-0.034970798461463136,0.1161591570759638,0.2194180085667351,0.1766280549546358,0.04342885732853191,0.05211593644803017,0.02644692959008398,0.10740139914250633,0.2898086723035287,0.2933540063915194,0.24784617733412667,0.3315963477031893,0.1293040756810761,0.10043367527490876,0.0499841883629626,0.04090079740150597,0.049986185704091884,0.0466392422367877,0.03592072585146798,0.0739559210380333,0.10419540731722024,0.11793091909088547,0.053891487239952185,0.11324363544650043,0.24672983288546407,0.2725469674163352,0.31092412097732647,0.1333680572467785,0.12950760456718619,0.22839410813594094,0.14332953335015325,0.1118615039066104,0.0387652358816257,0.013374337232278802,0.05350990896427761,0.21214158523789703,0.12670829066246184,0.26698467898855516,0.3936069180448654,0.2766013800494397,0.14535045694179602,0.05498779891688794,0.11854030556554264,0.18452962959131944,0.026661576027855252,0.005530471970817688,0.0735121537267532,0.2224830373526764,-0.04358378841037089,0.0895028506279386,0.08813697900940223,0.19890801858156112,0.027290214131062234,0.04293104150956831
AT4G31550,0.022627338301432293,0.06629423991829117,0.10392546007299189,0.05089324095099298,0.04626602910359468,0.05608197842161568,0.05906200148954745,0.04564569800268578,0.0909947819715623,0.07365661959987051,0.030123300877321433,0.019373797297533458,0.03921683420117851,0.06502376881089449,0.43398042020258926,0.46114226770572075,0.21204772153855042,0.32102332265859945,0.44257219365545136,0.3807386705045925,0.45283700831404455,0.4799135904153261,0.6252323450685573,0.700364635236817,0.37530829569418206,0.504977725158305,0.36228618466215534,0.2693974023776677,0.03967598932628104,0.13063762105772586,0.005225371554473302,0.04911078537690719,0.06884695471850208,0.0975617412552613,0.008429432556416852,0.06052401341792473,0.0672548610353218,0.01737386177260453,0.03128252615781677,0.01695447182266421,0.032514585277523225,0.04210248932565162,0.38852605239704885,0.2313189660661751,0.3300564047151925,0.42804584196332207,0.38138436717207136,0.4055844616759566,0.27817277893651465,0.5363990282817805,0.41108303716008754,0.6366024766624354,0.6412302172820067,0.6628108004122895,0.10897311124345711,0.13951926459595848,0.04431605479389167,0.05447778122828628,0.12435098513598988,0.049421817613276686,0.0425917881097774,0.10062491482320449,0.128437778527033,0.0722195126339778,0.11414130203450946,0.07243173749956795,0.021965079052036734,0.02374430342233762,0.045170354345158314,0.0576240847789019,0.37225270485381523,0.34325416721410407,0.3014543639083516,0.38505910700582924,0.3462165546852092,0.48526838696014185,0.3351286213785601,0.5720930650701773,0.40987129760477586,0.7137216789386381,0.6186898789590217,0.3412000622945589,0.07693796119402047,0.26161904179819295,0.08936987001610938,0.05727123033515932,0.3968259056234795,0.05647420179509517,0.05071193729308739,0.04558590784484168,-0.04358378841037089,0.19116321407815978,0.07403845515391384,0.07246448292148572,0.3558868752112686,0.13298882941174847
AT4G11070,-0.023822267283940164,-0.024584956846481806,-0.03102601635780844,-0.038798242462733494,-0.03826597594221057,-0.03824875154721965,-0.031084078600647238,-0.02837235749704152,-0.017912374776910333,-0.02165046050646899,-0.03251341051576439,-0.03325920551852657,-0.043191821159231945,-0.050304433165928884,-0.09590900127136982,-0.13067744088862618,-0.08381787809657841,-0.09643467466993882,-0.11896555063797015,-0.12535452120117277,-0.1238866828034458,-0.14386630275087303,-0.12403525369332039,-0.10906755602138099,-0.09075467008032823,-0.1077389317384492,-0.11595743152726908,-0.10157226027875153,-0.019177156132543727,-0.030404686974187363,-0.010142086860382319,-0.0344804709525131,-0.039954291346807516,-0.04662976750684793,-0.01288105512257048,-0.03302195499989646,-0.02134982186536761,-0.011829444876891942,-0.024948768058885844,-0.03785053888884293,-0.03316909709489539,-0.03849462340209339,-0.10569913850175071,-0.10147015300586647,-0.10943805371785022,-0.11749790340602567,-0.1074159814352252,-0.1276989104723094,-0.13438336014798571,-0.1435822605221532,-0.14170990106174028,-0.12672498528303805,-0.13062439858877048,-0.08151971803964264,-0.09781419810232535,-0.08955991131778748,-0.023446800458821533,-0.02808614964041347,-0.03113268727620908,-0.037014131423482546,-0.036244687970464894,-0.047515548046076786,-0.05343971582047855,-0.03500572578349029,-0.02145994519941873,-0.024267117057778467,-0.03197255089484096,-0.032737438782934815,-0.04100048551649838,-0.042821170048905566,-0.08157509133423038,-0.11868907280727353,-0.11190456814867776,-0.10983878742630201,-0.10685605821279125,-0.13856429206681167,-0.11589457804185233,-0.15476694000290633,-0.14054303355029552,-0.12971392785995675,-0.11487814354921363,-0.12284368264056382,-0.08016498562796712,-0.0974511287038429,-0.04824594945827578,-0.04359249185043505,-0.13663352741263868,-0.08892769374503015,-0.04094417402760573,-0.048491201938870424,-0.04358378841037089,-0.09783717519983642,-0.050020357958188814,-0.05378718090905999,-0.12547201781235964,-0.08855332882761473
AT1G80840,-0.013825357502114973,-0.02857203592184672,-0.03286084268589546,-0.04061747270419063,-0.0413922796830977,-0.04276372665683911,-0.03114221860715494,-0.01736570313723474,-0.02126371024893066,-0.022435731331282717,-0.03634541476262236,-0.036095215178979886,-0.05050970975523639,-0.0510664150678356,0.2670627832424791,0.1021991212350496,0.1844852784866607,0.12837759146126385,0.11536436356812495,0.022894999601526144,-0.022972875764632916,0.11140805537626434,0.3531639950858582,0.5591846018778289,0.2087437471304508,0.20743026801372375,-0.012077809257043947,0.05436901006614719,-0.02501754461319046,-0.033440273099251835,-0.010124650258550031,-0.035347884316936355,-0.03904976792346171,-0.05319885674430165,-0.012861007627105769,-0.03174196455404258,-0.02824425228271518,-0.014254709962450126,-0.03727722567556039,-0.04562728058136744,-0.04127909569705164,-0.0005000385559059081,0.05889706023398024,0.10460529466082746,0.19367036338011254,0.21373198662693998,0.02109120698895115,-0.009723941109599305,0.02468386916664594,0.17128328908910231,0.34338755836449514,0.3740801598663313,0.25712566606078263,0.23454113225793008,-0.008732472342757995,-0.03918757427835977,-0.017035653126014707,-0.03145835503894819,-0.03872664561819584,-0.03803558314396585,-0.03860351661428701,-0.046866216023481316,-0.05738059389892102,-0.034042163252779756,-0.03085929228125294,-0.0322634525227556,-0.04192268902202753,-0.05130920161660999,-0.05056927625743866,-0.033825330799111826,0.20029753307071005,0.15525077753652955,0.11382435663367785,0.12299016026288848,0.16457585922468201,0.05678537417487608,0.039645603122343706,0.26658802756546884,0.07994742713070357,0.34901877537141907,0.33191394374719513,0.11747526828049913,-0.014620079522313888,-0.019111897459815563,-0.01122046851906049,-0.023438237554871743,0.0180330368764421,0.22501304129707986,-0.0319151365713454,0.02116733279076976,-0.04358378841037089,0.28223395633564957,-0.04026614668607767,-0.014197626749430915,0.02243290945877537,0.18676619418762175
AT5G28650,-0.02956373573971815,-0.03306451938704662,-0.0455211443496959,-0.04315753002245154,-0.04654865078819725,-0.042844351212368036,-0.03314804883167072,-0.03314115435519189,-0.02913597478052203,-0.03392548339960985,-0.03998818423185771,-0.04477006825801355,-0.05875057529127743,-0.04931833893993195,-0.12084787898286557,-0.1396638572881065,-0.0915698152049224,-0.09961598032273886,-0.1277729392129145,-0.13279023384331443,-0.13390103006683943,-0.1510693038266952,-0.14994652512024412,-0.16523595639001062,-0.12597420101669748,-0.16753730419371943,-0.1576795748980972,-0.12492284112466735,-0.023094709021100612,-0.04093995646705819,-0.011693944423455862,-0.04068932450838484,-0.04880569913240574,-0.051228129973065535,-0.014364569786959063,-0.03622193111453117,-0.034320352680199534,-0.016101471449618283,-0.039029649825561515,-0.0585534863675906,-0.04453040144296113,-0.050140152164210396,-0.1137761402964749,-0.10753119558429865,-0.12014499528060416,-0.13141187778313976,-0.1160882456847095,-0.13249093050445043,-0.1418273930469463,-0.15561023143260014,-0.15133485065353067,-0.167196274022421,-0.1607827369504024,-0.17135893233655544,-0.11761013716000697,-0.10419088058235154,-0.029008789204501628,-0.03837909030130049,-0.04394093037836186,-0.03747202357404403,-0.039156367077682816,-0.05233915735678601,-0.06209770553826883,-0.04868831371957986,-0.038660750359175336,-0.03903630496576902,-0.04832624326229611,-0.05431605845634788,-0.054448515747009034,-0.04948107313991309,-0.10860397312648494,-0.12369508022472374,-0.1182066447288958,-0.11791251850830768,-0.11508906423933073,-0.14177992443293,-0.1282424754323247,-0.1574892621192849,-0.14671286971073585,-0.16074735435083487,-0.16885949605967512,-0.164921723369036,-0.09982845745966308,-0.11864880304046206,-0.05545276294695929,-0.034116294303209185,-0.14634063395797847,-0.10675799918352727,-0.04712792657117899,-0.04493633139373691,-0.04358378841037089,-0.13018365447945224,-0.051741689359149606,-0.04675188049297081,-0.1368866837922338,-0.10321988285739835
AT3G62340,-0.03881763195667795,-0.0338507039934566,-0.04864034910744383,-0.05767704685521323,-0.05799823072235531,-0.05594584148581738,-0.04253765988266488,-0.044780634838355114,-0.03134020884936761,-0.03661193622134102,-0.04997031875145069,-0.04996941930217796,-0.06652995235730018,-0.06653016543006027,-0.12628010977150822,-0.14402868811071123,-0.09286180472297972,-0.10509489561367226,-0.13177629765607102,-0.13766992026471986,-0.1423747085204802,-0.15884854498858314,-0.1548820053920391,-0.16857569911463186,-0.1341832646184076,-0.1701372334309051,-0.16732959445325474,-0.12817161759018608,-0.03466766342582829,-0.044354990857755724,-0.012083361864376939,-0.05219396492073542,-0.05762480251002733,-0.06915235917811784,-0.01610870189238888,-0.04926183378166759,-0.03704129999624472,-0.0166688499788085,-0.0487140990755677,-0.06580477254034993,-0.05282305767129206,-0.06287483109832395,-0.12207143943700245,-0.11207697751812278,-0.12294919426132543,-0.13604986924217777,-0.12003018397992964,-0.1407058219881208,-0.14829194793288578,-0.1649653199185033,-0.15807231536778393,-0.1730397221291768,-0.1650910710020641,-0.17171973239397276,-0.12242536557944304,-0.11129735136799696,-0.040047850837149145,-0.04016437551228946,-0.05003009513184433,-0.05265290948881307,-0.053530479125973834,-0.06968559853183648,-0.07869716168685983,-0.06464490922814628,-0.042232502250272336,-0.04353697465370697,-0.0590152530325906,-0.06239330133956533,-0.06386213690836649,-0.058327810081699204,-0.11323749571944286,-0.12758864154940724,-0.12765975959922288,-0.122276697471554,-0.11817644149928302,-0.148747127892853,-0.13387484968061036,-0.16626118893872704,-0.1522332494332351,-0.1682049994765498,-0.17030542514477676,-0.167884965673858,-0.10699743156496891,-0.12454728633413,-0.0644517469857387,-0.05884685863377426,-0.15087061701247037,-0.11270143432969297,-0.058926374675788075,-0.06232980513242592,-0.04358378841037089,-0.13345681012084196,-0.06612710178146478,-0.06868922633586705,-0.14417264080066408,-0.10913796606239876
AT5G07100,0.005875759748103592,-0.022787963460401846,-0.015399412130267317,0.005240859420087428,-0.020523187178994002,-0.014262946277366219,-0.005008285681942099,-0.0009800267288981642,-0.013121539504827582,-0.015161643690902947,-0.012927611031823655,-0.009514575616299805,-0.017809955308225524,-0.020631961456384743,0.07471242940826937,0.09269919532702754,-0.005006517495081211,0.007134498248995737,0.01207771573468667,0.03126017632393549,-0.006025518857351365,0.06185140797460787,0.07461782724642817,0.1055868172792739,0.09037434616385645,0.012146694198445183,-0.0015763173881960517,-0.041469895666655154,0.008209773235165875,-0.019891737967530243,-0.008317055868602945,-0.013936470216172777,-0.019053339385924115,-0.023074890383978145,-0.0055837667734158335,-0.0021155190260496066,-0.014475849698516617,-0.008903551677342391,-0.014649433142212592,-0.005062114455496378,-0.012382659236215643,-0.018931810697386055,0.03750392034525128,-0.010743921909959856,0.019045245035197073,0.007341366699747849,0.0342310013063516,0.06900210227557475,-0.0017620371849245908,0.012781361313657057,0.014855945631383337,0.09489319476577536,0.12224166921260476,0.13315631612366302,-0.027190847950596272,-0.04399489275100225,0.007823464512120367,-0.01739647893264001,-0.01919932416737274,-0.006934139378905374,-0.016673781566253272,-0.017414370712900976,-0.012060495996832617,0.004538880476869974,-0.017355563640351127,-0.016052302481736384,-0.010890080011495157,0.004229212952666247,-0.013742362703117184,-0.007384521512425248,0.05408415347070442,-0.0038290137291104084,0.0009598942425000443,0.027851058864118976,0.01689631362363022,-0.025481220524984194,0.007801025641651759,0.01915919521017029,0.009156675395125068,0.09088802634264208,0.028268835875849375,-0.03157581965204669,-0.021584225796039542,-0.008605224092969545,-0.010495974041362148,-0.018399673980980913,0.05513575522751866,-0.07003606060186059,-0.009608102855878695,-0.024326546209450895,-0.04358378841037089,-0.05278315048894294,-0.023257753081346054,-0.013877840366881408,-0.027111598198550645,-0.054845985355655866
AT3G04670,0.12948619826661778,0.0004232011097976359,0.03579224242336055,0.12658008401538903,0.12535745361331063,0.1117532340143343,0.07615516340281235,0.1131772857380095,0.03159292303461141,0.043403027822836455,0.10425602501098116,0.07998655278565331,0.10995642396255484,0.12217241145389868,0.15520821291270118,0.10373964976067479,0.10481259153979194,0.09444366449806343,0.09614824304097364,0.1332688591333161,0.15112269973744122,0.19438662776973561,0.18350686074290523,0.25678607881212556,0.17776115224657713,0.151676229927409,0.12557688145623253,0.05924217476442527,0.09342553377432528,0.026534873356985275,-3.466999826661332e-05,0.09672721375024709,0.10357419329338563,0.14429611897314637,0.011797411794488228,0.12548352854500924,0.0277295210759286,0.0023105180760642544,0.10697495172453184,0.17007221028223451,0.10524885202028489,0.12626028530800074,0.11674585687186977,0.09077854127877907,0.10954439395847443,0.16696557274830656,0.09414846339369763,0.14293612562860777,0.14084996151095205,0.16727396545228668,0.2381547761609203,0.1645817240389374,0.13715513323758757,0.12197151434372609,0.11057818738326915,0.09332720448926335,0.12347886407878125,0.019212888171714043,0.0547105376680007,0.11771819299317733,0.09968281262978455,0.13485398858573722,0.13172184359240172,0.16691843815220897,0.044930776355270236,0.051982092703888726,0.1176243277797413,0.13240385549364986,0.12430683993239405,0.14579324958074774,0.11586445471014342,0.11436838362735285,0.13072538018971716,0.10095105649849462,0.1002554996423424,0.20014898383098437,0.14991016052147432,0.19248036995294054,0.16697458981480928,0.15223317173158724,0.1608123353435003,0.17703643860742102,0.10499937412050325,0.08355857737059202,0.10591884913827151,0.12679416258407497,0.08878705791802995,0.13267753099057691,0.11702604432478095,0.16564742851798214,-0.04358378841037089,0.1253150241160847,0.1154733610198986,0.17677880090913517,0.08824938776826238,0.039328729993481096
