isTs	is1stLast	prevCol	del.t	condName
TRUE	f	NA	NA	R5C-1
TRUE	m	R5C-1	5	R10C-1
TRUE	m	R10C-1	5	R15C-1
TRUE	m	R15C-1	5	R20C-1
TRUE	m	R20C-1	10	R30C-1
TRUE	m	R30C-1	15	R45C-1
TRUE	m	R45C-1	15	R60C-1
TRUE	m	R60C-1	39	R90C-1
TRUE	l	R90C-1	30	R120C-1
TRUE	f	NA	NA	R5N-1
TRUE	m	R5N-1	5	R10N-1
TRUE	m	R10N-1	5	R15N-1
TRUE	m	R15N-1	5	R20N-1
TRUE	m	R20N-1	10	R30N-1
TRUE	m	R30N-1	15	R45N-1
TRUE	m	R45N-1	15	R60N-1
TRUE	m	R60N-1	39	R90N-1
TRUE	l	R90N-1	30	R120N-1
TRUE	f	NA	NA	S5C-1
TRUE	m	S5C-1	5	S10C-1
TRUE	m	S10C-1	5	S15C-1
TRUE	m	S15C-1	5	S20C-1
TRUE	m	S20C-1	10	S30C-1
TRUE	m	S30C-1	15	S45C-1
TRUE	m	S45C-1	15	S60C-1
TRUE	m	S60C-1	39	S90C-1
TRUE	l	S90C-1	30	S120C-1
TRUE	f	NA	NA	S5N-1
TRUE	m	S5N-1	5	S10N-1
TRUE	m	S10N-1	5	S15N-1
TRUE	m	S15N-1	5	S20N-1
TRUE	m	S20N-1	10	S30N-1
TRUE	m	S30N-1	15	S45N-1
TRUE	m	S45N-1	15	S60N-1
TRUE	m	S60N-1	39	S90N-1
TRUE	l	S90N-1	30	S120N-1
TRUE	f	NA	NA	R5C-2
TRUE	m	R5C-2	5	R10C-2
TRUE	m	R10C-2	5	R15C-2
TRUE	m	R15C-2	5	R20C-2
TRUE	m	R20C-2	10	R30C-2
TRUE	m	R30C-2	15	R45C-2
TRUE	m	R45C-2	15	R60C-2
TRUE	m	R60C-2	39	R90C-2
TRUE	l	R90C-2	30	R120C-2
TRUE	f	NA	NA	R5N-2
TRUE	m	R5N-2	5	R10N-2
TRUE	m	R10N-2	5	R15N-2
TRUE	m	R15N-2	5	R20N-2
TRUE	m	R20N-2	10	R30N-2
TRUE	m	R30N-2	15	R45N-2
TRUE	m	R45N-2	15	R60N-2
TRUE	m	R60N-2	39	R90N-2
TRUE	l	R90N-2	30	R120N-2
TRUE	f	NA	NA	S5C-2
TRUE	m	S5C-2	5	S10C-2
TRUE	m	S10C-2	5	S15C-2
TRUE	m	S15C-2	5	S20C-2
TRUE	m	S20C-2	10	S30C-2
TRUE	m	S30C-2	15	S45C-2
TRUE	m	S45C-2	15	S60C-2
TRUE	m	S60C-2	39	S90C-2
TRUE	l	S90C-2	30	S120C-2
TRUE	f	NA	NA	S5N-2
TRUE	m	S5N-2	5	S10N-2
TRUE	m	S10N-2	5	S15N-2
TRUE	m	S15N-2	5	S20N-2
TRUE	m	S20N-2	10	S30N-2
TRUE	m	S30N-2	15	S45N-2
TRUE	m	S45N-2	15	S60N-2
TRUE	m	S60N-2	39	S90N-2
TRUE	l	S90N-2	30	S120N-2
TRUE	f	NA	NA	R5C-3
TRUE	m	R5C-3	5	R10C-3
TRUE	m	R10C-3	5	R15C-3
TRUE	m	R15C-3	5	R20C-3
TRUE	m	R20C-3	10	R30C-3
TRUE	m	R30C-3	15	R45C-3
TRUE	m	R45C-3	15	R60C-3
TRUE	m	R60C-3	39	R90C-3
TRUE	l	R90C-3	30	R120C-3
TRUE	f	NA	NA	R5N-3
TRUE	m	R5N-3	5	R10N-3
TRUE	m	R10N-3	5	R15N-3
TRUE	m	R15N-3	5	R20N-3
TRUE	m	R20N-3	10	R30N-3
TRUE	m	R30N-3	15	R45N-3
TRUE	m	R45N-3	15	R60N-3
TRUE	m	R60N-3	39	R90N-3
TRUE	l	R90N-3	30	R120N-3
TRUE	f	NA	NA	S5C-3
TRUE	m	S5C-3	5	S10C-3
TRUE	m	S10C-3	5	S15C-3
TRUE	m	S15C-3	5	S20C-3
TRUE	m	S20C-3	10	S30C-3
TRUE	m	S30C-3	15	S45C-3
TRUE	m	S45C-3	15	S60C-3
TRUE	m	S60C-3	39	S90C-3
TRUE	l	S90C-3	30	S120C-3
TRUE	f	NA	NA	S5N-3
TRUE	m	S5N-3	5	S10N-3
TRUE	m	S10N-3	5	S15N-3
TRUE	m	S15N-3	5	S20N-3
TRUE	m	S20N-3	10	S30N-3
TRUE	m	S30N-3	15	S45N-3
TRUE	m	S45N-3	15	S60N-3
TRUE	m	S60N-3	39	S90N-3
TRUE	l	S90N-3	30	S120N-3
