,exp_std,model_score_mean,model_score_std
AT3G41768,105318.9707583888,-0.3396963054913824,1.0531601099983101
AT4G21960,103967.48631637641,0.6517692204473412,0.12218301340944199
AT1G13440,85621.8051928449,0.7218428019882198,0.11096275311879396
AT1G77120,79460.45178601952,0.6699744379890356,0.08016255999290949
AT1G21310,78119.7734470166,0.6627704766334171,0.10447116518739875
AT4G13940,63290.931169087504,0.6948924812313022,0.11598025202374111
AT5G53460,55152.46827346838,0.6647543548148266,0.1678596664515335
AT4G05320,50078.834369832555,0.5358294574134262,0.16876073331502903
AT2G43150,48759.97420333754,0.6343789064472986,0.15939023614966716
AT5G02500,47048.16877652319,0.5252325131400205,0.16656036974815813
AT5G60390,46034.683149128105,0.6234492643283757,0.15456788113391487
AT5G17920,45589.44392344718,0.6306848271692258,0.11063498123756749
AT1G26250,45555.95307707957,0.7040368100938474,0.08585182826038854
AT1G66200,42979.70791201827,0.6538625172603348,0.13026114653519125
AT3G52930,42519.98401146599,0.717657759459964,0.10413021536138689
AT3G16640,39876.552403525595,0.6188860385255708,0.15104682024731775
AT2G01010,37891.9437117178,0.7441644748426898,0.0689946036521373
AT1G26240,36980.63015528862,0.6903074462542983,0.08749470686080871
AT1G07890,34913.12989878506,0.7388651213768547,0.09052581706919291
AT1G54410,34022.47786292461,0.646768825415251,0.17268071510127006
AT4G30190,33518.95378114013,0.5818930197118923,0.18276332019459426
AT2G15620,33205.91168794634,0.7639502653628403,0.07717525570161887
AT3G01420,32403.605967030588,0.6837287897945009,0.09177859615132185
AT2G30490,31325.470258930603,0.6871703912031546,0.09117797589465614
AT3G28510,30968.103268080507,0.6612027307934291,0.11348616084962786
AT3G12120,28736.651101769414,0.6790499032660314,0.11189457497922607
AT3G08580,28678.48394046007,0.6518448707879241,0.12821018436151596
AT3G60750,28600.06888702682,0.7030198977361313,0.12693317925919062
AT5G20290,28026.385578053894,0.6624314304026436,0.13484521486645215
AT1G11580,27903.831652064127,0.7309621448836897,0.09084301208057155
AT1G02780,27750.034218752193,0.658011410798227,0.13668030707475895
AT5G03240,27407.984884843678,0.7041312588663134,0.09688982618921288
AT1G77760,27362.31899205645,0.7082626881822693,0.09158603240932835
AT3G09260,27174.411760295494,0.5816798122378766,0.13525174044788638
AT2G36530,26869.5354984679,0.7382191834045275,0.11177355237505014
AT1G30510,26848.474711138468,0.7977046352465095,0.09505468507446456
AT4G33070,26803.626895971924,0.6617876560944982,0.10678089384810836
AT1G37130,26655.011721050556,0.5821400394410632,0.10087164135413709
AT2G01021,26218.893165947185,-0.8286958305479926,2.2374968206783383
AT3G04120,25892.018835647294,0.7268204029643242,0.09822222214182937
AT1G02500,25418.2436096252,0.6546278392074172,0.11055178209451756
AT3G60245,25308.92552636452,0.6903608387314696,0.12088221776580506
AT5G41670,24158.39722392159,0.7369426413033043,0.11438948823805554
AT5G42980,23820.835858979055,0.6033885846470755,0.15203333368704725
AT2G27510,23058.40708770429,0.7625466056417993,0.11401884413736088
AT2G44790,22700.93507008,0.7166006601468216,0.10474102758628588
AT2G18960,22658.58674772559,0.6509058539926473,0.09725613870908283
AT1G08090,22132.36418525553,0.6993252464546474,0.13744750537045233
AT2G18020,21642.112557394994,0.6070801088706994,0.15584923309603432
AT5G58070,21445.585354188883,0.627412253935004,0.1927494136666429
AT3G11930,21267.048987268074,0.6772735718058049,0.1038078193728576
AT4G27450,21180.472078921688,0.5894753090148952,0.13506981591155992
AT3G14990,21019.323109615445,0.7274797496395454,0.0967272670104185
AT4G34050,20923.281844325273,0.6446269426552235,0.10970307507936891
AT1G56070,20860.381846395616,0.5263467264702173,0.17410571949148343
AT4G02380,20183.45939191104,0.6976612737202095,0.13798273531370328
AT1G72370,20177.733429878965,0.6652731922619941,0.13852014218205647
AT5G13420,20013.455125781038,0.7182977412067075,0.1482275815903346
AT3G62290,19678.271116741795,0.7296520938009781,0.10620228073832674
AT2G37040,19662.677465417426,0.5891238925568933,0.122749319611336
AT2G05510,19559.496727034337,0.7080385995858993,0.10726648608763116
AT2G41840,19559.38244404952,0.6580708125993843,0.15503583735631743
AT1G67430,19434.062837674417,0.6746742628934923,0.13372671019228743
AT1G26630,18803.411617687216,0.6939765989789163,0.13570345323827934
AT1G43170,18483.747914722044,0.6543876393377404,0.13948085014443842
AT1G29930,18255.128680716898,0.82817201010264,0.06101216424034107
AT5G53300,18144.415617637642,0.7206360299877977,0.11147958677892729
AT4G11650,18065.54701818831,0.6998636926018683,0.08996574423434257
AT4G39200,17875.74545142379,0.6623500088687363,0.14046798263306695
AT4G16720,17738.3261813629,0.6511201694339469,0.15014829594730839
AT5G19550,17708.136010658,0.7170834237280458,0.0808709556979859
AT2G01140,17606.78917809568,0.6777032437091657,0.11728988548407136
AT2G21660,17538.36642513063,0.7116410944999796,0.11883933682487695
AT2G34480,17529.87822622189,0.6139992195580185,0.17530033773018674
AT1G44800,17508.312680146057,0.6547531610997621,0.15434340825049936
AT4G27090,17414.893071581508,0.697834534671557,0.14160953759904119
AT2G36580,17273.19973265136,0.8052542296079064,0.0852168593406659
AT5G15200,17189.802153349672,0.6222782903709483,0.1632796947685581
AT3G09200,17159.088324126613,0.6446146320578885,0.15793102770377399
AT3G54040,17138.298838322637,0.6979580857018743,0.09150859036194699
AT5G66690,16852.26928989151,0.6983790010310916,0.12011700604205719
AT1G03220,16781.051065366213,0.6738772492958492,0.15239725213538208
