,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B
yczK,0.0,0.0,12.5,0.0,0.0,0.0,0.0,17.7,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,71.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccdA,6.5,12.2,4.1,13.4,39.0,380.9,6.0,310.4,1.3,8.9,282.8,863.4,1712.8,1623.3,1336.2,254.7,779.8,1438.3,1560.6,1963.3,0.0,116.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,72.2,460.1,3450.8,1804.0,2537.5,1492.0,257.1,5165.2,2280.8,2206.0,1880.1
yotH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,18.9,15.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,9.8,11.3,0.0,0.0,0.0,0.0
yubD,187.6,143.1,116.3,73.8,34.5,438.8,0.0,183.9,225.1,147.7,339.3,249.6,106.5,97.3,96.6,473.6,180.3,190.9,158.5,102.2,52.0,0.0,0.0,13.2,0.0,23.8,0.0,0.0,0.0,0.0,552.5,964.2,196.2,82.6,216.3,869.3,845.1,341.8,215.0,258.8
salA,56126.5,32646.6,59042.8,61121.2,54622.1,33134.3,45034.9,18257.2,24136.8,62855.0,10112.9,12610.5,9814.5,8050.2,7464.9,10724.9,10892.8,11312.0,8052.4,6518.4,46171.8,44749.6,44055.8,32210.8,44887.4,61348.0,42700.4,50204.1,42873.4,41014.8,23463.1,12759.0,15377.8,11462.7,11201.8,19026.5,18579.9,12365.7,12266.2,14282.9
yneJ,4609.6,4700.0,5028.6,3337.2,3915.2,4617.6,12766.0,2372.7,3309.8,5706.7,781.3,1381.8,1465.2,1212.8,1081.9,1025.2,1415.3,1306.4,1366.0,1465.1,2469.1,1865.5,3380.8,2706.9,6126.0,4821.1,10213.7,4012.4,4900.6,9011.0,1219.1,1767.9,318.6,621.4,204.5,1537.9,787.5,311.3,566.8,243.9
yloN,35919.8,34060.2,33364.8,27882.1,17750.8,25531.1,43832.3,12859.1,19230.8,35189.2,5015.4,3937.5,4773.5,3865.0,5212.5,4580.7,4847.3,4018.9,3654.1,4514.6,13884.9,19326.1,16662.0,13365.8,9837.8,17368.9,22793.8,20979.5,15811.9,9298.4,2344.3,4439.4,2170.5,2850.9,4307.0,2954.0,4045.2,3916.1,3336.2,3356.4
mdxF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,26.7,0.0,25.6,213.4,833.4,550.3,419.5,71.5,153.7,196.1,350.4,310.5,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.7,0.0,50.1,138.5,111.7,129.9,407.1,226.6,275.0,161.5,197.1,421.5
yvsH,457.5,296.3,674.7,3680.8,11391.5,330.2,241.2,358.0,1251.1,1042.0,452.9,400.0,279.5,337.4,391.4,184.4,358.1,266.6,122.0,423.1,514.3,0.0,347.7,111.7,1275.0,363.7,270.2,491.7,1056.8,3381.5,90.6,164.0,488.3,2988.2,3249.0,50.8,671.6,521.3,1608.7,2740.2
spsL,5904.5,706.5,835.1,6845.3,21855.4,1367.7,5544.4,1010.7,3730.0,4523.3,326.2,431.2,540.1,2495.9,5548.2,305.7,378.5,552.7,573.4,3753.0,3611.7,2218.6,3233.8,884.9,2915.5,113.8,1358.0,1035.6,1446.8,5643.1,455.2,1150.7,1303.4,4045.3,11334.6,854.4,1106.6,1272.8,3922.1,13496.2
