gene_name,gene_name_alt,8h_rep1,8h_rep2,8h_rep3,8h_rep4,12h_rep1,12h_rep2,12h_rep3,12h_rep4,16h_rep1,16h_rep2,16h_rep3,16h_rep4,20h_rep1,20h_rep2,20h_rep3,20h_rep4,24h_rep1,24h_rep2,24h_rep3,24h_rep4,28h_rep1,28h_rep2,28h_rep3,28h_rep4,32h_rep1,32h_rep2,32h_rep3,32h_rep4
aadK,BS3610_RS15335,141.2181,146.4865,137.0166,137.9838,139.289,158.5016,148.7501,160.5202,135.5505,137.5263,111.6527,110.2057,116.7589,152.4821,116.0692,153.9069,119.9029,131.501,167.3432,165.1534,112.6481,127.5371,155.4912,116.2597,165.6445,110.105,108.7935,119.0786
aapA,BS3610_RS15500,81.9586,70.934,65.3242,70.9528,52.2426,34.787,48.9274,38.9159,44.9094,33.913,36.5089,34.9312,41.0472,35.4705,54.1108,33.3278,38.7765,36.9795,31.0166,29.2352,76.6742,26.8075,27.2769,50.7149,22.7212,44.7855,65.1062,40.3951
abfA,BS3610_RS16360,2.3094,5.1327,3.8527,4.3244,4.2147,4.3983,5.8962,4.3409,8.5876,7.7844,17.5986,15.9361,27.0024,4.8375,31.3756,8.6991,13.117,4.5706,6.8132,4.9911,61.5995,8.5629,10.8498,32.4439,21.1496,34.426,57.1054,36.5336
abh,BS3610_RS08820,358.1198,334.243,356.8262,328.9645,489.2919,530.1574,542.5524,444.312,372.0259,526.2903,393.8737,312.6204,248.293,502.3301,209.0732,365.8313,307.3815,412.0152,403.7356,395.4027,234.4385,462.9686,353.664,366.6685,265.5088,231.3549,176.6913,226.8781
abnA,BS3610_RS16405,1.316,0.7226,1.655,0.8363,2.3537,1.7544,3.0511,2.2262,6.8509,2.4841,15.5713,20.1494,31.9412,6.6538,42.8233,7.3876,20.7194,7.5357,8.153,8.1977,88.244,10.6815,12.0298,49.0507,46.3994,53.6421,85.6627,61.934
abnB,BS3610_RS21965,17.5836,22.6895,19.7444,18.4384,20.891,32.4283,27.8582,35.0346,52.4449,39.8298,60.3711,64.423,78.2446,42.4972,99.1263,56.3848,58.5851,55.3795,56.0831,71.0412,128.963,53.6044,63.7076,84.6458,156.4028,108.8626,137.0398,126.836
abrB,BS3610_RS00950,4328.7554,3897.8156,4025.317,4156.7904,4163.1102,3414.5502,2896.0046,2778.9897,1200.1411,1782.7105,1053.8107,938.7306,450.9402,798.7716,394.7238,708.8598,708.3497,473.243,810.4333,613.9063,215.013,343.2006,331.6715,333.8228,401.3311,303.5983,190.4745,236.8193
accA,BS3610_RS16595,670.017,564.2213,566.3571,596.907,477.6922,537.0894,572.3329,589.9191,693.4199,815.2914,538.7019,512.9184,396.6117,677.8041,388.0705,570.5461,486.4196,640.8401,533.1258,540.9836,230.1969,462.0192,440.3069,316.0716,398.7406,265.7695,220.6753,276.047
accB,BS3610_RS14070,763.4151,742.1354,763.2698,751.7122,526.5706,745.4227,676.6238,716.5158,547.3226,570.375,377.2235,356.3599,310.9932,506.1324,302.2312,454.7145,350.7594,384.0328,396.4523,387.4897,174.8441,279.338,294.8191,203.5354,399.7128,241.5504,194.3998,238.7217
accC,BS3610_RS14065,845.671,903.7226,915.8888,882.8773,883.4848,1015.4613,969.558,1000.7687,835.5164,908.1984,721.5613,674.3769,368.3994,567.3996,375.276,550.195,399.8333,568.1556,527.6938,546.1238,230.3932,541.6772,463.3105,342.0099,668.1196,367.4616,323.1457,419.3665
