gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
aadK,141.2181,139.289,135.5505,116.7589,119.9029,112.6481,165.6445,146.4865,158.5016,137.5263,152.4821,131.501,127.5371,110.105,137.0166,148.7501,111.6527,116.0692,167.3432,155.4912,108.7935,137.9838,160.5202,110.2057,153.9069,165.1534,116.2597,119.0786
aapA,81.9586,52.2426,44.9094,41.0472,38.7765,76.6742,22.7212,70.934,34.787,33.913,35.4705,36.9795,26.8075,44.7855,65.3242,48.9274,36.5089,54.1108,31.0166,27.2769,65.1062,70.9528,38.9159,34.9312,33.3278,29.2352,50.7149,40.3951
abfA,2.3094,4.2147,8.5876,27.0024,13.117,61.5995,21.1496,5.1327,4.3983,7.7844,4.8375,4.5706,8.5629,34.426,3.8527,5.8962,17.5986,31.3756,6.8132,10.8498,57.1054,4.3244,4.3409,15.9361,8.6991,4.9911,32.4439,36.5336
abh,358.1198,489.2919,372.0259,248.293,307.3815,234.4385,265.5088,334.243,530.1574,526.2903,502.3301,412.0152,462.9686,231.3549,356.8262,542.5524,393.8737,209.0732,403.7356,353.664,176.6913,328.9645,444.312,312.6204,365.8313,395.4027,366.6685,226.8781
abnA,1.316,2.3537,6.8509,31.9412,20.7194,88.244,46.3994,0.7226,1.7544,2.4841,6.6538,7.5357,10.6815,53.6421,1.655,3.0511,15.5713,42.8233,8.153,12.0298,85.6627,0.8363,2.2262,20.1494,7.3876,8.1977,49.0507,61.934
abnB,17.5836,20.891,52.4449,78.2446,58.5851,128.963,156.4028,22.6895,32.4283,39.8298,42.4972,55.3795,53.6044,108.8626,19.7444,27.8582,60.3711,99.1263,56.0831,63.7076,137.0398,18.4384,35.0346,64.423,56.3848,71.0412,84.6458,126.836
abrB,4328.7554,4163.1102,1200.1411,450.9402,708.3497,215.013,401.3311,3897.8156,3414.5502,1782.7105,798.7716,473.243,343.2006,303.5983,4025.317,2896.0046,1053.8107,394.7238,810.4333,331.6715,190.4745,4156.7904,2778.9897,938.7306,708.8598,613.9063,333.8228,236.8193
accA,670.017,477.6922,693.4199,396.6117,486.4196,230.1969,398.7406,564.2213,537.0894,815.2914,677.8041,640.8401,462.0192,265.7695,566.3571,572.3329,538.7019,388.0705,533.1258,440.3069,220.6753,596.907,589.9191,512.9184,570.5461,540.9836,316.0716,276.047
accB,763.4151,526.5706,547.3226,310.9932,350.7594,174.8441,399.7128,742.1354,745.4227,570.375,506.1324,384.0328,279.338,241.5504,763.2698,676.6238,377.2235,302.2312,396.4523,294.8191,194.3998,751.7122,716.5158,356.3599,454.7145,387.4897,203.5354,238.7217
accC,845.671,883.4848,835.5164,368.3994,399.8333,230.3932,668.1196,903.7226,1015.4613,908.1984,567.3996,568.1556,541.6772,367.4616,915.8888,969.558,721.5613,375.276,527.6938,463.3105,323.1457,882.8773,1000.7687,674.3769,550.195,546.1238,342.0099,419.3665
accD,928.9532,677.3686,829.4919,530.0778,599.5742,290.2338,603.7265,798.6805,743.0386,946.8557,873.9153,862.7071,653.4857,373.4571,803.363,739.9384,633.242,508.071,694.6708,637.3183,306.5424,843.32,694.7692,601.0106,763.3304,722.8124,412.6785,382.6295
acdA,13.4839,7.7794,15.0961,30.8947,22.6547,74.2028,151.3705,9.9515,14.9803,14.8816,10.5565,20.0867,33.458,103.9824,8.5961,11.9756,23.8352,38.0437,11.7273,82.433,112.7403,12.0937,17.987,29.1371,16.4636,17.4185,48.7573,112.5561
ackA,1430.6011,580.1462,607.9665,255.627,284.6035,110.9,91.9786,1087.3002,522.8352,816.9318,408.9959,295.1022,124.4851,95.5568,1128.2079,602.2095,467.1586,230.6768,277.7459,118.1882,75.8284,1267.6087,562.7231,419.2077,321.2934,215.4345,140.7924,83.9352
acoA,0.9897,0.0,8.856,51.677,34.6288,111.8098,1337.805,1.1322,1.9243,4.3787,23.0198,71.7589,74.7307,247.4871,0.2223,0.4781,14.3989,50.0876,52.5182,219.0179,513.5089,0.7862,0.9302,20.9725,26.0972,72.0035,86.1012,660.4585
acoB,1.4457,1.8468,7.317,35.3607,23.5658,92.823,1334.4216,1.9845,3.7475,5.1166,16.3245,55.1887,51.8485,218.458,2.5973,1.6293,13.32,40.307,38.7007,199.8409,508.4473,2.1054,2.038,19.7634,18.6494,48.887,68.9294,632.3821
acoC,3.9354,3.1753,11.4569,53.5859,35.7403,117.1887,2096.7568,5.3075,5.2926,6.8421,27.6479,81.1121,82.1054,362.8722,5.2098,5.0024,21.8966,59.8066,61.31,300.8688,821.0995,2.6327,4.6719,23.2191,32.0639,73.9135,104.1238,980.2164
acoL,5.9417,4.6004,10.3498,41.8384,32.6433,102.9341,2143.5912,4.6137,5.0008,11.4706,32.9554,84.3117,87.8564,344.0912,4.6905,6.4357,22.1776,50.0633,56.8074,301.8845,754.0415,4.8631,5.9226,21.6608,27.7194,77.2302,101.1614,972.6823
acoR,16.365,28.5723,36.6816,40.4137,30.6892,85.8787,150.8085,16.9734,29.2414,34.9134,22.0652,26.8287,23.5545,70.8196,14.8233,23.4507,47.7483,47.2948,19.0885,47.5858,114.678,17.2255,24.9932,44.4962,20.9954,21.9664,52.3319,109.0682
acpK,100.5656,120.8424,195.4651,129.2683,129.8486,132.6796,88.9074,82.9214,219.0285,177.3795,161.1025,167.3731,161.6388,83.3981,93.9168,256.827,158.3761,115.6102,171.3555,156.5116,88.3836,94.9181,288.2252,204.1819,122.8028,156.8367,120.5147,74.273
acpP,2526.9699,2980.5502,1771.979,606.0381,840.8283,306.8489,781.1107,2207.8619,3113.469,2488.75,1087.5063,762.3165,535.0009,542.8181,2074.885,2829.1177,1306.0948,457.2822,955.4606,532.7059,383.721,2048.6703,3291.0633,1126.9098,903.008,857.0809,472.8849,451.3906
acpS,54.1922,36.3466,58.0412,74.5619,51.1723,130.3028,51.1806,43.3952,52.6807,49.5492,58.9114,56.9343,54.9837,79.4332,48.6813,49.0805,49.9318,92.1066,54.403,52.1069,116.6519,53.2748,51.5685,60.5033,60.499,59.6799,81.0578,90.6414
acsA,94.9025,118.1074,137.1873,87.382,78.7904,140.8091,374.4637,102.0301,140.5266,123.534,83.2802,118.2908,177.2359,181.2052,101.447,156.1919,121.9792,88.1385,90.0179,228.4784,240.9434,112.3985,166.4574,116.5955,79.1268,127.7088,105.2364,308.0056
acuA,96.3516,108.5803,146.5566,134.4935,120.2199,164.3611,545.6692,107.1747,124.4506,136.3152,115.654,158.0853,159.697,222.8066,111.1826,137.7294,137.8948,153.1856,130.7662,179.4589,333.0681,103.6115,147.6119,128.8658,151.5819,182.2937,132.2526,351.8016
acuB,74.5709,104.1049,101.7232,109.2092,88.3346,117.3114,495.4744,85.4813,117.0107,105.6628,104.1734,138.1032,118.27,209.0027,93.2304,109.916,113.7065,131.2501,110.693,159.8365,279.3307,79.6981,126.8026,111.0539,123.5867,138.196,97.8067,333.4326
acuC,84.347,79.1836,94.7155,99.7903,77.4027,141.3402,424.5104,74.8519,81.403,90.2126,87.2336,111.5434,117.2012,192.824,75.0044,91.5663,95.6474,117.6351,99.4598,139.3837,256.7545,82.0646,103.0944,86.1914,109.608,126.8081,117.0362,286.1532
adaA,8.1863,12.9483,12.6839,40.7078,22.9386,70.7964,10.2639,8.9188,16.8905,6.4387,9.461,14.4018,15.8208,37.0046,9.1048,10.5446,24.1974,48.538,12.523,17.3832,55.3648,11.1484,9.5257,28.0675,15.9156,16.9986,44.2337,41.3695
adaB,15.1512,24.0483,12.4491,38.0103,28.842,75.9816,13.6654,16.807,12.242,10.8333,25.0716,14.4178,15.6,37.8148,16.91,17.2982,26.2726,54.0106,19.4901,15.3552,61.9471,18.9661,12.9452,26.7806,25.384,17.9776,44.5197,37.0727
