gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h
aadK,141.2181,139.289,135.5505,116.7589,119.9029,146.4865,158.5016,137.5263,152.4821,131.501,137.0166,148.7501,111.6527,116.0692,167.3432,137.9838,160.5202,110.2057,153.9069,165.1534
aapA,81.9586,52.2426,44.9094,41.0472,38.7765,70.934,34.787,33.913,35.4705,36.9795,65.3242,48.9274,36.5089,54.1108,31.0166,70.9528,38.9159,34.9312,33.3278,29.2352
abfA,2.3094,4.2147,8.5876,27.0024,13.117,5.1327,4.3983,7.7844,4.8375,4.5706,3.8527,5.8962,17.5986,31.3756,6.8132,4.3244,4.3409,15.9361,8.6991,4.9911
abh,358.1198,489.2919,372.0259,248.293,307.3815,334.243,530.1574,526.2903,502.3301,412.0152,356.8262,542.5524,393.8737,209.0732,403.7356,328.9645,444.312,312.6204,365.8313,395.4027
abnA,1.316,2.3537,6.8509,31.9412,20.7194,0.7226,1.7544,2.4841,6.6538,7.5357,1.655,3.0511,15.5713,42.8233,8.153,0.8363,2.2262,20.1494,7.3876,8.1977
abnB,17.5836,20.891,52.4449,78.2446,58.5851,22.6895,32.4283,39.8298,42.4972,55.3795,19.7444,27.8582,60.3711,99.1263,56.0831,18.4384,35.0346,64.423,56.3848,71.0412
abrB,4328.7554,4163.1102,1200.1411,450.9402,708.3497,3897.8156,3414.5502,1782.7105,798.7716,473.243,4025.317,2896.0046,1053.8107,394.7238,810.4333,4156.7904,2778.9897,938.7306,708.8598,613.9063
accA,670.017,477.6922,693.4199,396.6117,486.4196,564.2213,537.0894,815.2914,677.8041,640.8401,566.3571,572.3329,538.7019,388.0705,533.1258,596.907,589.9191,512.9184,570.5461,540.9836
accB,763.4151,526.5706,547.3226,310.9932,350.7594,742.1354,745.4227,570.375,506.1324,384.0328,763.2698,676.6238,377.2235,302.2312,396.4523,751.7122,716.5158,356.3599,454.7145,387.4897
accC,845.671,883.4848,835.5164,368.3994,399.8333,903.7226,1015.4613,908.1984,567.3996,568.1556,915.8888,969.558,721.5613,375.276,527.6938,882.8773,1000.7687,674.3769,550.195,546.1238
accD,928.9532,677.3686,829.4919,530.0778,599.5742,798.6805,743.0386,946.8557,873.9153,862.7071,803.363,739.9384,633.242,508.071,694.6708,843.32,694.7692,601.0106,763.3304,722.8124
acdA,13.4839,7.7794,15.0961,30.8947,22.6547,9.9515,14.9803,14.8816,10.5565,20.0867,8.5961,11.9756,23.8352,38.0437,11.7273,12.0937,17.987,29.1371,16.4636,17.4185
ackA,1430.6011,580.1462,607.9665,255.627,284.6035,1087.3002,522.8352,816.9318,408.9959,295.1022,1128.2079,602.2095,467.1586,230.6768,277.7459,1267.6087,562.7231,419.2077,321.2934,215.4345
acoA,0.9897,0.0,8.856,51.677,34.6288,1.1322,1.9243,4.3787,23.0198,71.7589,0.2223,0.4781,14.3989,50.0876,52.5182,0.7862,0.9302,20.9725,26.0972,72.0035
acoB,1.4457,1.8468,7.317,35.3607,23.5658,1.9845,3.7475,5.1166,16.3245,55.1887,2.5973,1.6293,13.32,40.307,38.7007,2.1054,2.038,19.7634,18.6494,48.887
acoC,3.9354,3.1753,11.4569,53.5859,35.7403,5.3075,5.2926,6.8421,27.6479,81.1121,5.2098,5.0024,21.8966,59.8066,61.31,2.6327,4.6719,23.2191,32.0639,73.9135
acoL,5.9417,4.6004,10.3498,41.8384,32.6433,4.6137,5.0008,11.4706,32.9554,84.3117,4.6905,6.4357,22.1776,50.0633,56.8074,4.8631,5.9226,21.6608,27.7194,77.2302
acoR,16.365,28.5723,36.6816,40.4137,30.6892,16.9734,29.2414,34.9134,22.0652,26.8287,14.8233,23.4507,47.7483,47.2948,19.0885,17.2255,24.9932,44.4962,20.9954,21.9664
acpK,100.5656,120.8424,195.4651,129.2683,129.8486,82.9214,219.0285,177.3795,161.1025,167.3731,93.9168,256.827,158.3761,115.6102,171.3555,94.9181,288.2252,204.1819,122.8028,156.8367
acpP,2526.9699,2980.5502,1771.979,606.0381,840.8283,2207.8619,3113.469,2488.75,1087.5063,762.3165,2074.885,2829.1177,1306.0948,457.2822,955.4606,2048.6703,3291.0633,1126.9098,903.008,857.0809
acpS,54.1922,36.3466,58.0412,74.5619,51.1723,43.3952,52.6807,49.5492,58.9114,56.9343,48.6813,49.0805,49.9318,92.1066,54.403,53.2748,51.5685,60.5033,60.499,59.6799
acsA,94.9025,118.1074,137.1873,87.382,78.7904,102.0301,140.5266,123.534,83.2802,118.2908,101.447,156.1919,121.9792,88.1385,90.0179,112.3985,166.4574,116.5955,79.1268,127.7088
acuA,96.3516,108.5803,146.5566,134.4935,120.2199,107.1747,124.4506,136.3152,115.654,158.0853,111.1826,137.7294,137.8948,153.1856,130.7662,103.6115,147.6119,128.8658,151.5819,182.2937
acuB,74.5709,104.1049,101.7232,109.2092,88.3346,85.4813,117.0107,105.6628,104.1734,138.1032,93.2304,109.916,113.7065,131.2501,110.693,79.6981,126.8026,111.0539,123.5867,138.196
acuC,84.347,79.1836,94.7155,99.7903,77.4027,74.8519,81.403,90.2126,87.2336,111.5434,75.0044,91.5663,95.6474,117.6351,99.4598,82.0646,103.0944,86.1914,109.608,126.8081
