gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h
aadK,139.289,135.5505,116.7589,119.9029,112.6481,158.5016,137.5263,152.4821,131.501,127.5371,148.7501,111.6527,116.0692,167.3432,155.4912,160.5202,110.2057,153.9069,165.1534,116.2597
aapA,52.2426,44.9094,41.0472,38.7765,76.6742,34.787,33.913,35.4705,36.9795,26.8075,48.9274,36.5089,54.1108,31.0166,27.2769,38.9159,34.9312,33.3278,29.2352,50.7149
abfA,4.2147,8.5876,27.0024,13.117,61.5995,4.3983,7.7844,4.8375,4.5706,8.5629,5.8962,17.5986,31.3756,6.8132,10.8498,4.3409,15.9361,8.6991,4.9911,32.4439
abh,489.2919,372.0259,248.293,307.3815,234.4385,530.1574,526.2903,502.3301,412.0152,462.9686,542.5524,393.8737,209.0732,403.7356,353.664,444.312,312.6204,365.8313,395.4027,366.6685
abnA,2.3537,6.8509,31.9412,20.7194,88.244,1.7544,2.4841,6.6538,7.5357,10.6815,3.0511,15.5713,42.8233,8.153,12.0298,2.2262,20.1494,7.3876,8.1977,49.0507
abnB,20.891,52.4449,78.2446,58.5851,128.963,32.4283,39.8298,42.4972,55.3795,53.6044,27.8582,60.3711,99.1263,56.0831,63.7076,35.0346,64.423,56.3848,71.0412,84.6458
abrB,4163.1102,1200.1411,450.9402,708.3497,215.013,3414.5502,1782.7105,798.7716,473.243,343.2006,2896.0046,1053.8107,394.7238,810.4333,331.6715,2778.9897,938.7306,708.8598,613.9063,333.8228
accA,477.6922,693.4199,396.6117,486.4196,230.1969,537.0894,815.2914,677.8041,640.8401,462.0192,572.3329,538.7019,388.0705,533.1258,440.3069,589.9191,512.9184,570.5461,540.9836,316.0716
accB,526.5706,547.3226,310.9932,350.7594,174.8441,745.4227,570.375,506.1324,384.0328,279.338,676.6238,377.2235,302.2312,396.4523,294.8191,716.5158,356.3599,454.7145,387.4897,203.5354
accC,883.4848,835.5164,368.3994,399.8333,230.3932,1015.4613,908.1984,567.3996,568.1556,541.6772,969.558,721.5613,375.276,527.6938,463.3105,1000.7687,674.3769,550.195,546.1238,342.0099
accD,677.3686,829.4919,530.0778,599.5742,290.2338,743.0386,946.8557,873.9153,862.7071,653.4857,739.9384,633.242,508.071,694.6708,637.3183,694.7692,601.0106,763.3304,722.8124,412.6785
acdA,7.7794,15.0961,30.8947,22.6547,74.2028,14.9803,14.8816,10.5565,20.0867,33.458,11.9756,23.8352,38.0437,11.7273,82.433,17.987,29.1371,16.4636,17.4185,48.7573
ackA,580.1462,607.9665,255.627,284.6035,110.9,522.8352,816.9318,408.9959,295.1022,124.4851,602.2095,467.1586,230.6768,277.7459,118.1882,562.7231,419.2077,321.2934,215.4345,140.7924
acoA,0.0,8.856,51.677,34.6288,111.8098,1.9243,4.3787,23.0198,71.7589,74.7307,0.4781,14.3989,50.0876,52.5182,219.0179,0.9302,20.9725,26.0972,72.0035,86.1012
acoB,1.8468,7.317,35.3607,23.5658,92.823,3.7475,5.1166,16.3245,55.1887,51.8485,1.6293,13.32,40.307,38.7007,199.8409,2.038,19.7634,18.6494,48.887,68.9294
acoC,3.1753,11.4569,53.5859,35.7403,117.1887,5.2926,6.8421,27.6479,81.1121,82.1054,5.0024,21.8966,59.8066,61.31,300.8688,4.6719,23.2191,32.0639,73.9135,104.1238
acoL,4.6004,10.3498,41.8384,32.6433,102.9341,5.0008,11.4706,32.9554,84.3117,87.8564,6.4357,22.1776,50.0633,56.8074,301.8845,5.9226,21.6608,27.7194,77.2302,101.1614
acoR,28.5723,36.6816,40.4137,30.6892,85.8787,29.2414,34.9134,22.0652,26.8287,23.5545,23.4507,47.7483,47.2948,19.0885,47.5858,24.9932,44.4962,20.9954,21.9664,52.3319
