,Rep3@30min,Rep3@60min,Rep3@90min,Rep3@120min,Rep3@150min,Rep3@180min,Rep3@195min,Rep3@210min,Rep1@30min,Rep1@60min,Rep1@90min,Rep1@120min,Rep1@150min,Rep1@180min,Rep1@195min,Rep1@210min,Rep2@30min,Rep2@60min,Rep2@90min,Rep2@120min,Rep2@150min,Rep2@180min,Rep2@195min,Rep2@210min,Rep3@225min,Rep3@240min,Rep1@225min,Rep1@240min,Rep2@225min,Rep2@240min
yobT,2.26119532910019,2.76758745124232,3.10146681287359,3.15239199094251,3.15836557806794,2.6572150793654,3.39244354993458,2.78296451735303,2.84795327274624,3.10062540854501,3.27813441093527,3.24200922070937,3.46399884802849,3.06630024404489,2.79902504570921,2.82058520411461,3.10298455427172,2.97298470429481,2.97612850382012,3.04889132097779,3.42877833565873,3.02555956118225,2.94727607239258,2.91920341626227,2.05010145057255,2.50229459120698,2.6773197243881,2.48184043467386,2.39181953264965,3.09282191969018
B4U62_RS11785,3.24385372459541,3.27583862326444,3.27616546376744,3.10654250980023,3.14112805753309,2.64439958640988,2.17736475308693,2.26684420674002,3.72830081865927,3.59560406931412,3.72774225205714,3.61682099701213,3.63276361840954,3.18995412359601,3.20010149230685,3.15168092915653,3.40994553706782,3.19706162138089,3.2718770476541,3.5287759917836,3.5252839059234,2.11402320471472,3.06656861407646,2.17301663094589,2.29332317598455,1.95984757802917,2.21171917274945,2.77666382810728,2.08241735440653,2.35711840388266
yqkC,6.29949590606153,6.16327278771586,6.15335585824725,6.19939872842941,6.49433683561867,6.56065631542905,6.41891771621988,6.09692069009083,6.10742926859388,6.00955304161085,6.0787893901244,6.24285963704402,6.45909123202991,6.21849933721015,6.61867856485077,6.35220642398767,6.42807182535728,6.27714048531438,6.75375322439735,6.46913092964793,6.31023530647912,6.6307093644254,6.50496320522725,6.6560383353873,6.55909083080525,6.40701005589821,6.31290864302834,7.18079332665633,6.54144771701982,6.44269734491066
B4U62_RS04075,1.53750684099221,1.87534662672467,1.76491433867433,1.878302298293,2.05532109800198,2.88129243483781,2.84207608285437,3.4089744654421,1.3169218762777,1.73764687054068,1.91707049194389,1.65339929935091,1.90452433861096,2.52422554341468,2.00757586665678,2.40203030114134,1.61121854500752,2.07844399536407,1.71705463934282,2.19916923311374,2.05553385168202,2.63381317974321,2.19216123296445,2.86206827538181,4.09336181751483,2.78843795560477,2.55270799608082,3.15433749836311,2.57277184724725,3.10386265052494
glcK,5.60877351316239,6.06558347924099,6.09894038340525,6.06051230853363,6.28663128575526,5.36565551315768,4.86801652374311,5.21713535037578,5.96763050103059,5.40359844960682,5.7378601309379,5.99382150708348,6.23428509251304,6.42697784878955,6.17203631785035,6.22491981481207,5.66668093762583,5.77987079558569,5.83680112936325,6.09011047566476,6.39329560673854,5.44378667133349,6.26754798617444,5.34887014033026,4.00914636309304,3.88854406795409,5.46641577824936,4.34357448247802,5.03710379761529,4.33614567882285
xkdP,5.07068998443987,5.77787913816058,6.86915922363866,7.30474752081512,6.09067787937344,6.10178146620053,5.23482847677018,5.60928285574804,3.64800712186053,3.89246656699633,5.19155847870642,5.45945515715392,5.67364081348182,6.61217268012338,5.81784991350504,6.32669610623456,3.9481008375517,4.82649929670565,6.41757685038249,6.76246383784393,7.15803328761219,5.79887067788434,7.66191789417636,5.96959039836497,4.47604467989031,5.04874397638472,4.79113819706948,4.67862660525084,5.76810046043514,5.55070311347955
proS,9.38157505531446,9.59314169376344,9.60927896030592,9.66158986430583,9.52146963905831,9.59742973888905,9.63671491517563,9.54804323311512,9.19900555665077,8.87294630417051,8.98028535626197,9.32136557046349,9.52311120024029,9.68361276310003,9.367505347846,9.46769412853681,9.08175743078758,9.0728114736021,9.35491130341097,9.43514887802038,9.67860039760769,9.6821664126728,9.66398089047468,9.62187733731379,9.23913290594004,9.35930294588737,9.4655234792077,8.8503386429057,9.5291079841536,9.31279948195025
yugM,2.9042144698814,2.00340958865661,2.57246021007029,3.2610193074506,3.45890209407216,3.71305599045592,3.7537910791726,4.29544919463516,3.1026402923743,2.84268343666291,2.95656961747951,3.23605242788372,3.49747830653277,3.4373913722895,3.72535258816793,3.73473883647338,3.60835000739591,3.09556774317221,2.57848020556656,3.11361894648981,3.42877833565873,3.64213759209631,3.7106479202219,4.23595036901919,4.76359255880138,3.38682654087005,4.22862067014297,3.39666928941738,4.66850388151664,4.0237489838406
ylaB,1.5690168164379,1.05629559205248,1.37358478810142,1.19269382958126,1.32925916771784,0.540675596865991,-0.0943805071400202,0.102202396209038,0.78995512866971,0.840036947696224,0.819803973413388,0.864169848774146,1.00314993563449,1.1728323991459,0.522531220371994,0.824406805580854,0.969510021666488,0.19553404615773,0.632265600473814,1.36706614898861,1.6473676585136,-0.205887457785565,1.06470796788321,0.705980117759992,-0.164898002630525,-0.353244540634291,0.707346804654351,0.314518549861,-0.177254152647768,-0.0082076304903835
ylaC,3.53062943975853,3.17063771013283,2.57246021007029,3.12964938228432,3.02376528702364,2.69499235379983,1.80674694172624,1.97989542389713,2.61437223837539,2.96015827281833,3.24512781801505,3.14996689688969,2.97305924114034,2.83327499058933,3.03542773060333,2.96386863158789,3.38851773140815,2.89694408013124,2.98575059342658,2.98804459067166,3.12433275542242,2.49053667282239,2.8658823213716,2.62163093731977,1.75739136545767,1.74739333830977,2.26564959653004,2.87482816668555,2.2572031858424,2.15964274823725
