GSM1636117	Germ1_T40min
GSM1636118	Germ1_T70min
GSM1636119	Germ1_T90min
GSM1636120	Germ1_T120min
GSM1636121	Germ1_T150min
GSM1636122	DSM1_T-1.5
GSM1636123	DSM1_T-1.0
GSM1636124	DSM1_T-0.5
GSM1636125	DSM1_T0
GSM1636126	DSM1_T+0.5
GSM1636127	DSM1_T+1.0
GSM1636128	DSM1_T+1.5
GSM1636129	DSM1_T+2.5
GSM1636130	DSM1_T+3.5
GSM1636131	DSM1_T+4.0
GSM1636132	DSM1_T+4.5
GSM1636133	DSM1_T+5.0
GSM1636134	DSM1_T+5.5
GSM1636135	Germ2_T40min
GSM1636136	Germ2_T70min
GSM1636137	Germ2_T90min
GSM1636138	Germ2_T105min
GSM1636139	Germ2_T120min
GSM1636140	DSM2_T-2.5
GSM1636141	DSM2_T-2.0
GSM1636142	DSM2_T-1.5
GSM1636143	DSM2_T-1.0
GSM1636144	DSM2_T-0.5
GSM1636145	DSM2_T0
GSM1636146	DSM2_T+0.5
GSM1636147	DSM2_T+1.0
GSM1636148	DSM2_T+1.5
GSM1636149	DSM2_T+2.0
GSM1636150	DSM2_T+2.5
GSM1636151	DSM2_T+3.0
GSM1636152	DSM2_T+3.5
GSM1636153	DSM2_T+4.0
GSM1636154	DSM2_T+4.5
GSM1636155	DSM2_T+5.0
GSM1636156	Spo0A1_1
GSM1636157	Spo0A1_2
GSM1636158	Spo0A1_3
GSM1636159	Spo0A2_1
GSM1636160	Spo0A2_2
GSM1636161	Spo0A2_3
GSM1636162	SigH1_1
GSM1636163	SigH1_2
GSM1636164	SigH1_3
GSM1636165	SigH1_4
GSM1636166	SigH1_5
GSM1636167	SigH2_1
GSM1636168	SigH2_2
GSM1636169	SigH2_3
GSM1636170	SigH2_4
GSM1636171	SigH2_5
GSM1636172	ScoC_1.4_1
GSM1636173	ScoC_2.0_2
GSM1636174	ScoC_1.4_3
GSM1636175	ScoC_2.0_3
GSM1636176	CodY 0.9_1
GSM1636177	CodY 1.4_1
GSM1636178	CodY 0.9_2
GSM1636179	CodY 1.4_2
GSM1636180	SigL_0.9_1
GSM1636181	SigL_1.4_1
GSM1636182	SigL_0.9_2
GSM1636183	SigL_1.4_2
GSM1636184	BkdR OD 0.9
GSM1636185	BkdR OD 1.4
GSM1636186	BkdR OD 0.4
