V1	V2	N_Overlap	padj	Correlation	Synergy
AT1G13450_GT1	AT1G13450_GT1	80	1.99032416898252e-239	1	19096.0860946577
AT1G13450_GT1	AT1G32540_LOL1	2	0.00433056904472215	-1	-4.72691006560957
AT1G13450_GT1	AT2G41835_SAP11	0	1		
AT1G13450_GT1	AT2G32700_LUH	0	1		
AT1G13450_GT1	AT2G41310_RR3	0	1		
AT1G13450_GT1	AT5G65210_TGA1	2	1	-1	0
AT1G13450_GT1	AT2G28550_RAP27	4	1	0.172743816491311	0
AT1G13450_GT1	AT4G31800_WRKY18	2	1	1	0
AT1G13450_GT1	AT4G37790_HAT22	5	1	0.421255108413746	0
AT1G13450_GT1	AT1G66600_ABO3	3	1	-0.400794381537539	0
AT1G13450_GT1	AT5G59450_SCL11	4	1	0.804759655465425	0
AT1G13450_GT1	AT1G22070_TGA3	4	0.119742347918952	0.789381420541018	2.9104563401456
AT1G13450_GT1	AT5G15830_BZIP3	4	1	0.717597902557854	0
AT1G13450_GT1	AT5G22570_WRKY38	0	1		
AT1G13450_GT1	AT1G31320_LBD4	3	1	0.964412805154169	0
AT1G13450_GT1	AT5G29000_PHL1	9	0.00114712103653545	0.913681823705735	24.1792342937773
AT1G13450_GT1	AT1G35560_TCP23	0	1		
AT1G13450_GT1	AT4G00238_STKL1	6	4.16466954353963e-10	0.961958304652527	54.1414343642444
AT1G13450_GT1	AT4G37180_AT4G37180	0	1		
AT1G13450_GT1	AT4G10920_KELP	0	1		
AT1G13450_GT1	AT5G60890_MYB34	1	1		
AT1G13450_GT1	AT4G27330_SPL	10	0.00509332437244087	0.407232119273481	9.33782705656465
AT1G13450_GT1	AT5G10030_TGA4	0	1		
AT1G13450_GT1	AT5G56840_AT5G56840	1	1		
AT1G13450_GT1	AT1G19350_BES1	0	1		
AT1G13450_GT1	AT1G51140_FBH3	11	0.0994717441653058	-0.0598087992619155	-0.659410130128561
AT1G13450_GT1	AT2G42280_FBH4	21	2.16024111931371e-19	0.638846993637535	250.412339858301
AT1G13450_GT1	AT1G54690_GAMMAH2AX	5	0.119750945713867	0.959256017621647	4.42083230993096
AT1G13450_GT1	AT2G01930_BPC1	2	1	1	0
AT1G13450_GT1	AT2G42430_LBD16	6	1	0.886650888629991	0
AT1G13450_GT1	AT1G01060_LHY	3	1	0.73155346569876	0
AT1G13450_GT1	AT1G14687_HB32	7	0.356924209340664	0.98577338499339	3.08741065467292
AT1G13450_GT1	AT1G26960_HB23	5	0.0862366578671525	0.945486561724542	5.03144495039136
AT1G13450_GT1	AT1G69180_CRC	1	1		
AT1G13450_GT1	AT3G46590_TRFL1	0	1		
AT1G13450_GT1	AT1G10240_FRS11	0	1		
AT1G13450_GT1	AT2G25000_WRKY60	0	1		
AT1G32540_LOL1	AT1G32540_LOL1	2	1.37043324200063e-06	1	11.7262842308464
AT1G32540_LOL1	AT2G41835_SAP11	0	1		
AT1G32540_LOL1	AT2G32700_LUH	0	1		
AT1G32540_LOL1	AT2G41310_RR3	0	1		
AT1G32540_LOL1	AT5G65210_TGA1	0	1		
AT1G32540_LOL1	AT2G28550_RAP27	0	1		
AT1G32540_LOL1	AT4G31800_WRKY18	0	1		
AT1G32540_LOL1	AT4G37790_HAT22	0	1		
AT1G32540_LOL1	AT1G66600_ABO3	0	1		
AT1G32540_LOL1	AT5G59450_SCL11	0	1		
AT1G32540_LOL1	AT1G22070_TGA3	0	1		
AT1G32540_LOL1	AT5G15830_BZIP3	0	1		
AT1G32540_LOL1	AT5G22570_WRKY38	0	1		
AT1G32540_LOL1	AT1G31320_LBD4	0	1		
AT1G32540_LOL1	AT5G29000_PHL1	0	1		
AT1G32540_LOL1	AT1G35560_TCP23	0	1		
AT1G32540_LOL1	AT4G00238_STKL1	0	1		
AT1G32540_LOL1	AT4G37180_AT4G37180	0	1		
AT1G32540_LOL1	AT4G10920_KELP	0	1		
AT1G32540_LOL1	AT5G60890_MYB34	0	1		
AT1G32540_LOL1	AT4G27330_SPL	0	1		
AT1G32540_LOL1	AT5G10030_TGA4	0	1		
AT1G32540_LOL1	AT5G56840_AT5G56840	0	1		
AT1G32540_LOL1	AT1G19350_BES1	0	1		
AT1G32540_LOL1	AT1G51140_FBH3	0	1		
AT1G32540_LOL1	AT2G42280_FBH4	0	1		
AT1G32540_LOL1	AT1G54690_GAMMAH2AX	0	1		
AT1G32540_LOL1	AT2G01930_BPC1	0	1		
AT1G32540_LOL1	AT2G42430_LBD16	0	1		
AT1G32540_LOL1	AT1G01060_LHY	0	1		
AT1G32540_LOL1	AT1G14687_HB32	0	1		
AT1G32540_LOL1	AT1G26960_HB23	0	1		
AT1G32540_LOL1	AT1G69180_CRC	0	1		
AT1G32540_LOL1	AT3G46590_TRFL1	0	1		
AT1G32540_LOL1	AT1G10240_FRS11	0	1		
AT1G32540_LOL1	AT2G25000_WRKY60	0	1		
AT2G41835_SAP11	AT2G41835_SAP11	5	2.50276271178881e-18	1	88.0079016206082
AT2G41835_SAP11	AT2G32700_LUH	0	1		
AT2G41835_SAP11	AT2G41310_RR3	0	1		
AT2G41835_SAP11	AT5G65210_TGA1	2	0.305359695664302	-1	-1.03037657179371
AT2G41835_SAP11	AT2G28550_RAP27	0	1		
AT2G41835_SAP11	AT4G31800_WRKY18	1	1		
AT2G41835_SAP11	AT4G37790_HAT22	0	1		
AT2G41835_SAP11	AT1G66600_ABO3	2	1	1	0
AT2G41835_SAP11	AT5G59450_SCL11	2	0.948762415450101	-1	-0.0456850558136069
AT2G41835_SAP11	AT1G22070_TGA3	0	1		
AT2G41835_SAP11	AT5G15830_BZIP3	1	1		
AT2G41835_SAP11	AT5G22570_WRKY38	0	1		
AT2G41835_SAP11	AT1G31320_LBD4	0	1		
AT2G41835_SAP11	AT5G29000_PHL1	1	1		
AT2G41835_SAP11	AT1G35560_TCP23	2	0.0160690471043713	1	3.5880197523331
AT2G41835_SAP11	AT4G00238_STKL1	0	1		
AT2G41835_SAP11	AT4G37180_AT4G37180	0	1		
AT2G41835_SAP11	AT4G10920_KELP	0	1		
AT2G41835_SAP11	AT5G60890_MYB34	0	1		
AT2G41835_SAP11	AT4G27330_SPL	1	1		
AT2G41835_SAP11	AT5G10030_TGA4	0	1		
AT2G41835_SAP11	AT5G56840_AT5G56840	0	1		
AT2G41835_SAP11	AT1G19350_BES1	0	1		
AT2G41835_SAP11	AT1G51140_FBH3	2	1	1	0
AT2G41835_SAP11	AT2G42280_FBH4	0	1		
AT2G41835_SAP11	AT1G54690_GAMMAH2AX	0	1		
AT2G41835_SAP11	AT2G01930_BPC1	0	1		
AT2G41835_SAP11	AT2G42430_LBD16	4	0.0333025407486919	-0.543130265443429	-3.20994903645808
AT2G41835_SAP11	AT1G01060_LHY	0	1		
AT2G41835_SAP11	AT1G14687_HB32	2	1	1	0
AT2G41835_SAP11	AT1G26960_HB23	0	1		
AT2G41835_SAP11	AT1G69180_CRC	1	1		
AT2G41835_SAP11	AT3G46590_TRFL1	0	1		
AT2G41835_SAP11	AT1G10240_FRS11	0	1		
AT2G41835_SAP11	AT2G25000_WRKY60	0	1		
AT2G32700_LUH	AT2G32700_LUH	2	1.37043324200063e-06	1	11.7262842308464
AT2G32700_LUH	AT2G41310_RR3	0	1		
AT2G32700_LUH	AT5G65210_TGA1	0	1		
AT2G32700_LUH	AT2G28550_RAP27	0	1		
AT2G32700_LUH	AT4G31800_WRKY18	0	1		
AT2G32700_LUH	AT4G37790_HAT22	0	1		
AT2G32700_LUH	AT1G66600_ABO3	0	1		
AT2G32700_LUH	AT5G59450_SCL11	0	1		
