Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUSG00000031373	Ensembl Gene Model	MGI:1926249	Car5b	carbonic anhydrase 5b, mitochondrial	protein coding gene
ENSMUSG00000025229	Ensembl Gene Model	MGI:1100498	Pitx3	paired-like homeodomain transcription factor 3	protein coding gene
ENSMUSG00000022471	Ensembl Gene Model	MGI:95606	Xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6	protein coding gene
ENSMUSG00000114609	Ensembl Gene Model	MGI:5588926	Gm29767	predicted gene, 29767	pseudogene
ENSMUSG00000113318	Ensembl Gene Model	MGI:5010298	Gm18113	predicted gene, 18113	pseudogene
ENSMUSG00000116715	Ensembl Gene Model	MGI:5623766	Gm40881	predicted gene, 40881	pseudogene
ENSMUSG00000082925	Ensembl Gene Model	MGI:3650404	Gm13135	predicted gene 13135	pseudogene
ENSMUSG00000076745	Ensembl Gene Model	MGI:98634	Trgv4	T cell receptor gamma, variable 4	gene segment
ENSMUSG00000114938	Ensembl Gene Model	MGI:6097496	Gm48134	predicted gene, 48134	pseudogene
ENSMUSG00000101881	Ensembl Gene Model	MGI:5434431	Gm21076	predicted gene, 21076	pseudogene
ENSMUSG00000075061	Ensembl Gene Model	MGI:3031106	Or4b1b	olfactory receptor family 4 subfamily B member 1B	protein coding gene
ENSMUSG00000101742	Ensembl Gene Model	MGI:5434735	Gm21380	predicted gene, 21380	pseudogene
ENSMUSG00000044991	Ensembl Gene Model	MGI:1920997	Shld1	shieldin complex subunit 1	protein coding gene
ENSMUSG00000073018	Ensembl Gene Model	MGI:2685916	Gm1070	predicted gene 1070	protein coding gene
ENSMUSG00000082700	Ensembl Gene Model	MGI:3650955	Gm13792	predicted gene 13792	pseudogene
ENSMUSG00000091735	Ensembl Gene Model	MGI:3525078	Gpr62	G protein-coupled receptor 62	protein coding gene
ENSMUSG00000082307	Ensembl Gene Model	MGI:3650378	Gm13418	predicted gene 13418	pseudogene
ENSMUSG00000106420	Ensembl Gene Model	MGI:3648326	Gm9245	predicted gene 9245	pseudogene
ENSMUSG00000086332	Ensembl Gene Model	MGI:1922238	4930480G23Rik	RIKEN cDNA 4930480G23 gene	lncRNA gene
ENSMUSG00000026587	Ensembl Gene Model	MGI:1098567	Astn1	astrotactin 1	protein coding gene
ENSMUSG00000109834	Ensembl Gene Model	MGI:3646505	Gm5650	predicted gene 5650	pseudogene
ENSMUSG00000080142	Ensembl Gene Model	MGI:3649431	Gm12838	predicted gene 12838	pseudogene
ENSMUSG00000042190	Ensembl Gene Model	MGI:109603	Cmklr1	chemerin chemokine-like receptor 1	protein coding gene
ENSMUSG00000036977	Ensembl Gene Model	MGI:1916249	Anapc10	anaphase promoting complex subunit 10	protein coding gene
ENSMUSG00000019775	Ensembl Gene Model	MGI:1927469	Rgs17	regulator of G-protein signaling 17	protein coding gene
ENSMUSG00000030629	Ensembl Gene Model	MGI:1929510	Zfand6	zinc finger, AN1-type domain 6	protein coding gene
ENSMUSG00000023892	Ensembl Gene Model	MGI:99198	Zfp51	zinc finger protein 51	protein coding gene
ENSMUSG00000023467	Ensembl Gene Model	MGI:1861600	Tulp2	tubby-like protein 2	protein coding gene
ENSMUSG00000005503	Ensembl Gene Model	MGI:95461	Evx1	even-skipped homeobox 1	protein coding gene
ENSMUSG00000112247	Ensembl Gene Model	MGI:6097127	Gm47894	predicted gene, 47894	pseudogene
ENSMUSG00000048787	Ensembl Gene Model	MGI:2679003	Dcun1d3	defective in cullin neddylation 1 domain containing 3	protein coding gene
