Feature.ID	gene name	HS_0.norm	HS_15.norm	HS_30.norm	HS_60.norm	HS_90.norm	HS_120.norm	R_0.norm	R_15.norm	R_30.norm	R_60.norm	R_90.norm	R_120.norm
YDR214W	AHA1	865.67	10136.36	4698.77	2320.37	2654.43	2566.89	743.13	1606.79	2439.39	2715.08	2758.68	2698.84
YCL050C	APA1	754.43	3070.7	1101.2	520.4	413.12	357.87	763.96	544.43	588.9	527.38	457.84	458.59
YNL077W	APJ1	106.96	734.12	261.96	174.87	208.61	222.04	103.19	286.83	308.04	316.62	296.82	317.81
YNR069C	BSC5	57.05	450.44	330.72	242.97	285.69	335.09	50.17	158.03	283.12	397.68	339.5	308.31
YGR142W	BTN2	215.35	11449.03	1571.79	797	785.13	815.78	253.71	2219.73	4199.29	3573.37	2893.51	2550.29
YLR216C	CPR6	989.75	18540.11	8058.08	3007.23	3321.38	3439.6	799.93	1678.04	3095.11	3718.33	2932.31	2421.61
YPR158W	CUR1	114.09	907.99	382.87	271.55	238.42	251.32	115.49	527.99	590.03	493.04	390.91	363.59
YBR101C	FES1	543.36	5509.97	976.74	617.08	728.61	700.28	548.12	1365.64	1865.22	1648.88	1391.95	1361.08
YHR104W	GRE3	222.48	14852.22	8611.65	3001.34	3243.27	3125.65	226.25	295.05	354.47	502.58	535.44	643.4
YNL281W	HCH1	1011.14	5202.9	3176.77	2133.73	2478.7	2267.58	1106.65	1515.45	2368.04	2584.43	2530.73	2609.88
YOR267C	HRK1	246.72	774.79	643.65	418.67	415.17	392.03	208.27	322.45	339.75	374.79	372.48	327.31
YMR186W	HSC82	9666.43	40808.79	20675.07	11866.66	12531.21	10598.58	11262.49	17461.89	23708.75	24273.57	22443.87	22167.59
YOR020C	HSP10	1062.48	9254.8	5481.11	3544.44	4054.09	3642.12	1158.72	1561.12	2386.16	2839.05	2456.04	2463.07
YLL026W	HSP104	1009.71	56610.69	22932	9894.35	9854.17	9854.38	1100.97	8471.52	18427.94	18901.59	16904.2	15706.79
YBR072W	HSP26	72.73	42652.22	28487.78	6722.34	7928.35	9689.27	55.85	46.59	61.15	61.03	78.57	102.77
YCR021C	HSP30	85.57	14899	3757.59	1484.7	1492.15	2492.06	88.99	76.73	94	67.71	95.06	92.41
YDR171W	HSP42	58.47	14559.39	5675.51	2549.88	2494.11	2359.49	86.15	622.07	2060.01	2660.72	2573.41	2477.75
YLR259C	HSP60	2159.19	18587.9	11099.72	6592.87	7848.19	6832.02	1607.44	3285.75	4806.3	4905.64	4580.34	4472.73
YDR258C	HSP78	347.98	18357.09	7601.72	3471.3	3319.32	3425.77	449.67	1353.76	2619.46	2559.63	2342.55	2292.07
YPL240C	HSP82	399.32	30772.07	14540.82	8125.49	7808.11	6535.16	424.11	3444.7	7110.93	7178.22	6336.04	6202.57
YPL250C	ICY2	69.88	795.13	213.36	172.35	231.22	277.35	84.25	159.86	300.11	257.49	204.67	187.41
YOL081W	IRA2	1206.52	5009.71	1709.29	1306.47	1673.02	1708.01	1279.89	1521.84	1686.28	1410.47	1358.97	1510.48
YJL034W	KAR2	3961.84	30748.69	19456.52	21016.97	26204.13	25761.61	4031.85	6564.19	12098.43	19074.2	24912.52	28962.61
YHR082C	KSP1	527.67	2089.5	1468.66	1165.23	1304.09	1286.7	522.56	832.17	998.86	832.55	835.17	837.72
YOR298C-A	MBF1	3154.64	14811.55	5511.93	3177.05	3758.13	4589.66	3453.44	7867.72	14465.34	16470.7	15846.9	14625.53
YFL016C	MDJ1	326.59	3643.15	1230.4	759.16	749.16	667.75	321.87	880.58	1212.9	1154.89	1044.69	968.99
YPR154W	PIN3	171.14	2188.13	596.24	389.25	412.09	450.59	139.16	235.68	240.09	265.12	368.6	417.13
YDL020C	RPN4	350.83	1226.25	872.43	769.25	753.27	758.84	327.55	654.96	805.2	801.08	687.73	690.9
YNL007C	SIS1	670.29	7824.18	2939.7	1434.26	1470.57	1455.87	443.04	2810.75	3981.85	4197.07	4038.11	3460.56
YER150W	SPI1	85.57	8259.37	2816.42	1078.63	968.05	862.95	62.48	87.69	82.67	64.85	93.12	114.86
YAL005C	SSA1	666.01	24572.72	11177.96	6215.39	7291.2	6660.41	627.64	3869.46	9579.76	12760	13076.58	12094.24
YLL024C	SSA2	6269.34	17465.37	5833.16	3115.68	3100.43	2814.14	5014.49	8825.95	12157.32	13916.8	13428.69	11807.51
YBL075C	SSA3	209.64	11339.22	7325.53	1979.88	1612.39	1450.99	248.03	306.01	449.6	535.96	489.85	509.54
YER103W	SSA4	355.11	81562.67	26477.41	4302.77	4414.8	3863.35	332.28	2498.34	19007.77	27861.25	23061.76	21908.5
YJR045C	SSC1	2805.23	11632.06	5733.59	3674.75	3879.39	3563.23	2162.19	3928.83	5741.74	5961.34	5441.7	5477.99
YPL106C	SSE1	5062.82	18407.93	6781.45	3651.21	4856.69	4748.26	5663.9	6957.9	10655.63	12767.63	12771.03	13292.09
YBR169C	SSE2	115.52	5623.85	2976.44	1637.71	1658.63	1670.59	101.29	123.32	192.52	252.72	208.55	235.77
YOR027W	STI1	715.93	14285.87	5579.49	2708.78	2951.42	3090.68	737.45	2180.45	3464.3	3791.76	3403.73	3053.79
YLR327C	TMA10	12.84	5770.27	2121.8	757.48	1079.04	1174.46	17.99	21.92	23.78	50.54	93.12	187.41
YLL039C	UBI4	1463.23	13979.82	7275.75	3454.49	3178.53	3451.8	1630.16	1789.49	3015.83	4200.88	3815.01	3988.23
YNL064C	YDJ1	2711.11	8197.35	2617.28	2023.6	2032.7	2030.09	2802.13	4666	6052.05	6376.19	5533.85	5140.31
YGR211W	ZPR1	1379.08	1940.03	427.92	356.46	422.37	420.49	1104.76	2871.04	4252.51	4355.38	3692.79	3098.7
YMR056C	AAC1	86.99	265.38	232.33	269.03	296.99	303.37	115.49	123.32	116.65	91.55	129.98	107.09
YBR085W	AAC3	62.75	72.19	50.97	54.65	28.77	26.84	52.07	60.29	50.96	47.68	32.98	26.77
YJR155W	AAD10	114.09	570.42	789.45	937.39	870.42	814.15	123.07	135.19	154.02	177.38	185.27	176.18
YNL331C	AAD14	215.35	236.91	307.01	330.4	353.51	362.75	199.75	221.97	262.74	258.44	257.05	287.59
YOL165C	AAD15	9.98	22.37	23.71	21.86	31.86	37.41	9.47	17.36	13.59	12.4	13.58	22.45
YFL057C	AAD16	86.99	88.46	130.39	126.11	145.93	135.01	99.4	140.67	129.1	153.54	124.16	161.5
YCR107W	AAD3	124.07	137.27	167.14	229.51	242.53	265.15	144.84	149.81	148.36	153.54	187.21	183.95
YDL243C	AAD4	95.55	214.54	203.88	229.51	212.72	196.83	79.52	98.65	91.73	81.06	98.94	90.68
YFL056C	AAD6	243.87	183.02	224.03	288.36	299.05	267.59	225.31	263.08	335.22	336.64	304.58	327.31
YNL141W	AAH1	2006.59	28.47	48.6	70.62	97.63	92.72	1896.17	1564.77	1036.23	546.45	514.1	506.95
YHR047C	AAP1	962.65	846.98	726.63	462.39	478.89	392.03	1004.41	1089.77	1279.72	1144.39	943.81	849.81
YBL074C	AAR2	52.77	136.25	136.32	109.29	138.73	158.6	48.28	94.09	90.6	103	108.64	90.68
YKL106W	AAT1	805.77	278.6	336.64	404.38	375.09	368.44	761.12	747.22	756.51	747.67	692.58	676.22
YLR027C	AAT2	2249.03	1908.51	2179.88	1766.34	1900.13	1676.29	1940.67	2501.08	3485.82	3544.76	3146.68	3212.69
YBR236C	ABD1	499.15	452.47	333.09	370.75	396.67	376.57	522.56	525.25	554.92	566.48	545.14	574.31
YKL112W	ABF1	350.83	411.8	442.14	380	341.18	298.49	413.69	583.71	592.29	572.2	512.16	456
YMR072W	ABF2	1076.74	1198.79	896.13	770.09	747.1	893.86	1094.35	1073.33	989.8	1010.88	1056.33	1177.12
YJR108W	ABM1	19.97	63.04	90.09	116.86	123.32	106.55	22.72	39.28	20.38	36.24	47.53	40.59
YCR088W	ABP1	275.25	520.6	563.05	405.22	423.39	390.4	187.44	206.44	211.78	284.19	359.87	336.81
YOR239W	ABP140	915.59	614.14	605.72	691.91	638.17	615.7	1161.56	729.86	711.21	829.69	995.22	985.4
YNR033W	ABZ1	372.22	882.57	605.72	532.17	609.4	564.46	308.61	394.62	420.16	432.01	464.63	465.5
YMR289W	ABZ2	377.93	330.46	369.83	332.08	317.54	374.13	425.05	379.09	417.89	399.58	347.26	358.41
YER045C	ACA1	215.35	127.1	219.29	355.62	330.9	331.03	210.16	201.88	189.13	182.15	176.54	153.73
YGR037C	ACB1	1223.63	1040.17	894.95	872.66	1127.34	1252.54	1262.85	960.97	946.76	1269.32	1659.67	2112.43
YNR016C	ACC1	5526.32	2592.81	2284.19	3245.99	4893.69	5133.78	5282.4	4230.28	3574.15	2605.41	2993.42	3461.42
YLR131C	ACE2	209.64	138.28	137.5	170.66	195.25	239.12	140.11	168.99	104.19	127.79	101.85	123.5
YLR144C	ACF2	328.01	748.36	646.02	676.77	684.42	663.68	359.73	390.05	447.33	411.98	355.99	365.31
YJR083C	ACF4	71.31	84.39	109.05	109.29	129.48	135.83	98.45	86.78	74.74	93.46	75.66	85.5
YBL015W	ACH1	131.21	1504.85	676.84	376.64	450.11	360.31	116.44	146.16	134.77	111.58	128.04	137.32
YDL203C	ACK1	241.02	148.45	143.43	171.51	140.79	146.4	225.31	206.44	200.45	167.84	187.21	203.82
YPL267W	ACM1	128.35	55.92	46.23	81.55	94.54	90.28	191.23	131.54	126.84	105.86	94.09	73.41
YLR304C	ACO1	2933.59	6334.59	9329.98	4940.87	4126.03	3270.42	2300.4	3673.06	4272.9	2527.21	1612.14	1364.53
YJL200C	ACO2	877.08	88.46	180.17	420.36	423.39	408.29	928.68	779.19	788.22	782.96	673.18	543.22
YKL192C	ACP1	720.2	1246.58	1258.85	1202.22	1190.02	1100.44	633.32	573.66	677.23	705.71	693.55	687.45
YAL054C	ACS1	189.68	427.05	572.53	649.87	714.22	729.56	157.15	200.96	191.39	198.36	157.14	184.82
YLR153C	ACS2	4003.2	3053.41	1731.81	1756.25	2060.44	1887.75	3168.49	3721.48	4405.4	3410.3	2537.52	2246.29
YFL039C	ACT1	14847.62	17267.09	15527.05	13298.39	12609.31	10772.64	12371.03	12022.18	12507.26	11451.58	11656.5	11373.11
YDR448W	ADA2	256.71	176.92	155.28	155.53	177.78	126.88	227.2	254.86	251.41	266.07	243.47	195.18
YMR184W	ADD37	243.87	613.12	640.09	549.83	608.37	708.42	289.68	221.97	298.98	476.83	684.82	891.26
YKL206C	ADD66	251	368.08	440.95	353.94	317.54	374.13	208.27	194.57	197.05	267.98	354.05	422.31
YAR015W	ADE1	410.73	266.4	339.01	277.44	265.13	244.81	357.84	302.36	275.2	288.01	301.67	291.91
YNL220W	ADE12	743.02	802.25	1041.93	818.01	738.88	649.04	686.33	646.74	742.92	697.13	586.85	608.86
YLR359W	ADE13	1182.28	599.9	732.55	507.79	570.35	498.58	1306.4	1171.98	1063.41	1008.02	967.09	916.31
YLR028C	ADE16	919.87	3220.17	2654.02	1945.41	1860.05	1688.49	832.12	961.88	1126.83	1245.48	1457.91	1490.62
YMR120C	ADE17	248.15	1186.59	3580.98	1724.3	1191.05	870.27	212.05	259.43	323.89	374.79	347.26	325.59
YOR128C	ADE2	308.05	632.44	717.14	627.17	532.32	464.41	270.75	418.37	499.43	584.6	577.15	534.59
YGR204W	ADE3	1515.99	1771.24	1744.85	1256.87	1323.62	1038.63	1037.55	1704.53	1749.7	1584.03	1683.92	1779.07
YMR300C	ADE4	473.48	166.75	349.68	299.29	249.72	200.08	402.33	401.01	335.22	367.16	402.55	351.5
YGL234W	"ADE5,7"	1858.27	585.67	936.44	1238.37	1279.43	1039.44	1323.44	1784.01	1570.77	1376.13	1510.29	1563.17
YGR061C	ADE6	2518.58	569.4	1162.84	1372.04	1156.11	951.6	2533.28	2297.38	2372.57	1930.21	1830.39	1628.8
YDR408C	ADE8	596.13	541.95	528.67	403.54	379.2	363.56	764.91	544.43	573.04	635.14	624.68	638.22
YCL058W-A	ADF1	338	30.5	50.97	84.07	63.71	64.25	313.35	237.5	192.52	128.74	129.98	120.04
YOL086C	ADH1	26423.66	48654.32	45433.71	36268.34	32825.3	25814.48	21816.87	22258.52	19792.59	14682.59	14266.77	12926.78
YMR303C	ADH2	161.15	27.45	23.71	85.75	113.04	102.48	185.55	155.29	186.86	144	171.69	152.86
YMR083W	ADH3	2045.1	3358.45	2927.84	2058.06	1946.38	1720.21	2054.27	2111.03	1967.14	1490.57	1385.16	1429.3
YGL256W	ADH4	807.2	330.46	392.35	565.8	622.76	531.11	731.77	812.07	799.54	661.84	630.5	694.36
YBR145W	ADH5	154.02	411.8	398.28	250.53	289.8	302.56	133.48	126.97	171.01	166.89	134.83	122.64
YMR318C	ADH6	1922.45	866.3	555.93	513.68	571.38	490.44	1796.77	1741.99	1596.82	1403.79	1327.93	1308.4
YCR105W	ADH7	96.98	260.3	164.77	201.77	173.67	214.72	88.99	128.8	126.84	132.56	187.21	209.86
YMR009W	ADI1	282.38	549.07	448.07	295.93	284.66	297.68	292.52	263.99	339.75	397.68	430.68	396.4
YDR226W	ADK1	2199.12	1126.6	1123.72	1185.4	1245.52	1276.12	2384.65	1876.27	1867.48	2122.85	2155.34	2180.66
YER170W	ADK2	135.48	210.48	156.47	118.54	147.98	158.6	115.49	120.58	171.01	181.2	178.48	189.13
YJR105W	ADO1	4195.73	2713.81	1923.84	1518.33	1531.2	1361.52	4073.5	3086.61	2794.99	2307.86	1844.94	1650.39
YCR011C	ADP1	810.05	2971.05	2559.19	2084.13	2497.2	2388.77	785.73	867.8	1013.58	1067.15	1042.75	1171.08
YDR216W	ADR1	119.8	1061.53	655.5	653.23	1007.1	906.87	85.2	400.1	378.25	387.19	435.53	375.68
YCR010C	ADY2	9.98	38.64	28.45	26.9	33.91	39.85	12.31	12.79	9.06	20.98	19.4	28.5
YDL239C	ADY3	189.68	310.12	400.65	452.3	380.23	379.83	237.61	201.88	202.72	193.59	228.92	194.32
YLR227C	ADY4	447.81	274.53	384.06	401.86	456.28	549	532.03	530.73	549.26	500.67	497.61	543.22
YMR064W	AEP1	406.45	367.06	394.73	350.58	342.21	401.79	452.51	443.03	416.76	402.45	394.79	384.31
