isTs	is1stLast	prevCol	del.t	condName
TRUE	f	NA	NA	GL0.5h1
TRUE	m	GL6h1	6	GL6h1
TRUE	m	GL12h1	6	GL12h1
TRUE	m	GL24h1	12	GL24h1
TRUE	m	GL48h1	24	GL48h1
TRUE	l	GL72h1	24	GL72h1
TRUE	f	NA	NA	GL0.5h2
TRUE	m	GL6h2	6	GL6h2
TRUE	m	GL12h2	6	GL12h2
TRUE	m	GL24h2	12	GL24h2
TRUE	m	GL48h2	24	GL48h2
TRUE	l	GL72h2	24	GL72h2
TRUE	f	NA	NA	HL0.5h1
TRUE	m	HL6h1	6	HL6h1
TRUE	m	HL12h1	6	HL12h1
TRUE	m	HL24h1	12	HL24h1
TRUE	m	HL48h1	24	HL48h1
TRUE	l	HL72h1	24	HL72h1
TRUE	f	NA	NA	HL0.5h2
TRUE	m	HL6h2	6	HL6h2
TRUE	m	HL12h2	6	HL12h2
TRUE	m	HL24h2	12	HL24h2
TRUE	m	HL48h2	24	HL48h2
TRUE	l	HL72h2	24	HL72h2
