,best_network_score,mean_network_score,model_score
YDR079W,0.4092216511558755,-0.20646070874115263,0.2987927099674357
YLR259C,-2.112901159838358,-7.496025879546544,-5.184806180747929
YML014W,0.43784784014050643,-2.295647385465242,-32.726755279048554
YLL019C,-0.003004693555451676,-43.80074494961415,-0.973354822459908
YOL004W,-1.0578727705947713,-15.42736168617862,0.21837192337819183
YMR025W,-1.894810760844943,-10.617487320814094,0.07007964158964126
YIL094C,0.022707616288334308,-2.034865035923669,-3.9910883550710494
YAL012W,-2.7711595027662725,-187.8714792438535,0.46778822790693597
YGL241W,0.4321408562755763,-5.504701708455237,-6.471498639574376
YDL045C,-0.41450484164031376,-2.219272812178069,0.5291309933080097
YKL099C,0.17305461475243655,-0.7471285839313228,0.5445873716237752
YNL301C,0.033074493337686486,-0.7929140956966213,-0.4482230876400696
YAL061W,-60.8491204240897,-726.6400635341394,-6.415222356758117
YGR191W,-0.03979439385384924,-17.086929211652077,-16.778659932465565
YOR056C,0.276641925124275,-1.2798140274881986,-3.106087317211909
YDR504C,0.12283927412979649,-2.230449392012452,0.26048674184198556
YGR229C,0.4301244663650737,-2.606587066367071,-11.557063357631632
YPL104W,-0.10534812452447387,-20.67250550354692,0.3206752672254374
YOR183W,-0.2754810146429463,-16.259851829967452,-4.005070100904467
YIL093C,-1.0043446833207161,-3.4168940448940064,0.07945444752334554
YJL083W,-9.962193990569984,-63.50093208765102,-3.8699240456854924
YIL041W,0.13037320227445115,-2.1650923738508734,0.4124441502789763
YDL166C,0.28655784583899685,-0.3901924528384008,-1.0896708719716677
YDR065W,0.08899489593315499,-17.081227764303254,-1.2813294328090499
YPL060W,0.1190225303906014,-9.260002065283794,-0.7494808314216725
YMR133W,-2172.2602465355585,-140258.66409119393,-409.5072702351971
YCR027C,0.25648477990169194,-4.567252443753131,0.259014700694698
YNL180C,-0.19713192917088657,-2.8569718595890397,-0.8425060588038515
YDL220C,0.23196477717112035,-6.114439178266081,0.5182935202329997
YBR135W,-1.0002511101128948,-11.376988619140633,-4.560021173075921
YPL160W,0.44244050986091005,-3.359197025403215,-4.785217584161407
YGL076C,-0.452851796079611,-4.472417766867332,-2.276964501328568
YER063W,-1.5934713260076512,-32.371752576014046,-4.386144112836481
YJL095W,0.4596983033011427,-11.631242445414294,-0.11816788106354639
YHR143W,0.395263604325364,-1.410932564608313,-0.6817876165162411
YBR166C,0.6188382255265157,-1.3508122892907484,-0.31698308026781985
YNL121C,0.2685013768420143,-2.8813591854465117,-0.3418185058576241
YHL029C,0.39939535138257326,-11.702257718636893,0.24485832839613564
YDR079C-A,-0.7985618271905783,-1.1980076608485304,-0.7445709783525336
YLR105C,0.3882431309272028,-10.525716827336696,0.22542556920823179
YNL136W,-0.2150528346421467,-20.933596636465296,-1.9673809466234982
YIL164C,0.5489578984699088,-26.133852407578186,0.011064246106133125
YKR002W,0.3969021998536047,-10.468469888815621,-0.07590967957195187
YJL198W,0.5195304004641285,-7.513271531979814,-21.342639104487766
YDR438W,-5.47675268659672,-55.62905960091417,-0.9159843813743505
YBR101C,-0.7923002779531749,-7.403960523550276,-1.3923804284015724
YLR020C,0.0015047437828372256,-27.471235268654038,-87.37621106894287
YOR293W,0.10450409434800449,-6.183050518608528,-1.0013754119079787
YJR044C,0.34709757194834195,-0.987249837898555,-0.11273945760902349
YNL329C,-1.9729484498383367,-108.88352006293728,-1.010480241588527
YIR004W,0.6248700842952195,-0.3482012148895748,0.00040960668677678667
YNL044W,0.5197938082885123,0.159884897658879,0.31388823227715185
YMR246W,0.20910200268918439,-0.8650164231346206,-4.984944714839228
YLR183C,0.12685870426867032,-0.33808021332546745,-0.17954312976911138
YJL062W,-0.11701165724087433,-16.26247073159591,0.4436572801092876
YER161C,0.7506967835665314,-2.137986094951642,0.42628837798461616
YDR031W,-0.0023652332471242763,-12.838319809703616,-0.6248610892018323
YER107C,0.44101140741121647,-1.2645225621932763,-1.3160398085637603
YOR242C,-1.042978103823399,-32.30433867197166,-119.1407954802896
YFL031W,0.36387500014977076,-1.2872968030156495,-0.7645272887487611
YOR213C,0.696349533045548,-0.6287553146533581,0.48339454318809755
YLR077W,-0.10392559230501737,-10.187596174365886,0.22073806579031913
YPR025C,0.13505347553192942,-7.866201730288386,0.266451715590459
YMR024W,0.491425229816463,-2.6248419486561754,0.33435895392348464
YER101C,-1.6271283904659186,-20.174614152473644,-0.8657166996801975
YNL074C,-11.671339402257704,-82.28024075273403,-2.9192864100150997
YMR312W,0.34028098100040444,-12.360161652987914,-7.173695348336048
YEL013W,-2.1921259768469588,-13.330378502779805,-1.0387365116496114
YMR303C,-3.8260002627451435,-457.0674632180241,-424.5490328491258
YKL139W,0.530219985345304,-3.367772443577436,-0.11766423263845868
YNR023W,0.6197152921197149,-2.301856319777047,0.293052703195798
YGL254W,0.5899411843635401,-8.12917621463961,0.054725204110855866
YHR040W,0.26174150500730686,-0.649027000905118,-4.78705354561992
YJR108W,-2.108914257347269,-95.98923081190809,-1.9746762028854827
YLL046C,-0.8249332673931817,-30.758146779978656,-5.368683784093891
YBL039C,0.1454823899032502,-1.1377299333579869,0.06007521662657354
YPL187W,-17768.026506205562,-822494.51540805,-183905.13548046642
YLR362W,-0.667069079365046,-25.085922769349377,0.3165723760344298
YER098W,-0.014108507128706283,-20.10573313237198,-0.4602183627123507
YGR235C,-0.0053362268272016955,-2.760933537703197,-0.16346151987511576
YLR189C,-0.5953931754297912,-51.09686861588899,0.5800058577435492
YMR142C,0.3149976952179708,-2.29947758320445,-2.817215460783367
YNR049C,-0.35481378840175004,-2.679176210447104,0.34477902914808395
YPL096C-A,-2.190612541144309,-3.787238496734341,-1.059845395381013
YDR384C,0.03410876119083166,-0.9810398844967763,-0.4001573421341786
YBL067C,0.1361751273986162,-24.219516866570793,-29.721938927736545
YGR048W,-1.2012564243911934,-25.98629205559179,-0.16628952558244134
YPL010W,0.3204764059209682,-0.4151015955204549,0.39234669899374464
YKL013C,0.5853716684708765,-3.4142604630351774,0.42897793679900653
YDL209C,0.5201576720517476,-1.7025941251023993,-14.821905996645848
YPL011C,0.7381564234434517,-4.717758046990319,0.4350172151393143
YBR258C,0.5096178075718489,-0.1408955800506203,0.40466608094262907
YDR382W,0.17099360550267037,-0.3357721162987561,-0.11351636583346977
YGR220C,0.26561519355431595,-0.7535463892203595,0.3315823876955107
YPL167C,-5.928354578737318,-109.60102882960618,0.3047539535062045
YBR003W,-4.457560243508599,-37.55517451349433,-2.0859269453227443
YLR398C,0.32828482987512303,-16.58030378557278,-1.5694673105903776
YDR034C,0.17708698060069936,-15.375232894597728,-0.25622648786831126
YPR178W,-2.0996997388200147,-19.1045331724553,0.14508503287359004
YIR018W,-0.12408600434916209,-24.028858838304245,-0.9469428951244012
YML065W,0.4339838992915331,-2.324706896165861,-5.808321676712678
YJL089W,-1.7476145915354242,-431.79607602174,-17.564224026515454
YPR120C,0.2522407118195786,-1.470807120801047,-4.748874494392166
YLR429W,-0.9293891675832475,-18.21961629805677,-0.40156299372924187
YLR107W,0.6747288382081592,-4.026958640177,0.4420470203523813
YMR282C,0.28897432027769726,-22.50625923935655,-15.86174693946169
YNL087W,0.6185463459554759,-3.2241229566702927,-5.571832028199962
YDR532C,0.41587965428098117,-2.875888666772284,0.14780933590088952
YLR262C,-0.8073907393578654,-1.5527843625956272,-0.4787855472168353
YMR094W,0.5326199135031766,-2.620854954825428,-1.191074428712882
YAL021C,-0.3190331274272286,-6.000818152491407,0.22672390576186738
YCL031C,0.3938884363147837,-1.6316750996448484,-12.747552452457823
YDR308C,0.2580314098630819,-0.5909686604083625,0.2526181156990073
YDL007W,0.12361453720476331,-8.848744912788453,-3.0743464313453472
YJR105W,0.3272234973825479,-1.6985032495918595,-4.131591914651861
YDL225W,0.6581824558473266,-1.1671576385207687,0.48986172896327496
YAL011W,0.5886708004666108,-21.161100613240357,-12.869344918140381
YNL088W,-0.9272475758388359,-63.66144851412967,-159.93654459959808
YLR109W,0.058589033102294664,-5.0296443299993,-0.06497594546838728
YJL217W,0.22926362061780056,-0.7998805926109447,-0.37388307564568213
YPL176C,-0.3771684464482301,-8.162076782951436,-0.6262327166967944
YOL093W,0.5090920966240777,-1.0845545269043317,-3.4217069426590756
YML109W,-0.0008756533993725668,-5.966506883277025,-10.625706510034885
YLR387C,0.7291258634530416,-4.145353479002568,0.46582463527800766
YLR445W,-18.028708410621977,-209.5410186050703,-108.85198254868939
YNL288W,0.7690201210875021,-12.28624959457474,0.39208432970387463
YDR190C,0.528450166017082,-4.6759423901900385,-21.952111100479613
YFR051C,-0.12302420026414848,-9.95923185695788,0.00755210484277744
YLR007W,0.5155034621837926,-6.053751451298266,-1.257521729188016
YJR025C,0.12079806668779554,-0.17766069085278038,-0.7856285314220218
YGL148W,-0.5793077779096182,-3.386443372528106,-9.098946199773467
YJR045C,0.26010428927732976,-2.4198650260758945,0.1825813055846554
YJL149W,-0.14593107981419348,-8.124548232647427,-0.07661755201796386
YEL030W,-1.564499310835014,-23.61022213253914,0.3065287852719237
YER095W,-0.6283563929328915,-6.864442982232341,-2.1629771577715067
YGL060W,0.6597869809468587,-0.8276868047583162,0.43284274820354557
YNL006W,-0.6123421467946158,-49.946429708571465,-0.23967185905314095
YGR014W,0.47261135001151355,-0.7375070480081066,0.17471496590398705
YOR381W,-2.2884087617345625,-169.20868257060275,-0.3823557487377368
YGL038C,-0.41293744604819216,-7.5253294193795846,-0.7231718965249871
YBR239C,-0.21151498617130926,-11.739889254271672,-1.2845639153816166
YGR145W,0.15521748743718788,-1.582921142013834,-5.939660456007442
YPL001W,0.7070434663210742,-4.181822238772267,0.22320639935190495
YML103C,0.34423466017526916,-45.59571788215434,-22.126041168370662
YER093C,-3.8796457350406697,-52.975271489763976,0.06527237579362047
YLR270W,-0.4061009000501813,-22.026210920178414,-1.4116227688419785
YGR144W,-0.02485127447693014,-51.471548504817726,-1.0150375894678474
YNL012W,-5.699159956893482,-303.4874819830006,0.261187458539801
YOL028C,-0.05674267347202448,-0.6566487676915661,-0.7488095928898367
YNL313C,0.2728421084410116,-0.8857990851747967,-3.321103294686675
YDR275W,-0.9718918594159156,-2.3689408526551987,-0.542846995735583
YGL051W,-0.5566112253774371,-20.21938760053583,-4.395897190172636
YLR099W-A,-1.0152160149687457,-2.081463657976246,-1.74075253525824
YKL064W,-0.001988901890041239,-15.900869443197086,0.519887959576928
YPL165C,-290.0214499785373,-3353.3802680470917,-158.5524175794493
YDR295C,0.5919022454765049,-8.1586242950489,0.42269094154148695
YDR453C,-0.07844332398817469,-8.509306639804153,-0.7942000084681198
YEL001C,0.21745815434762134,-0.5305631256537889,-0.3296668091630055
YCR004C,0.33947544690965903,-0.8436800221896752,0.3198304670421138
YNL027W,0.43768312518180225,-6.192888736549586,0.21863295729910376
YLR130C,-0.3378637499726092,-87.38819070073876,-24.05491033669047
YHR120W,-0.32659233304784524,-38.76862391811803,-102.20981771449621
YOR271C,0.2577169418509716,-0.8629184996344977,-3.084057764721391
YPL151C,0.5503349157419926,-5.38167909352137,0.48766078091372733
YDR349C,0.7408451909302525,-3.7743927687639216,0.5370636003605181
YDR524C,0.6568531958041774,-2.0766984054859425,0.147189143656547
YEL040W,-0.17991168753909875,-10.265673729324257,-2.2143558400667716
YMR026C,-0.5016365971291451,-9.372665756986402,0.4889784726169206
YHR164C,-0.502280593609744,-22.503314126335678,0.15630526707427989
YBR015C,0.5012616210205987,-1.4346418193475834,0.37658498747150765
YPL198W,0.17339848200484714,-1.3430458694914864,-0.06870342543835317
YDR272W,-0.8877638559229346,-3.005805464846597,-0.3482605594939649
YCL030C,0.15752041989013568,-1.6916297013948531,0.21927341104397544
YDR014W-A,-2.864711193734099,-4.506733802098804,-2.132971089190115
YFR014C,-6.083122952663438,-145.9908125681637,-2.2458095278422383
YLR411W,-0.349481709143491,-16.35827449038009,-1.936226434614437
YJL008C,0.45896105273660376,-2.398273124175157,-1.7354893643164648
YNL090W,0.3420412698661048,-0.7008736020648201,-3.1156909738836567
YIL072W,-3.0783168817929196,-169.35054643744994,0.056097161728341005
YGL229C,-10.437214165354145,-676.9868296357919,-17.323687653013625
YAL019W,-0.1868169736891548,-42.89059089192803,-348.1917206777771
YCL008C,-4.085989449490363,-43.67406817114152,-2.217006167713281
YPL093W,0.40237734200762887,-1.023091600386409,-5.5666535158333925
YHR029C,-0.05603619771555148,-3.6279695802476413,-0.2887599302546645
YBR043C,-0.2863701789243956,-48.31395546839764,-0.08367501945694175
YIR033W,0.6521391021718781,-5.584608101919427,0.24356761302960567
YNL132W,0.44862917083677323,-1.489664732982048,-0.9965622825466008
YBR162C,-0.017447217026801187,-6.721300422483827,-28.86411083212972
YJL167W,0.020290647685548245,-2.3390233331637442,0.04914478499973838
YNL202W,0.3791152365902626,-37.40253430844711,-3.6975075701811697
YEL031W,0.20374171703710448,-16.285634289011547,0.058812656939078334
YKL171W,-5.749959332464063,-76.56914965069187,-4.32842236187626
YGL175C,-0.24707553851352823,-1.6894821465864764,0.24977053800130405
YFR029W,-0.8191120421814049,-12.158447794261996,-0.6286261500825001
YKL175W,0.517757237821945,-5.706292272076116,0.3374125281443197
YLR284C,0.565611788784196,-32.77695382046146,0.019828502027029016
YLR040C,-0.18022656772664153,-433.2179106925396,-6.510853959975675
YDR224C,-0.16203662553194528,-0.7937326713023953,-0.23004154660580625
YOR360C,0.5947626433429974,-1.6823758470028116,-1.8586424716999843
YDR319C,-0.050517658769818286,-15.264239464423925,-0.4803351411270353
YOL042W,-0.3123243825361726,-4.974501124774836,0.34359806676917454
YPL033C,-4.767449980904052,-127.54417142616172,-9.572648150727522
YMR220W,0.5230671295971009,-6.034234318244078,-5.582011492508512
YFL027C,0.6821147068367928,-7.842680205793022,-0.2252667484761627
YNL128W,-0.14827334030123462,-31.258962675939053,-1.8348245784743977
YJL051W,-0.24097704630076872,-84.87432570423348,0.057962990228550074
YDR169C,-1.166503876094853,-39.421448935311695,-2.226576741875617
YIL131C,0.45812178451249086,-0.2548123825872828,-0.6971323227752108
YLR381W,0.6423861396336823,-19.801147090629776,-0.2501630800426428
YLR002C,0.44247028648065434,-1.3010170013362616,-0.03520843876310731
YJL209W,0.5879859460078907,-7.882647974097245,0.17282420696689932
YBR058C-A,-0.6964658061747496,-1.3217384052844412,-0.7930457543099907
YER154W,0.05759233673436746,-8.366355265713926,0.027834979479768162
YDR527W,0.2508863871324225,-10.005615923264129,-12.300047494090517
YOR362C,-0.8942813093313461,-8.575712949597547,-0.315260072948016
YNR001C,-1.060228648918327,-14.318572959218665,-0.474536754148727
YBR156C,0.5587588743580962,-0.5208086346411801,0.20598470601156188
YLR079W,0.300210151423558,-1.3444836609699575,0.21212582239729513
YML092C,0.04800819903813922,-5.940308515709112,-0.8692277651383659
YIL042C,-0.5831553334597347,-23.999071055575975,-2.270311453266965
YJR070C,0.4098358833525989,-0.539252785026356,-0.6199288200605872
YGL087C,0.33080936878320105,-1.5087180439636356,-0.20703875687238513
YLR222C,0.4092360900855338,-1.470326479456843,-0.2990586323473396
YHR038W,-0.2924934807970189,-1.3544255840183692,0.09221328416041126
YJR019C,-0.8051773239541464,-30.90970096062536,-2.169883756444254
YLR011W,-0.23053526998975574,-5.041768647912496,0.49615034126261326
YPL057C,0.09147625318134511,-2.701692995607021,-1.046382155276001
YDR322C-A,-0.13271265164284152,-0.6018262326080612,-0.9855650121958647
YMR269W,-3.683214109764817,-18.330308237624582,-206.8897453118522
YER065C,-2.7724257741822527,-140.76616931287947,0.12483116541971309
YDR440W,0.19742510751074813,-3.774297197844169,-17.296919575122324
YDL078C,0.09107842172764531,-8.32444453633416,-0.31370361409176795
YGR082W,-0.209470815037084,-0.447732055997903,-1.4804646940761197
YPR055W,0.4141465613606594,-7.30284949058999,0.13006776590702385
YNL099C,0.419901959278012,-0.09112850438526739,0.3274846401214416
YKL019W,0.5627549604711719,-3.3214793985913422,0.55541600507648
YOR265W,-0.6402412776892932,-3.0657905472979223,-3.16792550219559
YOL052C,0.26298798670830265,-1.0530837286466086,0.20845508814138727
YHR108W,0.6901758605312557,-0.4511415170541796,0.6633259286605371
YGL126W,-0.5913862947122063,-13.952890751497801,-2.4349959462574384
YOL006C,0.22775302253668772,-4.54599782731671,-1.3089676335863818
YOL148C,0.455713238531526,-16.627101973383173,0.021556391685531383
YPL013C,0.004491747496443099,-0.15126870819932264,-1.9764958000953563
YOR222W,0.19316272453835365,-1.418742304196937,-2.2126212684106936
YCR098C,0.16827911399397433,-51.664288282000115,-0.8771501837687394
YOL031C,-0.1436124915033794,-40.45661132038343,0.31667044330203253
YOR361C,0.6900926019263933,-3.192449077268564,-9.225681683965089
YOR266W,0.529176250209547,-1.2933567528778673,0.6426815573955016
YGL116W,-0.03805365920400818,-1.308746186992789,-0.20612801337712003
YDR021W,0.00912474607553031,-1.0383083536083175,-0.06905267044207389
YMR174C,0.2704900905178719,-0.4930964601513633,-0.4434490290729231
YDR117C,0.36665567955342915,-6.1209562949410135,0.3234599833026561
YGL044C,0.48181221536827323,-0.08201251502556163,0.44773616553613654
YCR034W,0.2854086559584707,-0.42387312859400544,0.3725658567211342
