,network_score,model_score,moded_network_score,diff,network_model_score,all_linear_score
YLR183C,-1.2228121131418703,0.5305569342831504,-1.25914582018778,1.7533690474250208,-1.1039648039674606,-0.548034111364237
YMR318C,-0.6972048976339336,0.804149079352304,0.1803844795918481,1.5013539769862376,-0.3104417613391137,-0.7311264069450807
YOR056C,-1.6445400016084863,-0.3197665273990029,-4.924487429102518,1.3247734742094834,-0.0441043286020197,-0.7854319736157405
YOR006C,-0.3463883178494382,0.6886681730586768,-3.1178315381162127,1.035056490908115,0.3923327965326179,-0.004061235035780863
YHR092C,-0.5975974167388758,0.3825220057390502,-1.1531109689233603,0.980119422477926,-0.2508325108339435,-0.33910759320352735
YMR215W,-0.4869997604995495,0.4637355896571661,-0.6507824466238037,0.9507353501567156,-0.0874795701679338,-0.015388850659104114
YDL063C,-1.829355852039635,-0.887649839559153,-4.238678628073263,0.941706012480482,0.2696311107412305,-0.5691817652592447
YOL101C,-2.958733533873472,-2.2667056206580734,-3.9563469527209385,0.6920279132153984,-4.957065135456717,-0.12260560535721846
YER070W,-0.1716884830515395,0.5178438278305959,-0.0675560835640152,0.6895323108821354,0.0866659222545007,-1.7606414198296303
YIR012W,0.0051358519024365,0.6906922823388403,0.202898983104394,0.6855564304364037,0.1088085710039776,-3.333908328239507
YOR212W,0.05043131168809,0.7236918969308506,-0.8618298333076453,0.6732605852427606,0.2481241974451249,-1.3018221398268914
YNL289W,0.2414245538637353,0.8632420546945142,0.88169937054021,0.6218175008307789,-0.0969841958590773,-0.037919584760258786
YDL003W,-0.5590043709629293,0.0232863884114642,-2.160038071538975,0.5822907593743936,-0.7938620954704425,-4.222741423329567
YGL097W,0.2920130611444687,0.8714998537787451,0.3256334919792045,0.5794867926342764,0.5302500304578732,0.2996998116291523
YDL227C,-0.5915292301896222,-0.0122736516225967,-2.7763086590403483,0.5792555785670255,-0.6081735354325217,-1.6887967427658666
YKR056W,-1.0247059582992877,-0.4787540311548488,-2.1561008219047544,0.5459519271444386,0.5435367234965457,-0.05893046683425751
YJL098W,-0.9868063609034194,-0.5030612053810684,-0.4859637769155325,0.4837451555223511,0.3086839156705503,-0.09943581491556856
YLR336C,-0.0720781966754633,0.3929691034366953,-1.0089495090027318,0.4650473001121586,0.0647739390230397,-3.414060707415633
YPR035W,-0.3667277335955072,0.0969701938011611,-3.6273186245460174,0.4636979273966684,-0.5715272189662288,-3.7278980896076077
YMR199W,-0.0166417864185621,0.4385203860738704,0.4284775228810027,0.4551621724924326,0.3553821432985302,0.044575021492788136
YJL088W,0.3373113974001587,0.7822395199826708,-0.8338892648309277,0.4449281225825121,0.5172982459621206,-1.8943144514154675
YBR083W,-0.6096220576545714,-0.1675159444754925,-2.175361836471549,0.4421061131790789,-0.2489036671509179,-5.081479208108447
YMR235C,0.0494467280706495,0.4818041735853516,-1.368908845482995,0.4323574455147021,-0.4261339463558813,-2.029774485599861
