,best_network_score,mean_network_score,model_score
YHR021C,-0.7868203634807097,-5.631716398007072,-0.41427415723754457
YHR036W,0.24336089965682417,-2.43548105704349,0.6348029866538096
YJR006W,0.3381180719663518,-0.2855388727040642,0.1168154453998872
YLR043C,-1.4810650439013426,-6.288902269523569,-0.3657068630429831
YPL169C,-1.1580395566834059,-2.1676851744269254,-0.4993592134736023
YCL054W,-0.01999897446283927,-5.661344069958338,-2.095347779432817
YBR034C,-0.04331561768804386,-4.250961338525049,-0.17698890775998283
YGR142W,-79.37785337912051,-349.7642993357773,-509.5484530433704
YHR079C-A,0.43382737948982636,-1.8241744980211365,0.7095939546947131
YDL069C,-0.09772388528056764,-1.8942877358223207,0.750160910183972
YOR293W,-0.13924308619029735,-2.441311493950257,0.05039398365621155
YOR141C,0.24006506769512717,-0.2745647906190223,0.19949373650831914
YNL204C,0.3773878520718455,-1.588210052088717,0.7193255760275197
YOR370C,-1.4175660806289947,-14.762060275912011,0.4232470704009369
YPR164W,-0.27206819767184776,-0.6346730829362894,-0.24903110158825878
YGL057C,-0.14125661166378817,-19.47145088754487,-1.5400519130200492
YLR247C,-0.9117315594836379,-25.291049817482865,-2.1509877159894844
YNL177C,0.4618792634125313,-0.4031063194770821,-0.03856635114553293
YDR022C,0.5994838216850239,-1.5232978892697941,0.44538089099412714
YBR140C,-11.496966176448783,-66.76548436647472,-5.451088738987032
YBR081C,-0.8189940523343162,-3.1415644242076124,-0.7205163473405497
YOR014W,-0.9422853936654946,-8.532220475723992,-0.6851728161381838
YFR017C,0.3993060920404606,-0.664996096299745,0.0069195189422695865
YHR040W,0.2961250049256602,-4.764138424641416,0.14287908548190256
YGR223C,0.44749108929302706,-0.2528403835807475,0.42079427439415873
YOL031C,-9.730512129562019,-283.78513783014876,-1.1844830388277596
YHL034C,-2.4487236616676324,-20.52272482245698,-1.4458794520628762
YLR223C,-0.10478383173611001,-10.765812019000228,-1.6134091823463006
YMR156C,0.2898704618347039,-0.861504267072603,0.7515416256579723
YLR089C,-2.120872646564222,-17.90244469258524,-2.6373052885735233
YHL013C,-1.2547912573899676,-10.901588108446902,-1.9732455583736221
YPL083C,0.46171888453957843,-1.11520813827364,0.3632298795886889
YLR250W,0.22838940947917186,-0.5621464245855124,-0.052777297008751244
YDL008W,-0.432065118928171,-2.782178165853486,-0.15326094165394202
YML024W,0.044315107373936645,-0.848588105998319,0.36252365503562883
YKR019C,0.33251821765665524,-2.444221947330071,0.5461917883869183
YIL031W,-0.2651332458879251,-2.2501162112466835,0.5686611792280456
YDL154W,-0.2299196705429288,-1.168423536315313,-0.29274704444877697
YFL014W,-16.23897148662039,-184.87768151251558,-3.7752528590903425
YNL126W,0.2768696328318643,-3.557852656358537,-0.3021636627836825
YKL198C,0.48384920026745054,-0.10916687231745657,0.43528634812086153
YNL088W,0.5433544665471816,-1.6132401409226016,0.20110629766350704
YIL005W,0.6712571167090275,-0.820563299097745,0.464855057233369
YCR066W,0.4091388855242803,-1.1126128771629542,0.7094599463462204
YER122C,0.5409780376828028,-1.1731369558175402,0.5776244028959618
YMR212C,0.4715711469941872,-1.1937555534707798,0.4404900019218013
YHL027W,0.48187911095832253,-3.5993938028150283,0.16958621463928975
YBR250W,0.516428720251446,-1.4055861723427796,0.7640354452966887
YOR087W,0.40556978236398217,-1.7993835082759013,0.014743127943300061
YKR096W,0.24880335044136173,-0.9554884257888874,0.44000573756378375
YNL086W,-4.557141962382774,-48.8917684757536,-4.3834274567875315
YKR068C,-0.18844738030917535,-2.441783300174846,0.024916011801993654
YHR030C,-0.13129759660282353,-1.8145738369930111,0.4718084809207661
YMR153W,-0.08729503557574825,-0.4991543387078195,0.0566716354768265
YMR240C,0.4707965095829871,-0.8223557722539396,0.44603543458042827
YGR037C,-4.5792427529684625,-14.863623301349257,-5.22873513179723
YGR003W,-0.24032983538228336,-2.1909196161005586,-0.487346217444694
YIL041W,-1.3845738449910427,-7.051248463498698,-1.6649208856428668
YML091C,-0.2597234752408555,-2.3103808831714634,0.04466143835186107
YOR344C,0.49121574248035155,-17.314092790833282,-2.9303397226165737
YLR021W,-1.1674798921723366,-5.260880290055656,0.3313748723387836
YDR454C,0.11300386769387685,-2.88685546508789,0.38893417289715143
YGL231C,-0.024696364433586138,-2.3489503812876906,-0.14083802944185447
YDL234C,-6.320811255942858,-232.13904532608265,-1.8893659682057553
YLR420W,-0.38516220795931017,-4.082518868126551,0.03183472968137173
YER168C,0.13040595437551106,-2.166170669319079,0.48612229578295824
YLR239C,-0.04969582477433319,-2.774174085245251,0.6035494215496225
YPL089C,0.05381226434524426,-5.748702746717319,-0.29035213022858475
YBR164C,-2.3893508762458944,-12.57643816218117,-0.7022514318932649
YER093C,-0.4264360562747811,-1.071200939337439,0.10317590023804288
YCR076C,-0.059510541502846424,-1.006140257165006,-0.9641771111882651
YJL210W,0.5517123704774998,-1.1743318473718722,0.42510197325818255
YMR205C,-2.020531116683349,-8.921527201919995,-0.5916747245237438
YGL169W,0.3101345089411208,-3.3641848661418394,-0.13956400073392625
YPR085C,-3.1890972664728627,-13.81644201271262,-1.4641376999187614
YPR118W,-0.6137725889515461,-2.0977834455535826,0.0021101005614452494
YML086C,0.30268166964233656,-1.2086413210814007,0.2248714914082377
YBR264C,0.549938722289889,-6.509543166013651,0.19132725918852378
YJL034W,-1.986977177701926,-48.706654361965626,-6.6287631420815005
YGL129C,0.6763443554412067,-0.2964617693549783,0.3883205677735375
YDR123C,0.3916322407896541,-1.6364554391085333,0.5549817667830725
YDL227C,0.16479135044055357,-0.8572295058321894,-0.690907330382799
YMR132C,-1.1500648313638298,-7.8440364627572405,-2.6540573068286513
YKL117W,-1.056885266331074,-5.312733635080964,-0.22278293334912863
YOR120W,-58.24832509191907,-280.6079880409643,-2.6746651430740935
YDL175C,-0.4013753832676463,-2.4177599043459472,0.738669858222679
YER066W,0.47077805130798395,-0.843506571122631,0.67359195652517
YLR423C,-1.2397616368061573,-10.1196968276033,-1.4772472068415528
YDL093W,-0.6225403971267701,-1.28516240317279,-0.526308362496201
YNR017W,-0.03755342693010881,-0.8362505093391587,-0.24321582885501164
YBR166C,-0.18973626310132025,-4.488174765732792,-0.3284966885036244
YDL045W-A,-3.0840536677877077,-15.1337296379073,-0.4937073479689179
YLR254C,-0.17781252676415438,-9.418256899440845,-0.21945376324857416
YDR032C,0.1373549168596108,-0.3337243344282349,0.35876616007552925
YPL040C,0.7122854802579947,-1.4026203073461256,0.6899103754584537
YBR022W,-0.4544926696954705,-5.83661235330656,0.21223309752045433
YER072W,-20.64994920195275,-54.12831746280863,-11.4199102332225
YHL035C,-15.846591786385215,-46.846757854298964,-4.702105958835713
YJL112W,-0.5477392412786773,-1.2089890694421928,0.05224981511825984
YDR275W,0.4016001805299842,-1.8559152979312603,0.7671127887195388
YGR140W,0.149756769083715,-9.591843303471284,-1.9514250401732784
YCR052W,-0.3727289379133697,-6.975272550404502,0.3707676777136113
YDR534C,0.3648308730086605,-1.8552045222136697,0.7261159811855097
YDR194C,-1.8410424823895657,-8.979789504032302,-0.32949022144051043
YFL046W,-10.256431674575005,-44.87671249459134,-3.8248183289780067
YOL005C,-1.1346495633590181,-3.7530561979262416,-0.7029294556680002
YKR074W,-0.4890053311757903,-5.031261521283556,-0.5983989288154614
YML115C,-7.056243509547014,-72.37796548903073,-4.263093841028848
YEL049W,0.4487872678270703,-1.6380428415726602,0.7481796122460473
YDR410C,-3.1989976638944406,-43.70153966905095,-2.194244299691943
YLR109W,-0.4023328754312588,-3.100172839896981,-0.07704049495208301
YDR369C,0.3186343107551898,-0.757317420037118,0.1367211923648452
YFR005C,-0.06603238014476816,-0.6422704684168838,0.41332487379707983
YJR005C-A,0.1314230523118784,-0.5546439921914696,0.32583529745068623
YGR194C,0.21915898518961976,-2.7367590078084625,-0.024443645868955623
YDR104C,0.4473164070702883,-0.5231485584164569,0.41266755029504426
YJR078W,-0.06626176713965397,-3.1637017541907584,0.4439046653509566
YMR068W,0.27690464847493373,-3.732573054791319,0.5055699985657421
YER003C,0.01980513893070126,-1.1192425280152112,0.4087236169140568
YBL020W,-0.442573996094335,-12.77682917430549,-0.16600933026572384
YGR145W,0.12752135949463056,-6.409006320546193,-1.9280517944389186
YIR018W,0.7634459906410908,-0.8341014208360905,0.4341815691736704
YLR147C,-8.677729134873083,-38.61439937007037,-6.569547932217226
YOR154W,0.21167103351428826,-2.5625322823439705,-0.06514957097250192
YLR227C,-2.01908559210094,-5.950281062272319,-0.1847373653963652
YMR190C,0.5206667846679565,-1.972675796260034,0.31365000970558693
YDR122W,0.32542147329487364,-7.607111544294018,0.08038068094968087
YGL245W,-0.2224794784306372,-1.1563334398589165,-0.6128240651750149
YOR048C,-0.4101246933277432,-2.1870138329238618,-0.5609655643551189
YNL062C,-2.9143006693288394,-19.68833967873251,-4.076702552918362
YBR221C,0.32251571425948206,-0.6647836133317993,0.5128968009975312
YBR153W,0.0687802867606984,-1.304588218761265,0.6626746933454759
YOR294W,-0.661718198674042,-4.440952616507018,-1.1193391201674343
YLR390W-A,-0.34302550267572,-3.830290566018361,0.4808811368625011
YOR161C,-4.304050776292393,-139.11267942610803,-7.144115916832054
YLR086W,-0.4373981925747528,-1.0900064559853995,-0.344923211764898
YHL024W,-1.1113815863418914,-6.565829456814544,-0.9058332684211902
YJL048C,-6.05738646642371,-51.57298003157434,-6.704719635295836
YGL019W,0.10887507639033658,-0.4337650127882798,0.05407820523764957
YNL001W,0.11247987529701191,-0.5815410187101149,0.3225842566420642
YNL079C,-0.5179169645150979,-1.7447552617968651,0.2824870452860743
YBR281C,0.31340191913502696,-2.8645567707365878,0.2293783009969237
YAL046C,-1.844462860279529,-9.98857322171794,-1.729034483010419
YIL044C,-0.7809377701644029,-8.892503112703494,-0.3245140582640316
YNL259C,-1.235414592643924,-6.509299599820685,-0.89006773698967
YDL105W,0.45672647608337175,-1.4562651552642125,0.6969567937924183
YBR261C,-2.2228087659213593,-6.023299818148984,-0.012525379070448062
YCR069W,-0.38064673174034447,-12.498154921469032,-0.5210898869879645
YNR038W,-0.001974829470194006,-3.564179857592683,-0.14825959650343393
YGL106W,-7.883706625323366,-24.3412601442822,-1.5599299270279692
YDL115C,0.3098390876550195,-1.6701817350035517,-0.010942336150025534
YDR453C,-0.20879345418252152,-7.308210587979312,-0.4746014436625151
YER038C,-0.16243997508654617,-1.793329380872533,-1.948246407800203
YDL210W,0.34615173075575756,-0.7316753994814005,0.615156631557931
YLR397C,-0.2706637975841901,-3.703051201032718,-0.25800846762843965
YMR303C,0.4255726190990664,-1.3644070721519765,0.47162481761596126
YKL019W,-0.34211685268537473,-8.860750847689905,-1.0423818581788473
YLR047C,0.5093838570974385,-0.24196401988335,0.3018467065478778
YAL021C,-0.101182172890291,-5.23860449211388,0.18004563164089935
YER062C,-0.5954817637179882,-4.2255814314178375,-1.0767998432553811
YLR035C,0.4281788531909191,-0.42487148556147275,0.4411803675061116
YEL059C-A,-0.3869668936466241,-4.817156139524735,0.336112862164944
YLR234W,0.29710014158734843,-2.1694147795581524,0.6976806148068322
YNL125C,-49.99869508951264,-185.36431584142,-16.681904388110745
YMR294W,-1.0092238431700955,-2.4306958358409507,-1.4015557893986756
YHR073W,-1.2973552256134047,-11.507582739020696,-1.7817881513283513
YDR288W,-0.8314041493332377,-1.838061369534811,-1.6109478608161385
YNR052C,0.011263589001057417,-0.6201516558273685,0.19674293649406233
YAL001C,0.22755342918279675,-1.768888462381281,-0.30542263090509214
YBR182C,0.4969410952114067,-3.631958121154792,0.1879967621667908
YMR185W,-0.5881592163737459,-4.4385067364386055,-0.5552763503670811
YHL022C,0.3894356152726107,-1.0964227748927031,0.5094957430510325
YER009W,-2.3231216100368086,-11.072302875111566,-0.4582158807638822
YKL059C,0.3741645394964427,-2.284172191948151,0.05258621491314468
YOR272W,-1.0834200172704072,-5.652078704692684,-0.34372297118961853
YIL115C,-1.2365679067044855,-10.296869060740233,-0.6264530640783721
YBL076C,0.22230554304879976,-4.5905281130671405,0.4305831983536195
YDL081C,-0.20443551640998728,-3.3010683689663276,-0.45117655138449475
YCL039W,0.6423240970183395,-1.091280023848428,0.37407615210764683
YPL130W,0.45586375249621425,-1.8693668674024582,0.7475278679432029
YEL041W,0.1199661143080492,-0.7849362671686828,0.40242326014966034
YOR210W,-1.7967390312351412,-6.843506976496627,-0.5921464946218583
YPL060W,-0.3657630490735905,-3.1762498718997665,0.45448058920678686
YNL106C,0.5454424544881495,-2.1573103567819505,0.49814851007390926
YDR363W,0.01800038372492265,-1.4829697049527555,0.6671343619646215
YER055C,-0.12552612607159003,-0.6453141081890374,-0.6796248343211556
