,tf_list
YDR079W,YFL021W; YEL009C; YKL032C; YIR017C; YGL209W; YMR037C; YGL013C; YDL020C; YLR403W; YML007W; YOR162C; YBL005W; YPL038W; YKR099W; YDL106C; YER169W; YBL103C; YDR463W; YMR016C; YCR084C; YHR084W; YDR253C; YMR043W; YMR070W
YLR259C,YKL112W; YIL036W; YNL068C; YFL021W; YEL009C; YGL073W; YIR017C; YMR037C; YKL062W; YGL013C; YLR176C; YDL020C; YLR403W; YIL101C; YML007W; YDR259C; YOR162C; YBL005W; YGL071W; YJR060W; YER040W; YOR032C; YDR123C; YER169W; YDR207C; YOR290C; YMR016C; YCR084C; YPL254W; YHR084W; YOR344C; YHR124W; YDR253C; YMR043W; YKL109W; YHR206W; YDL056W; YNL216W; YGL162W; YOL108C; YMR070W; YNL103W; YPL075W
YML014W,YKL112W; YOR028C; YIL036W; YLR228C; YEL009C; YIR017C; YGL013C; YDL020C; YML007W; YBL005W; YJR060W; YPL038W; YHL027W; YDR207C; YOR290C; YCR084C; YNL199C; YER028C; YDR253C; YJL110C; YNL216W
YLL019C,YOR028C; YNL027W; YIL036W; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YIL101C; YML007W; YDR259C; YPR104C; YBL005W; YJR060W; YKR099W; YDL106C; YDR207C; YMR016C; YIR033W; YHR084W; YAL051W; YLR256W; YHR124W; YDR253C; YJL089W; YMR043W; YHR206W; YER109C; YNL216W; YGL162W; YGL237C; YMR070W; YHR178W; YPL075W; YMR280C; YMR021C; YOR113W
YOL004W,YKL112W; YEL009C; YKL032C; YIR017C; YGL013C; YDL020C; YML007W; YOR162C; YBL005W; YGL071W; YJR060W; YPL038W; YHL027W; YDR310C; YIL131C; YCR084C; YBR083W; YDR253C; YBR049C; YGL237C; YGL096W; YBR297W; YMR021C
YMR025W,YKL112W; YFL021W; YEL009C; YKL032C; YIR017C; YGL013C; YDL020C; YLR403W; YML007W; YIR018W; YPR104C; YBL005W; YJR060W; YPL038W; YKR099W; YIL131C; YPL254W; YHR084W; YER028C; YBR083W; YDR253C; YMR043W
YIL094C,YIL036W; YNL068C; YEL009C; YGL073W; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YIL101C; YML007W; YOR162C; YBL005W; YGL071W; YJR060W; YPL038W; YER040W; YKR099W; YMR164C; YHL027W; YBL103C; YDR207C; YIL131C; YOR290C; YMR016C; YCR084C; YDR253C; YBR049C; YBR033W; YGR044C; YNL216W; YLR131C; YLR183C; YMR070W; YDR034C; YFL031W; YDR477W; YLR013W
YAL012W,YKL112W; YOR028C; YIL036W; YFL021W; YEL009C; YGL073W; YKL032C; YIR017C; YGL035C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YIL101C; YML007W; YOR162C; YBL005W; YJR060W; YPL038W; YER040W; YOR032C; YDR123C; YMR164C; YDR207C; YER028C; YOR344C; YDR253C; YMR043W; YBR049C; YPL177C; YKL109W; YCL055W; YKL038W; YHR206W; YER109C; YNL216W; YLR131C; YOR358W; YKL043W; YJR127C; YHR178W; YBR240C; YNL103W; YDR421W; YPL075W; YOR363C; YPL133C; YKL015W; YDR146C; YPL248C; YOL028C; YER045C; YHL009C; YOR113W
YGL241W,YIL036W; YEL009C; YIR017C; YGL035C; YGL013C; YDL020C; YML007W; YDR259C; YBL005W; YJR060W; YPL038W; YER040W; YHR084W; YBR083W; YDR253C; YBR049C; YNL216W; YGR288W
YDL045C,YKL112W; YEL009C; YIR017C; YDL020C; YIL101C; YML007W; YPR104C; YBL005W; YJR060W; YPL038W; YKR099W; YHR084W; YBR083W; YDR253C; YPR199C; YOL108C
YKL099C,YOR028C; YNL027W; YFL021W; YEL009C; YKL032C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YML007W; YOR162C; YBL005W; YJR060W; YPL038W; YOR032C; YDR123C; YHL027W; YER169W; YCR084C; YIR033W; YER028C; YOR344C; YLR256W; YDR253C; YMR043W; YPL177C; YFR034C; YPL089C; YML099C; YBR240C; YNL103W; YOR363C; YPL133C; YBR297W; YPL248C
