,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
spsF,0.08771630469467318,0.16380176909839106,0.034290911352154896,0.0343525804003223,0.14684993565656745,0.05268576084306853,1.3808893237086828,1.3220520002150522,1.420748069941118,1.4207027055653445,1.3353854172109547,1.4071517917255714,0.04779878086004541,0.1489751859454127,1.4107767116801966,1.3337211157042705,7.0,8.0,0.0,0.0,1.0,2.0,2.213152876651762,1.4876669239624043
yjmC,0.8379117024099964,0.7527978271818019,0.8450685627671071,0.8808577810701316,0.8251827293983399,0.8519323490832285,0.25457866148862746,0.31439259627547916,0.24889486869149166,0.21826244223657917,0.264385927983728,0.24331913366289004,0.8115301985534413,0.720205921169754,0.2745156161227729,0.3344763598018828,7.0,8.0,0.0,0.0,0.0,4.0,0.4233659443218577,0.6506657700554546
ogt,-0.47242990317786804,-0.8856930456564813,-0.5871779196335729,-0.007800998072227561,-0.7203461497157186,-0.6745987758666712,0.10487864476119231,0.11868757378452816,0.10888863631884332,0.08676751197880075,0.11336465541253335,0.11184720532813437,-0.564543304156861,-1.547459611339304,0.10810942226411435,0.13795054035864945,8.0,8.0,0.0,0.0,1.0,1.0,0.007909756033714146,0.08893680921707359
ahpC,0.43609498649941847,0.39422214410089773,0.30738102427396474,-0.18735413874348805,0.5301455817033413,0.33756058376934117,1.6886612604052575,1.7502345768414438,1.8714867441799863,2.450358890036446,1.5414208175002468,1.8302593971439638,0.4244118676916214,0.1442075079345767,1.706064624499962,2.0802896027504167,6.0,7.0,0.0,0.0,1.0,2.0,5.354300094792532,2.3139360610856414
bioW,0.9756183018294599,0.9673820888791375,0.809591872357145,0.8677106080519228,0.9123694329819783,0.8897265840203178,0.11991489882540578,0.13869769464143578,0.3351073174525503,0.27932105915033184,0.22733640131959582,0.25502137562159666,0.8798873714541038,0.8630968161570628,0.2661555370672797,0.28415018567128647,9.0,8.0,0.0,0.0,0.0,1.0,0.6244618678734369,0.7902289971099751
radA,0.9558383205696095,0.9634245060641329,0.9358171650299951,0.8082270467801083,0.8979135530512818,0.9625780757319747,0.07476463907122763,0.06804066515219345,0.090132807455553,0.15579988356278054,0.11367304533136675,0.06882346095900785,0.957586629163348,0.9496238621450642,0.0732697729112092,0.07985201598179754,7.0,9.0,0.0,0.0,0.0,5.0,0.13402026891118302,0.36608778853054225
ydfS,0.8986585984395482,0.8329565796964153,0.17605392732583136,0.2033999701758623,0.8866847906528283,0.8987989359792511,0.12608774569216002,0.16188034222448142,0.35952477316416,0.3535082764527482,0.13332866471144483,0.12600041231239917,0.9157468710924765,0.8294134125316003,0.11496680072121851,0.16358816000629656,7.0,9.0,0.0,0.0,1.0,1.0,0.16610489751692978,0.4075596858337804
tlp,0.9620122666085749,0.9707797886641693,0.869072097634024,0.41351899032230655,0.9122568949372568,0.8686218796463603,0.1855862300437709,0.16276676627972395,0.34454040827435417,0.7292073477551858,0.28205289300579645,0.3451322804615308,0.9114010889002371,0.8840520162816846,0.28342506257792865,0.324231838917396,7.0,9.0,0.0,1.0,0.0,2.0,0.960001036132319,0.9797964258621885
phrG,0.06418950453751193,-0.550109956015544,-0.02987152724833475,-0.48770666414739683,0.15949904290259664,-0.40429029994651366,0.1185803835735441,0.1526160285105421,0.12439714717597068,0.149512515775638,0.11237973435268511,0.14526043587718168,-0.4910866854818394,-0.14797755782453748,0.14968226321074782,0.13133654700898148,6.0,8.0,0.0,0.0,1.0,4.0,0.015909677406050704,0.12613356970311554
csbX,0.7645566645019037,0.6225440394352545,0.7218861848268816,0.5246419612389446,0.802349706049573,0.6652233870635094,0.169394397825155,0.2144810793011592,0.1841056530227672,0.24069455390940644,0.15520459495995323,0.20199164127092742,0.7310979912177993,0.6653613162652011,0.18103096470190366,0.2019500263327784,6.0,9.0,0.0,0.0,3.0,4.0,0.1290432429549912,0.3592258940485655
gabR,0.6749700719772918,0.6198244792335263,0.44753787793131194,0.36156879097037486,0.6298892845674251,0.5392839675296506,0.13185340767053452,0.14260073279474883,0.1719020026165612,0.18479351950819023,0.14070045827915909,0.15698073034376311,0.6388661721501816,0.4351384993707357,0.13898366765107886,0.17382037007845946,7.0,9.0,0.0,0.0,2.0,1.0,0.056634744911699286,0.23798055574289947
lytB,0.7599643914670889,0.8538587309352687,0.7153150804128794,0.6804588843350328,0.7423152445331631,0.39474942694957715,0.2587218446009861,0.20187460958326947,0.28175880304667145,0.29850982935220305,0.2680646987986677,0.41083067893576053,0.5087193943511776,0.7988930951340509,0.37013493054928687,0.23681475256386966,6.0,9.0,1.0,1.0,1.0,4.0,0.29526645432301596,0.5433842602827358
yvgT,0.8555179385008657,0.8836707656148813,0.8029643662370457,0.5616907865023726,0.7492785516316074,0.7988486104508659,0.17727816659957776,0.15907162649518983,0.20702398992302215,0.30877248054685824,0.23353072671967604,0.20917501332478874,0.7285693379547831,0.924333856950721,0.24298403506366276,0.12829185518838007,6.0,10.0,0.0,0.0,1.0,1.0,0.23031390417961295,0.47991030847400323
gmuB,0.34115590510263516,0.12885528912591937,0.22685096577472041,0.5129966681008546,0.38970903537249724,-0.10702228482717047,0.2257235242546185,0.25955574473634946,0.24452152874234986,0.19406689605219637,0.2172470878784206,0.29259282710039675,0.2578401773648661,-0.04718294443471849,0.23957098217308923,0.28457501903018284,6.0,8.0,0.0,0.0,3.0,4.0,0.08188315551768835,0.2861523292194008
mraY,0.9711181466677514,0.9575785338455456,0.9787917306727212,0.8143877136464475,0.9580096617837531,0.9056579976728013,0.08112795759836344,0.09832203321137338,0.06952013848792676,0.20566546593770282,0.09782113554633722,0.14662585527081615,0.9710274045092652,0.9360378569915102,0.0812553031780631,0.12073119981837686,7.0,9.0,1.0,0.0,0.0,1.0,0.2412901597468019,0.4912129474543621
tyrS,0.990270721573682,0.9887083763762555,0.9928249504296626,0.9884794625404202,0.9793554937728762,0.9583453816798164,0.05496661642285821,0.05921570235708114,0.04720316734584219,0.05981292736484867,0.08006836088148805,0.11373398801129404,0.9836363237385244,0.988969349426634,0.07128515978366773,0.058527402699992855,7.0,10.0,0.0,0.0,1.0,3.0,0.32880692806260414,0.5734168885397466
