,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score
fliJ,0.5865945279530127,-4.096359347741305,0.44076137935773374,0.5350201917658265,0.4849505876325694,0.5095329134348591
bglH,0.5070317861329543,-3.193411283289004,0.02821480619932104,-0.6768945963569994,0.4423845779803546,0.13575032917202967
ybaJ,0.8113281175224819,-2.9941162985914653,-0.11216493114487158,-0.004777203866273894,0.7224829594629429,0.7146210274382303
topA,0.7067736119746775,-3.7724326201769163,-1.6105425497445722,0.12423228050065593,0.24563737371820493,0.44378961458008315
purB,0.6526371504056765,0.3378987352179167,0.6269538319981969,0.3828872592381253,0.6309744425750575,0.7404005151358554
cotY,-6.508008457191141,-341.50538856297595,-15.907161247772994,-9.269270353816443,-3.687458171530496,-3.2961737837565783
nasC,-0.9641776620494404,-33.95448164388548,-1.1738001066905581,-0.7218196884952044,-0.684524069121081,-0.4173147543802336
yngH,0.6006087107124458,-0.12463038991922493,0.40987941994789256,0.5572039786932474,0.5771036578586174,0.6521495922541743
rapA,0.34427850896700873,-3.626206563642506,0.4493240509464548,0.4876846059809994,0.24018279060186387,0.6122082374284852
yvyE,-0.9322693407663316,-56.80648627585294,-2.466741527549089,-0.7383228720975161,-0.7749124652916086,-1.7468092804849902
cspR,0.287275733021232,-1.0474055663053283,0.15831563139735105,0.2738891278386234,0.0021298786174279716,0.3321370905483485
spsI,-1.4261591070828459,-131.3168511507782,-3.273019947914979,-1.9764431673259524,-0.9223448708686282,-0.9356285573449317
spsK,0.46434683140047583,-5.183609570508841,-0.04299578083270439,-0.7629618376964347,0.29970232219401827,0.32479112867442494
ribE,0.5720145462053026,-1.2443730517306673,0.36867039561557746,0.42769451636787514,0.5221396664085619,0.48618895489918523
opuBB,0.3220230708993148,-13.488783109901409,-0.673221342130865,0.17096333709628175,0.374632349785712,0.050277316264374816
gerBA,0.6505824567659549,-14.582305570877852,-0.3622925308631124,-0.4188825390229951,0.4649993245491856,0.6487978445235494
sigD,0.10728070910562026,-23.83358495747567,0.34412503546735673,-0.19376315581906267,-0.05848275178998397,-0.15061715796028707
spoVS,0.4007797583077707,-7.085438494455868,-0.028707050505587084,-0.006444494858625083,0.4732999472688769,0.3837754174389547
ytxC,0.3227250107857008,-2.0379386505375905,0.34045865705639944,0.3327711119201894,0.011164079785653036,0.37527876650717573
fliP,0.02316642043703676,-22.87656781024886,0.2799604729738441,-0.14748769322397037,-0.16312624704142742,-0.27887673053042716
pucM,-1.169081335138511,-30.717219550554965,-0.5646792152582873,-0.5738627923944846,-0.6206427920644111,-0.5738920157473177
cheY,0.30363268031051327,-13.076110677267359,0.3118716949385276,0.2429988664263134,0.15348353503269618,0.011443618456505877
yncM,0.8461268241862689,0.8394779253347702,0.11681368943876325,-0.01806285155556142,0.7204697579185513,0.8448082962453897
comEC,0.1878314758746924,-26.83023449355864,-0.2978369900656679,0.09517679842931659,0.17793746080584538,-0.1093617594251528
ytbQ,0.660146067048594,-4.777454501344953,0.09378992268161712,-0.007977329292223834,0.509904972265079,0.5402103882454916
csbX,0.40793574465465,-13.64250919766725,0.23200452911969038,-0.49745052287844826,0.374120750128204,0.21488028163010175
yvlA,0.7112153841403318,-3.9587819468571794,0.7029060584867757,0.4017683212058827,0.37971530827524735,0.3251135551053145
epsM,0.46259559525275773,-4.0444253370978265,0.4090291025093433,0.3630655878395155,0.5155437396150867,0.4443081185284051
ywcJ,0.43698227770399445,-9.78234466420381,-0.3462610247553317,0.24513504840230194,0.27313900461359286,0.01973955662011473
liaH,0.12452994591326616,0.33134762444940613,-0.007646709417459263,-0.06336171925711542,0.027470753947825055,0.11124912485248284
cheW,0.09485402291411915,-28.408394152068684,0.34090654882568894,-0.23209825620345903,-0.010083730776879074,0.25248427255798267
rpoA,0.4615492638045424,-11.401794427857897,-0.05815546713342146,0.11222671915357418,0.5959974309836504,0.2928816323622383
yxzF,0.4239974224439438,-7.8549348505715475,0.25585183029483216,-0.40874475915244024,0.40150762566203857,0.47418536692902236
mrnC,-0.3342491981603959,-41.3549374619398,-1.0950994410255026,-0.10807446502254558,-0.6136524820057372,-1.012260823341148
gyrA,0.4414715745089236,-8.335799657228966,0.007329678595986544,0.12919901358401575,0.2725393590728985,0.16693599265771153
speD,0.6682656275159506,-24.064276258874045,0.08361085817623726,0.09634582341643783,0.6053443163123415,0.14281389762173557
sspO,0.7114603932089598,-1.8364569752099795,0.495246126827381,0.48015654802630736,0.6581371501483473,0.6907399159216722
yuxO,0.7511305555274569,-0.34599926695302585,-0.004206662114354831,0.4613940723950738,0.461325438352545,0.6240904295003086
ydcT,0.28186651015332054,-23.531469041076527,-2.9876122349400873,-0.22084910995651752,0.3532613212387049,-0.011760263801981141
trpC,-0.015367949337474318,-39.372656569769916,-1.5152067459885,-0.4579985184880908,-0.03524464580812681,-0.38572770881985385
dacC,0.5238612300269339,-6.330120775230089,0.5320951209124809,-0.17580763458652782,0.3181121349658511,0.5316690997772566
yxeA,-0.06950052110027105,-27.728210746488926,-0.9287665822683715,0.07003985939546109,0.06706121443167001,-0.28800020584884556
cspB,0.7817087836890917,0.22165469183043562,0.41186612453505933,0.6075219967233378,0.707484282388798,0.7179860260972332
rodA,-0.8923786687100246,-46.96967048434301,-3.1731895565749504,-0.6455870573045195,-0.7757619164994314,-1.5902995531331028
ydiO,0.10572628993425481,-27.29172230562136,-1.6289190251805161,-0.5429378249909169,-0.09259674243732263,-0.3217206965270667
fliY,0.42481994122459354,-11.95343957350268,0.4265967598116238,0.3289826446315277,0.2639253595423956,0.265820852207022
