Gene_name,ORF_name
BNA7,YDR428C
DSE1,YER124C
ABF2,YMR072W
CTI6,YPL181W
SSL1,YLR005W
POP2,YNR052C
CAD1,YDR423C
SHC1,YER096W
RRT15,YLR162W-A
DSD1,YGL196W
ISC1,YER019W
VMA4,YOR332W
UBA2,YDR390C
GPX1,YKL026C
GIM4,YEL003W
TEP1,YNL128W
ILM1,YJR118C
MSI1,YBR195C
FAP7,YDL166C
ASH1,YKL185W
CIK1,YMR198W
ESA1,YOR244W
AFT2,YPL202C
ALK2,YBL009W
SAC1,YKL212W
ELO1,YJL196C
BUG1,YDL099W
DBP5,YOR046C
FMP25,YLR077W
OST6,YML019W
CDC34,YDR054C
PLM2,YDR501W
MAF1,YDR005C
UIP4,YPL186C
CSI2,YOL007C
SHY1,YGR112W
ERG11,YHR007C
HRB1,YNL004W
MEX67,YPL169C
FMP45,YDL222C
TBF1,YPL128C
ABZ1,YNR033W
SIS1,YNL007C
BIO4,YNR057C
BSC4,YNL269W
DST1,YGL043W
UBX5,YDR330W
HSF1,YGL073W
MEP1,YGR121C
PTC5,YOR090C
ADH3,YMR083W
PDI1,YCL043C
SNU13,YEL026W
CKB1,YGL019W
TUB4,YLR212C
VPS8,YAL002W
CDC11,YJR076C
HPT1,YDR399W
CAF130,YGR134W
SSU1,YPL092W
NCS6,YGL211W
TAF3,YPL011C
HPA3,YEL066W
GPI1,YGR216C
BUR6,YER159C
RPL15B,YMR121C
RIX7,YLL034C
SNC2,YOR327C
RRT8,YOL048C
RNR3,YIL066C
PRM6,YML047C
IFA38,YBR159W
PGU1,YJR153W
CHS5,YLR330W
ORM1,YGR038W
RNA14,YMR061W
MDL2,YPL270W
NOP58,YOR310C
EAF1,YDR359C
MED8,YBR193C
YAP1801,YHR161C
RTC4,YNL254C
VTC1,YER072W
KAP122,YGL016W
HSP42,YDR171W
VID24,YBR105C
PRP19,YLL036C
FLO8,YER109C
STE20,YHL007C
RRP7,YCL031C
JSN1,YJR091C
CDC123,YLR215C
PRD1,YCL057W
PIG1,YLR273C
FEN2,YCR028C
BXI1,YNL305C
LUC7,YDL087C
YGK3,YOL128C
PEX13,YLR191W
GDH2,YDL215C
SBE22,YHR103W
ANR2,YKL047W
VHR2,YER064C
NMD4,YLR363C
REX3,YLR107W
REV3,YPL167C
POL12,YBL035C
DPB11,YJL090C
RSC9,YML127W
YSA1,YBR111C
GPI11,YDR302W
MEP3,YPR138C
SOV1,YMR066W
RHO3,YIL118W
RPA43,YOR340C
IAH1,YOR126C
MRPL10,YNL284C
NOC2,YOR206W
SEC16,YPL085W
RTC3,YHR087W
DLD1,YDL174C
SOL4,YGR248W
MPS3,YJL019W
MSC3,YLR219W
PET111,YMR257C
MSB1,YOR188W
RAD34,YDR314C
TPP1,YMR156C
RIO2,YNL207W
RPA190,YOR341W
TEF2,YBR118W
ARO9,YHR137W
HO,YDL227C
HIP1,YGR191W
UFD4,YKL010C
SPO12,YHR152W
SDH4,YDR178W
CNE1,YAL058W
TGS1,YPL157W
PPG1,YNR032W
USB1,YLR132C
GCN5,YGR252W
MET7,YOR241W
MAD3,YJL013C
PET117,YER058W
DEF1,YKL054C
NKP1,YDR383C
EMI2,YDR516C
ARH1,YDR376W
UNG1,YML021C
ANB1,YJR047C
TFB4,YPR056W
RAD51,YER095W
FMP23,YBR047W
MRPS9,YBR146W
RUB1,YDR139C
NUD1,YOR373W
IME1,YJR094C
DIS3,YOL021C
ITC1,YGL133W
FIG1,YBR040W
SMB1,YER029C
YSF3,YNL138W-A
AIM4,YBR194W
RPS2,YGL123W
HKR1,YDR420W
BTS1,YPL069C
MEF2,YJL102W
MNN11,YJL183W
TFC6,YDR362C
IES4,YOR189W
YPT7,YML001W
DCG1,YIR030C
UTP11,YKL099C
PRP39,YML046W
TDA11,YHR159W
TDH3,YGR192C
LCB5,YLR260W
KHA1,YJL094C
HST1,YOL068C
