,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
TLR1,-0.10285669898728456,-0.8833924718991821,-0.16278136164589463,-0.03405717071936043,-0.21549293441091222,-0.2566564134322651,0.5809326272976364,0.7591658103345567,0.5965066049581129,0.5625206905867174,0.6098772667642827,0.6201182345939232,-0.3085814002276799,-0.6026651164365202,0.6328001850630192,0.7003056304015612,9.0,15.0,0.0,0.0,2.0,1.0,0.30926317031689166,0.5561143500368352
SHISA5,-0.12418063974397042,-0.7825866228732965,-0.1626864414554563,0.010972246339964853,-0.18724291757378997,-0.23130125115655598,1.1526983168353229,1.451519684091316,1.1722734043091112,1.0811895700051606,1.1845881991268745,1.2063678885843396,-0.15945975715119598,-0.5179735449883598,1.170645629166202,1.3394598785969087,15.0,15.0,0.0,0.0,4.0,3.0,1.1945132403093932,1.0929378940769658
COPB2,-0.06309965621356284,-1.8515425200950575,-0.574700614957468,-0.022120708261315514,-0.05715565813616319,-0.015634027291178132,0.5637360200837559,0.923269995712862,0.6861005931358963,0.5527641768675684,0.5621578318356104,0.5510073824942322,-0.09800340407436758,-0.07082492600774248,0.5729155889458947,0.5657805743036233,16.0,12.0,0.0,0.0,2.0,1.0,0.3021157343481365,0.5496505565794839
GANAB,-0.2594075496018091,-4.237350857218484,-1.441035316515388,-0.47928617671113893,-0.38114888368396826,-0.6449986345857326,0.29839920847088647,0.6085136925844189,0.41543353583025144,0.3234004501645972,0.3124890249910585,0.34103369578120074,-0.25425526248232955,-1.5629336792227924,0.29778820131356226,0.4256799595777915,9.0,16.0,0.0,1.0,2.0,8.0,0.07145371162475432,0.26730827077506286
TMEM39A,-0.07673985554857699,-1.20989633940412,-0.3436447688048787,-0.040775658439643925,-0.15455252414334142,-0.4600274556538346,1.0758861845966272,1.5413344582976185,1.201858029325126,1.057765747528978,1.1140836070885922,1.252827990512194,-0.15572018025228562,-0.4815643228065949,1.1146468286662314,1.2620343976368347,17.0,17.0,0.0,0.0,2.0,1.0,1.0864697137628239,1.0423385792355686
MTHFD2,-0.009699733419205936,-0.9454709903571108,-0.23614219416445303,-0.051623952221394376,-0.0733536648662454,-0.06853925296350138,1.00890808948347,1.4004508228529051,1.1163225529482972,1.029640740009798,1.0402240853053812,1.0378885570457033,-0.04977994636780547,-0.24226328588882562,1.0287376146115677,1.1190830260763887,13.0,14.0,0.0,0.0,4.0,1.0,1.0188417158681449,1.0093768948555069
PRKRA,-0.03671311823460277,-0.7098712467698027,-0.27729877511409495,-0.01247453027663692,-0.10053091910112522,-0.3518766825992192,0.31946050942271326,0.4102698357269377,0.35459624369073767,0.31570389231475166,0.32914632245299624,0.3648013371503162,-0.22777262364403872,-0.23278781013681926,0.34765369979460364,0.34836302138578923,11.0,16.0,0.0,0.0,1.0,1.0,0.09948818717305907,0.31541748076645826
ARHGDIB,-0.06320364815544899,-1.1303604402134413,-0.5566438639369922,-0.036899194972891625,-0.05405014090008731,-0.2693046501250924,1.4767352828388183,2.090359424153478,1.7868539409622288,1.4583531060595925,1.4703646656379354,1.613531164003381,-0.16658589718576255,-0.2536648908267589,1.5468663187104832,1.6035597770108725,15.0,16.0,0.0,0.0,0.0,1.0,2.0729298066195523,1.4397672751592712
NUFIP1,-0.040955580610480435,-0.6194266063446692,-0.05035670183422081,0.012544492439995447,-0.08250755183885317,-0.35426176275924925,0.2546719455319787,0.3176476467446389,0.2558193626244873,0.24804117236434356,0.25970509778601397,0.290480053149362,-0.12936042911327839,-0.30150218567985587,0.26526581791159126,0.2847655561715878,14.0,16.0,0.0,0.0,2.0,8.0,0.06296885059846218,0.2509359491951326
RIF1,-0.07117833283263764,-1.8857370171937031,-0.2930749855769905,0.004133719363353827,-0.34015635374912434,-0.2990899960079332,0.21372271391520484,0.35079077659394736,0.2348181411657922,0.2060726255719005,0.2390548314488721,0.23536366050361257,-0.18573198086799492,-0.5881742423729788,0.22486044065538693,0.2602368927070303,13.0,16.0,0.0,0.0,0.0,3.0,0.043095838292283965,0.20759537155795157
GIT2,-0.24995046905446605,-2.1023303783502354,-0.8790640832826508,-0.010079981963457385,-0.3350683119874105,-0.1817696741353878,0.35157781450535397,0.5538843355052916,0.4310680708668216,0.3160479242629201,0.3633513718233569,0.34185464144068006,-0.43980565333335564,-0.9613514447419111,0.37733491923874374,0.44040553654079334,12.0,17.0,0.0,0.0,1.0,1.0,0.09994150200426369,0.3161352590336353
TSN,-0.024843208330891597,-1.03303460533889,-0.2961320237737046,0.016381886013181135,-0.1076196667875502,-0.20371226432207146,0.6333990170024812,0.8921154421145916,0.7123169714234856,0.6205287821981058,0.6584821407120184,0.6864517461389139,-0.0862930840387588,-0.19100561804135707,0.6521119798496948,0.6828189672606624,15.0,15.0,0.0,0.0,2.0,2.0,0.3956335330796163,0.6289940644231997
GMFB,-0.1701633286726374,-1.226091956502116,-0.5219108308074261,-0.03691801785027948,-0.2763720380157437,-0.4179985921869629,0.4959342106166894,0.6840256322907116,0.5655818053831045,0.4668453490495656,0.5179519431243883,0.5459322193078451,-0.15364972973272684,-0.7158727108525229,0.49242241114997415,0.6005419635985114,15.0,18.0,0.0,0.0,3.0,1.0,0.21242097783854264,0.4608915033264799
PPTC7,-0.07866402198117894,-1.1522036172977472,-0.4794288443219863,-0.0224431571341972,-0.12504338021373607,-0.37440328607755347,0.1669610102763726,0.23583792536330972,0.19553252483840036,0.1625517141514343,0.17051264905078095,0.18846428434837328,-0.18369566681447225,-0.4520924929400527,0.1749008806247778,0.19371761226834813,15.0,17.0,0.0,0.0,3.0,3.0,0.02611798608833032,0.16161060017316414
SDC3,-0.12215124831653479,-2.513400159504645,-0.29422931229716953,-0.08418479247447941,-0.13027838822797166,-0.08377995505447222,0.5447518513940967,0.9639107522884626,0.5850306671815293,0.5354570883295572,0.546720965327428,0.5353571084611094,-0.19940316767531252,-0.19101752419117202,0.5631908783563215,0.5612186467636624,16.0,13.0,0.0,0.0,1.0,2.0,0.2672648127068113,0.5169766075044511
CLINT1,-0.09798466296833652,-2.251654814645326,-0.5020651335542656,-0.15627740761555997,-0.20310845595184213,-0.2865219419860432,0.36034981254786946,0.6201237742514676,0.42147376446100226,0.36979172083565104,0.37720596612490537,0.3900630051871024,-0.21790296588049896,-0.4293081558263798,0.37951811267546387,0.41113940166926255,13.0,14.0,0.0,0.0,1.0,2.0,0.11952206251207051,0.3457196299200705
NUS1,-0.016717951053101476,-0.6560779895054565,-0.1753011963853086,-0.014118820044288105,-0.11379811841362009,-0.12634793146739942,0.5016937766119023,0.6402931572158636,0.5394026268770954,0.5010521029397875,0.5250996247722093,0.5280496400392705,-0.12169869502307495,-0.3950587023207244,0.5269586954855376,0.5876716080040859,14.0,17.0,1.0,0.0,0.0,4.0,0.2501915788108586,0.5001915421224739
TNRC6A,-0.11668577467896535,-0.558620278343269,-0.2873629179374304,-0.0013825538984248986,-0.07942923453938855,-0.1521598455267723,0.32258822776379514,0.38111249172656053,0.3463646172023174,0.3054801767049892,0.3171612426324133,0.32767204411028633,-0.3500929578777092,-0.19764368345975503,0.3547029975996766,0.33407719986579726,13.0,18.0,0.0,0.0,4.0,2.0,0.09418067465357574,0.30688870075904673
RNF113A2,-0.05318993139928918,-0.048172407428655584,-0.09723104155444151,-0.09012675487881383,-0.10201848979871664,-0.07598785252675677,0.5382147004357082,0.5369311099133202,0.5493526820438918,0.5475713357894885,0.5505498478494837,0.5440087568102564,-0.15918511910643107,-0.08683782584367061,0.5646490541551089,0.5467446962894407,11.0,17.0,0.0,0.0,4.0,2.0,0.27797143198156005,0.5272299611948851
RAB11FIP5,-0.08017149387330491,-1.4911186579055404,-1.4743727826820665,-0.0007054905040373427,-0.19199007893897968,-0.56772295721113,0.16741210652133112,0.2542363895347462,0.2533804307434086,0.16113639619442915,0.1758639508472551,0.20168572665028311,-0.15229393737010333,-1.361717371795478,0.17291080934346958,0.24754517582351687,12.0,16.0,0.0,0.0,1.0,1.0,0.02622266108672085,0.16193412576328947
H2-D1,-0.10136223333675565,-1.3795850634329359,-0.17339098742126424,-0.1262114035562112,-0.14291386022927943,-0.3459265988605633,1.345751959893823,1.9781104991604845,1.3890609584771914,1.3608488517897246,1.3709028543789208,1.4876837489320105,-0.07822468739487398,-0.18063537724377632,1.3315410708522801,1.3933423170036867,16.0,14.0,0.0,0.0,1.0,3.0,1.661864510905717,1.2891332401678723
NDUFS7,-0.10450897015850802,-1.0566882083914009,-0.6644997841188807,-0.011112635375293944,-0.15267045990916617,-0.0709067553470113,1.054476210047558,1.4389191468142353,1.2944760928449477,1.00890884913545,1.077220833654251,1.0383122826874491,-0.09417382969809185,-0.1447332046854264,1.0495311284979971,1.073505571161387,15.0,15.0,0.0,0.0,2.0,1.0,1.01741954561969,1.0086721695475145
SOD2,-0.1381573969595815,-0.8449831939925676,-0.1615677446257997,-0.1381805128536293,-0.17048953646104192,-0.14024561930060297,1.1660385751754303,1.4845948946528065,1.1779694497516446,1.1660504161946839,1.1824846813505685,1.1671077734951687,-0.11201858171165413,-0.2277276416188032,1.152571237782645,1.2110519475144483,16.0,16.0,1.0,0.0,2.0,8.0,1.2073112920747928,1.0987771803576887
NDST2,-0.16696722177914247,-1.0898033332708223,-0.34437808225314326,-0.05568499658279924,-0.20909761592230103,-0.07170724373114457,0.2687848561839058,0.35968984452394437,0.28849359731091884,0.2556481427919769,0.2735937359346215,0.25758083719972497,-0.25820817244104677,-0.7748632042536285,0.2790947828317891,0.33148044278685845,11.0,17.0,0.0,0.0,0.0,2.0,0.06256719517126477,0.2501343542404057
VAT1,-0.09789991381013952,-3.124669328402492,-0.25141498574356747,-0.11655937552807027,-0.1758294047861837,-0.29012755130404266,0.22362587995424887,0.43344625564319483,0.23874889086185866,0.22551820093511313,0.23142637106842476,0.24241361718702745,-0.3172091714959788,-1.1090552720604538,0.24494470742214539,0.3099450235392946,14.0,15.0,0.0,0.0,1.0,4.0,0.04603383171125251,0.21455496198236132
CAMK2G,-0.026363361573695787,-0.49634995779468793,-0.0753616481081738,-0.08365365045516526,-0.07662031901266264,-0.28787639220762906,0.36260446350658915,0.4378235957212304,0.37115887300945916,0.37258710887554447,0.3713760233303729,0.4061810581803139,-0.051922433481977226,-0.14827154722241942,0.36709158918742957,0.383534889735196,14.0,17.0,1.0,3.0,0.0,9.0,0.1294675419820279,0.3598159834999383
