,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
Dnajc11,0.948638517161436,0.878831721190967,0.9372456535920989,0.6845249775971189,0.9447824335253052,0.7459932082485056,0.006647824748584504,0.010210693843908495,0.007348229141039591,0.016475677224600044,0.006892859346384399,0.014783710509726723,0.9310955999005794,0.8307619420542952,0.0076998854298639405,0.01206729144198375,8.0,18.0,0.0,0.0,0.0,6.0,0.0008676122885773301,0.02945525909879813
Prkaca,0.6627907450855056,0.10836812177093558,0.722782975772716,0.7266582337647267,0.6787022689736668,0.3639946338704432,0.022367079333609884,0.03637075605229921,0.02028007160151592,0.020137823657777675,0.02183299748065431,0.03071778704765012,0.6832209494329344,0.25924453760917243,0.021678925941802294,0.03315102543874162,10.0,12.0,0.0,0.0,0.0,24.0,0.0014959710700305226,0.03867778522654215
Tln1,0.47267754919257676,0.5069509000647143,0.4424959806039692,0.3025764153611986,0.4086842416221963,0.4335607069860551,0.146392253373674,0.1415549465255226,0.1505233815463525,0.16835587634978125,0.15502069919132508,0.15172482697815376,0.4487312887238052,0.48274519128291815,0.14967926320890607,0.14498805814097632,7.0,13.0,0.0,0.0,1.0,7.0,0.040979254559456404,0.202433333617407
Prepl,0.9331184827240632,0.9322208254438651,0.8818450401237146,0.6812107020238438,0.9500237605569458,0.7275784270149974,0.007898522067847094,0.007951350817102253,0.010498294606465515,0.01724426324645257,0.006827702101947593,0.01594092525808198,0.9122201837719525,0.8767618406732129,0.009048781699178034,0.010721742653477551,8.0,20.0,0.0,0.0,0.0,5.0,0.0009405668737128986,0.030668662731082662
Pbx3,0.8924386139744005,0.8953993312668618,0.9020011037348953,0.6299593129702108,0.9465980876835871,0.7476391179852804,0.009952637591885423,0.00981470444199713,0.009499933988116804,0.01846012913099906,0.007012750696854285,0.015244774814730475,0.9012173517821078,0.8845434225796996,0.009537846478411665,0.010311440377010971,9.0,21.0,0.0,0.0,0.0,6.0,0.0009285902405869076,0.03047277868174984
Raly,0.8024141515894634,0.7691776493295207,0.6772326900319474,0.19502616627929303,0.7717878261670379,0.7134308900787374,0.026966112009015244,0.02914602585475661,0.03446554794263205,0.05442911812525046,0.02898076331234059,0.032475444451932706,0.7573710887241913,0.6383579907866891,0.029882139632973294,0.03648210196004905,7.0,12.0,0.0,0.0,1.0,3.0,0.003710948748380496,0.060917556979745144
Rab2b,0.9370430632307253,0.9080033306470494,0.827261688275873,0.183797629473621,0.945970094743754,0.7402311027075619,0.007752370721351821,0.009371277331043537,0.012841243271882118,0.02791333091011947,0.007181742693716575,0.015747307701066266,0.9252239986871205,0.8836178154218833,0.00844877718593346,0.010540373263916927,9.0,20.0,0.0,0.0,1.0,1.0,0.000962563968474272,0.0310252150431592
Tgm2,0.41274766110058003,0.5456708377222426,0.23447457676792116,0.006222882346170522,0.43214248984052406,0.35734555193271333,0.3987877830033312,0.35076380658625744,0.4553121888303178,0.5187689375290142,0.39214723253920664,0.4171749536994494,0.4113171742487115,0.595012206751184,0.39927319078202766,0.33116957763351407,8.0,10.0,0.0,0.0,2.0,7.0,0.27306312701199703,0.5225544249281572
Bag2,0.6055340295396151,0.6031763037215347,0.43279210340163055,0.050525764713112875,0.6598271768058104,0.4800571072274553,0.02242408017966318,0.022490994782083943,0.026889393085246797,0.034789762016871145,0.020823785085994875,0.02574469130981968,0.5900799893188402,0.5935824862802144,0.022859115681868672,0.022761248123302272,8.0,19.0,0.0,0.0,0.0,1.0,0.0012853572626591939,0.03585187948572841
Nphp3,0.8754415363701569,0.8907713635138564,0.7828760732085392,0.1509955882152173,0.949842023108493,0.7784501958317547,0.010488740862611591,0.00982211445443212,0.013848112300793478,0.02738367349294375,0.0066558992568108285,0.013988540984726582,0.8960499312287341,0.8754603957330077,0.009581844638580203,0.010487946783862525,10.0,21.0,0.0,0.0,0.0,1.0,0.0008905895461269858,0.02984274696014068
