,linear,ridge,lasso,elastic_net,bayesian_ridge,quantile,quadratic,linear_gs,ridge_gs,lasso_gs,elastic_net_gs,bayesian_ridge_gs,quantile_gs,quadratic_gs
YDL065C,-45.131652643205996,0.46992988882099307,-0.03387278881797773,-0.03387278881797773,-0.3143401310547398,-0.043982771289315714,-3.8769313990714034,0.2540702791078404,0.4305129947766695,-0.03387278881797773,-0.03387278881797773,0.5226120276737943,-0.04389913147343716,-7.783093492420164
YOR230W,-9.233479821525945,0.7552850626234561,-0.09955032186496537,-0.09955032186496537,0.2017864488112735,-0.4162365957019185,-3.470104377161384,-155.28991399401085,0.8397773573774736,-0.09955032186496537,-0.09955032186496537,-0.34622831493072304,-5.462253730896852e+198,-8.771725272640984
YOR223W,0.2700471009721144,0.7353834912300448,-0.1053003987722212,-0.1053003987722212,0.6449298905400332,-0.0015489891500017894,-1.4603269917410358,0.7596842499538154,0.690703218480123,-0.1053003987722212,-0.1053003987722212,0.7497127438955294,-0.0017266786182621452,-1158.4872858150395
YNR027W,-83.24922545031791,0.8201924609708482,-0.005184370257344861,-0.005184370257344861,0.8222344139645091,-0.00267090553675442,-4.102089099967941,0.6832437448409348,0.701147306339051,-0.005184370257344861,-0.005184370257344861,0.7682000576436641,-0.00266816009719939,-12.987697219575256
YKL022C,-9.350246460187696,0.08494224446635201,-0.1688191869320359,-0.1688191869320359,-4.986777851734128,-0.16059644284514896,-0.6205129097332476,0.2180790735643804,0.0889600264103052,-0.1688191869320359,-0.1688191869320359,0.10736935174696949,-0.16063822586753007,0.18660832755524093
YAR015W,-0.6084400107749774,0.567786421114155,-0.001528455516559335,-0.001528455516559335,0.6086866392287804,-1.1352237938310274e+262,-1.122185179411257,0.06162270117626334,0.3324612280436825,-0.001528455516559335,-0.001528455516559335,0.4952843622564288,-7.44931377849993e+278,-3.2694136361440957
YHR014W,-476.11834884723953,0.7765104575919854,-0.0975366688749073,-0.0975366688749073,0.006269333207718164,-1.261521144092386e+242,-9.728856096559195,0.1667410893606449,0.6141995453731613,-0.0975366688749073,-0.0975366688749073,0.4754300005508172,-0.27969501553422416,-90.52831952727263
YBL056W,-301.35246445284935,0.7562304741458333,-0.18515386007206858,-0.18515386007206858,0.037954080748534014,-0.6777277594525828,-0.7910641609348847,0.7116144105975668,0.6982660807331627,-0.18515386007206858,-0.18515386007206858,0.7612307103639062,-0.6773636939057874,-12.612233888783956
YKL079W,-76.88259293832515,0.7106630712639709,-0.08687516065548584,-0.08687516065548584,0.5081381667057916,-7.108406364771599e+301,-4.062679160284802,0.43089722292036736,0.5287194310119145,-0.08687516065548584,-0.08687516065548584,0.40757811878266137,-0.00695126586106376,-15.7756168867041
YPL094C,-0.01632923822317678,0.8167366277669051,-0.002773677503694394,-0.002773677503694394,0.57656932967486,-0.02443005842246837,-0.5700456338291893,0.80536966802637,0.5474322245542789,-0.002773677503694394,-0.002773677503694394,0.7290487437211766,-0.02422392941596474,-6.053170024932927
YJR089W,-7.141269211616107,0.7578925175204123,-0.04882950152806975,-0.04882950152806975,0.7388784459283917,-0.07887415564533207,-2.6503214386667726,0.6745305161520855,0.6006735225902788,-0.04882950152806975,-0.04882950152806975,0.6835641853003858,-0.07770464549558165,-0.7523365388346113
YHR057C,-18.5961507019945,0.7975510693077468,-0.1981940767745749,-0.1981940767745749,0.7027548031546483,-0.07491676028403327,-5.730280616588214,0.7900484043472732,0.7419910143477073,-0.1981940767745749,-0.1981940767745749,0.8109506080600258,-0.07408369195746545,-12.579240237494375
YBR279W,-1.987161400641094,0.31193654011518435,-0.008101188104066015,-0.008101188104066015,0.18232437354512887,-0.020346068534998096,-2.58011363298076,0.2657952260997044,0.3070865009678221,-0.008101188104066015,-0.008101188104066015,0.27778304432085477,-0.02140867039141181,-136.40829659785695
YHL036W,-69.87134633476767,0.8993550655416603,-0.061592280994812176,-0.061592280994812176,0.07536796455206929,-0.07615288126640651,-0.5694525727198627,0.27383886074502173,0.7958811051215273,-0.061592280994812176,-0.061592280994812176,0.4457783697104467,-0.07594955223502353,-0.24988451180792004
YIL076W,-2.149846357395667,0.8624285479813368,-0.00045822371765913417,-0.00045822371765913417,0.8241672008060463,-0.019304284193876864,0.6032115709608908,0.7561015426847779,0.812036481533777,-0.00045822371765913417,-0.00045822371765913417,0.394740761021127,-0.0194067386420953,-17.25066136983386
YJL146W,-106.6402209851185,0.5365299696565504,-0.19774341906613513,-0.19774341906613513,-2.8606679905514953,-0.0782814424157654,-3.4976659241486763,-15.85055943191264,0.42520912746966355,-0.19774341906613513,-0.19774341906613513,-13.631716599486284,-0.07730198580313208,-2.241054449162292
YBR256C,-54.623588607935595,0.32142971126950637,-0.2921764899169328,-0.2921764899169328,-0.023830493222606997,-0.06267430682817676,-25.468284761838383,-12.840054440981973,-0.18345060973508232,-0.2921764899169328,-0.2921764899169328,-7.319355563346001,-0.06538292621213992,-14.00662912292606
YJL020C,-107.01004947573213,0.21274456680498566,-0.013084110800756887,-0.013084110800756887,-2.6929603872202175,-0.0065291971520833325,-1.8878564130748408,-0.0519200361970793,0.3008018610493326,-0.013084110800756887,-0.013084110800756887,0.2559210473460697,-0.006588813984735875,-13.445995394467635
YKR064W,-72.44778367094499,0.7692144919765613,-0.05796515338747432,-0.05796515338747432,0.6500326056423487,-0.037054560760327204,-6.584867183962338,0.7520427922794817,0.6185585325224394,-0.05796515338747432,-0.05796515338747432,0.72165693969007,-0.03698206750159572,-12.837059154339409
YLR054C,-15.930883476913827,0.006622949534429767,-0.18475718562281163,-0.18475718562281163,-9.913842309781828,-inf,-1.9778539936928428,-16.4290336067789,0.03334285253754954,-0.18475718562281163,-0.18475718562281163,-18.572247297464358,-0.2223728542886576,-1.5446174054027537
YBR270C,-47.55104780330197,0.8560563216786155,-0.05671017616273066,-0.05671017616273066,0.7959327785222041,-0.07859399159604608,-4.162149561896003,0.8283664075418757,0.6973354136484169,-0.05671017616273066,-0.05671017616273066,0.8301049308593043,-0.07628445325778421,-17.378030589249562
YDR054C,-300.02586515294047,0.8256623831483084,-0.0024567128968975283,-0.0024567128968975283,0.8068407310961588,-0.048777433006679916,-6.141896922593221,0.7692157722463375,0.7590684445452662,-0.0024567128968975283,-0.0024567128968975283,0.7929510641029925,-0.048539978116267646,-44.73884770746436
YGR276C,-6.269115144249583,0.27097218395635625,-0.23784856134782606,-0.23784856134782606,-6.298029791719677,-0.1755387084300537,-1.5392096515018494,-17.088638566175295,0.23042203277458884,-0.23784856134782606,-0.23784856134782606,-15.762283728071658,-0.17118366691896214,-6033.6552960456065
