,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
YDL045C,0.8267047446045593,0.8524401621093667,0.8097686924478231,0.657922518426298,0.7930110586914549,0.6233568174385352,0.022440939946126517,0.02070769654102894,0.023511952940921146,0.031528982132716425,0.024525692505783896,0.0330836001096451,0.7742843987144834,0.6308727756080749,0.02561111560053184,0.032751843178641174,7.0,10.0,0.0,3.0,1.0,15.0,0.0029569811261130857,0.05437813095457664
YBR280C,0.7613820267483234,0.6794950248404426,0.8054624529335362,0.7309960325754451,0.7903125540254972,0.6634027141822101,0.07972140023605377,0.09239335328375094,0.07198219065876574,0.08464526800974026,0.07473250790907822,0.0946844469093573,0.7159257318889267,0.6735831161827477,0.08698398297118737,0.09324158533789452,7.0,9.0,2.0,4.0,1.0,33.0,0.027101905177200226,0.164626562793494
YNL088W,0.7811480835803564,0.6253960828395841,0.7858928024657479,0.43605173505554773,0.7528792548219398,0.4940647006231168,0.028739607587833924,0.03760034364840848,0.028426362533782546,0.04613444383245931,0.03053938305980299,0.04369715354185243,0.7468894904262213,0.49047498789815624,0.030907277116071098,0.04385189958577602,8.0,8.0,3.0,4.0,2.0,31.0,0.003840293806262378,0.06197010413306063
YDR369C,0.8109709952530393,0.8129633436178427,0.7666089400052518,0.6730306494135361,0.7916241970303878,0.6293183611054347,0.025909200312652945,0.025772298326554383,0.028789352218776935,0.03407558396192527,0.027202788693721964,0.036281925069487665,0.7818744866414349,0.6567994865003842,0.027831910427250868,0.034911117384781865,6.0,10.0,2.0,4.0,1.0,23.0,0.0036135386773985746,0.060112716436695614
YLR148W,0.7941215728576296,0.7853990457105247,0.7217475281652066,0.6647714183932825,0.7645829063443927,0.6182418468234561,0.025510520389607983,0.026045321427370267,0.029657423071545515,0.03255250518795146,0.027279279398603258,0.03473825969648478,0.791355166163659,0.6223385237477437,0.025681342031114,0.034551367449599475,7.0,10.0,2.0,2.0,1.0,27.0,0.003216480567677062,0.05671402443555793
YOR181W,0.8287326614131538,0.7794530865279193,0.7784481771016952,0.7018432442746095,0.8114351535451066,0.6772126291383317,0.030113398564954433,0.034172203964201675,0.03424996733249019,0.03973240236204961,0.03159751026846877,0.041340979762969444,0.781162184764417,0.6902486897529712,0.03403954003128729,0.04049758016833999,7.0,10.0,2.0,3.0,2.0,28.0,0.005387634600622928,0.07340050817687115
YKL146W,0.8645752231427505,0.7676233637681126,0.8443908905106075,0.6190485674171111,0.8486569563963291,0.7144601701686544,0.024175030427375673,0.03166753034894046,0.025914060820356924,0.04054644388969184,0.02555637174964195,0.03510357219608388,0.8902569898188958,0.7540737009423274,0.021762380494820956,0.032577702433302595,6.0,9.0,1.0,3.0,2.0,40.0,0.0043912591523849985,0.06626657643476837
YBR279W,0.4755164624335134,0.31193654011518823,0.3376373057857456,0.3070865009678221,0.34646857222799543,0.34012970498338835,0.029899404294910226,0.03424607887235393,0.03360040693025878,0.0343665642392872,0.03337565855195628,0.03353712999904481,0.4548909978806118,0.2928944924045265,0.030481636673389555,0.034716722264755195,7.0,9.0,0.0,2.0,1.0,22.0,0.0017343883516620856,0.04164598842220083
YBL105C,0.7792126674174974,0.6594812828974157,0.7470494994680785,0.42904483303981267,0.7627379400342078,0.5644668143175143,0.024041257888960638,0.029856617551868244,0.02573284963924747,0.038660824749518256,0.024922078473533213,0.03376608712770621,0.7560946835314035,0.26953944074176706,0.02526857460974599,0.04372889433380862,6.0,9.0,2.0,5.0,1.0,19.0,0.0026637493669183854,0.05161152358648585
YIL116W,0.4884377535748642,0.384396775971518,0.45432037391963387,0.29586394140519146,0.4601818869298696,0.10378822275704336,0.07147947562363878,0.07841200478720542,0.07382457991945382,0.08386107155839329,0.07342700958449806,0.09461008622854009,0.4625023358490654,0.25382658544260583,0.0732690238507681,0.08632806383675853,8.0,9.0,1.0,1.0,3.0,45.0,0.010162893342234736,0.10081117667319797
