,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_top_feature_num,linear_top_feature_num,test_var,test_std
YLR087C,0.7757878413596557,0.7433708977468284,0.7150003914231688,0.46349835431014885,0.7203501166113042,0.658896655181385,0.028961048557021935,0.03098401214073967,0.03265177788824676,0.04479919715023438,0.03234387300302462,0.03572133578917021,7,10,0.0038064711408995994,0.06169660558652801
YBR068C,0.8413926107230437,0.7571879757785088,0.8462916295205305,0.7082401706833796,0.8196812844808168,0.6230463259379717,0.13337605113746095,0.16502557003987672,0.13130005441407644,0.1808959713329533,0.14221209993880904,0.2056175296704308,7,9,0.11412621958622318,0.3378257236893354
YGL253W,0.9034352571278417,0.9162308755550205,0.8784360928950002,0.41134422035673934,0.9429637597935919,0.733662240041798,0.25050445229878776,0.23331794521815988,0.2810661080074372,0.6184959514157673,0.19252254744930108,0.41602796677066955,5,8,0.66124963868758,0.8131725762023582
YPL193W,0.7946732842309518,0.8084223393552539,0.7835909426610101,0.6720251510579525,0.6920228849563368,0.5851452281984284,0.024746486242370677,0.023903596253365994,0.02540554573745536,0.03127599119233242,0.030307494499834105,0.03517538477141835,7,10,0.0030348327461028656,0.05508931607946196
YPL211W,0.7133523407894544,0.004216045258099599,0.639235742770472,0.20005180498081565,0.4830894728435363,0.38018487887348207,0.041614220765330695,0.07756220178277656,0.04668521020255919,0.0695181967605458,0.05588242647971764,0.061192563973852726,8,8,0.00614735469108194,0.0784050680191143
YDL171C,0.7531365661936119,0.6332976062362485,0.7837138172501363,0.6315205915426314,0.5927059464892621,0.28443725324974745,0.059334807308107154,0.07231660443013921,0.05553867844568071,0.07249161332302766,0.0762140759125736,0.10101945350643775,7,9,0.014511604877859933,0.12046412278292626
YIL007C,0.6924119099559856,0.7423001615059963,0.7010503647759649,0.7075039874012102,0.7351061047780296,0.5990106884737693,0.08515572154799807,0.0779446208259949,0.08395142831168736,0.08304032696651892,0.07902509931521089,0.09722892270038089,6,9,0.023988952743198913,0.15488367487633714
YFR041C,0.790130844901643,0.8048923486751511,0.7820499391398609,0.7412125146684625,0.7458080263572604,0.5978030795111577,0.028346646705447183,0.027331567163941695,0.02888722879849938,0.03147741205110934,0.031196674420341367,0.03924160432187689,8,9,0.003895900940510919,0.062417152614573174
YBR247C,0.7626523683518632,0.5988783827244253,0.7786819970331966,0.6068094154465102,0.6840389111428101,0.585257698336747,0.028569074487013336,0.03713998755999909,0.027587483822548147,0.036770985951435776,0.03296252870652796,0.037765295467466584,8,9,0.0034991340316784633,0.05915347861012456
YLL055W,0.6469181558634217,0.8410523757852016,0.6170893031606663,0.7299431110963974,0.7075865290794001,0.8145790082831289,0.2507520758290906,0.1682417837867111,0.26112929321202494,0.21929790054581486,0.22819468865867387,0.18171312351013624,6,7,0.1812036016653379,0.4256801635798148
YDR231C,0.5551846759649963,0.5287060415189757,0.5877314547001319,0.6252648596552546,0.5426621662827815,0.5271309750335693,0.04706404252813083,0.048444591025258534,0.04530951965189481,0.043197793876052326,0.04772192158253342,0.048525474521683966,6,9,0.00506701107002824,0.07118294086386316
YNL294C,0.7306721472390305,0.678091841216145,0.7475429722673455,0.526423978632699,0.6954217949116422,0.6070488022904037,0.036566099156804636,0.03997642838253364,0.03540232059945861,0.04848784141281332,0.03888547512516629,0.04416795652989433,7,9,0.005051602092291711,0.07107462340590846
YCL057C-A,0.6807624292993127,0.6747239761309312,0.7075047913609094,0.6603823857049163,0.7196204162689728,0.5580111311353992,0.19018706510114486,0.19197735518758352,0.1820469285846121,0.19616389734182987,0.17823671581526193,0.22378431519483805,7,9,0.11529250989765776,0.33954750757096974
YPL031C,0.6307924890242296,0.5841128316543229,0.6328431081663266,0.6718727176927959,0.6071085450779732,0.540008404656009,0.03743130038340548,0.0397271501431173,0.037327206864878004,0.03528749438103245,0.038613213196262534,0.04178059298429645,6,9,0.0038614680016251512,0.06214071130607656
YDL047W,0.4456187213440317,0.3463107331299986,0.4502818078919325,0.31339712644116813,0.38447381680598836,-0.06190277236030206,0.030767104249483774,0.03340934969381475,0.030637434792860786,0.0342401101802807,0.03241944763118854,0.042581869288457815,8,9,0.0017374720548659452,0.041682994792432385
YBR073W,0.7675476297494357,0.6969030928259283,0.6953915553951433,0.5231121761141375,0.5988271202071288,0.5742703337616745,0.02366571840204019,0.027023615655253973,0.02709091493508383,0.03389696540116399,0.03108983993565385,0.032027250766822495,7,9,0.002451650418361285,0.049514143619387024
YDR510W,0.6610494633091561,0.6519547489762771,0.6205498751706549,0.6658497396383081,0.6382493743645725,0.3887073310170803,0.25974750817692194,0.2632092108947107,0.2748277466387914,0.2579016549030084,0.2683415181291008,0.3488251749677988,9,9,0.2025440976460273,0.45004899471727217
YHL014C,0.811921560602388,0.7970948234869477,0.7725204914461293,0.7691603813890899,0.7377848123777075,0.6392409199955652,0.0242225333172769,0.025159187927693463,0.026639201098837356,0.0268352243045202,0.028600852416319576,0.03354738640811295,7,10,0.0031743385932231478,0.05634126900614813
YDL141W,0.7979567507340249,0.7733305355383592,0.776517998119981,0.6568419011075467,0.7474152600660249,0.18712089652577757,0.02301890366967687,0.024381418699404887,0.024209384041557622,0.029999194235941527,0.025737479740955065,0.046171655121475336,7,10,0.0026685667139555135,0.051658171802295844
YDR496C,0.7157491560637368,-0.37635829971504053,0.6923576050450997,-0.19726506302731717,0.11722905008352347,0.1175173534615831,0.03759575861305646,0.08272822840508705,0.039112093542155536,0.07715838448643696,0.06625398234463853,0.0662431625466257,8,7,0.005059750245429329,0.07113192142371334
YJR112W,0.8050113590218922,0.8081517278342668,0.8093397011087998,0.7979955944380117,0.7517063717620005,0.6537467212615997,0.02870954708188908,0.02847741938309899,0.028389112756248724,0.029221473098141645,0.032396975865879515,0.038257680175483984,7,8,0.004301268047577076,0.06558405330243837
YDR093W,0.7475417980395338,0.731687474641712,0.634194120076573,0.5164116724928942,0.7615536161842817,0.653016475089982,0.02839516074143327,0.02927319074006763,0.03418022601288247,0.03929954243762134,0.02759592521633155,0.03328925043776866,8,9,0.0032497676872112204,0.057006733700600845
YKR083C,0.8696358574064629,0.8472673341320083,0.8397333157822946,0.7529334340710288,0.8560267253663558,0.7632356278097081,0.021301865297305905,0.023057091544990346,0.023618928077951365,0.029325508212673584,0.02238615462149734,0.02870758989133151,8,10,0.0035418507249631538,0.05951344995010081
YDL022W,0.7566424935965826,0.4482516039254135,0.7352379322939376,0.40918301242790334,0.7205427029236817,0.4089990008522353,0.15385987434997653,0.23167199566294064,0.16048368284672362,0.2397339201540143,0.16487724696577977,0.23977125014198764,7,8,0.09898266398569977,0.31461510450978
YCR060W,0.5882038263950281,0.6643158659751355,0.6004595130568622,0.6511992491808949,0.563752474597366,0.6415148287961041,0.05836779067351472,0.052698409616623636,0.05749267272654847,0.053718120232357024,0.06007566537630426,0.054458753828326045,6,9,0.00841816319238743,0.09175054873071567
YGL030W,0.9507953176155952,0.8096286696063117,0.9363314941542666,0.6195611631394624,0.9634442836823867,0.8568495346962306,0.3713003406099708,0.7303363281337212,0.42236163292788237,1.0324393621549885,0.3200366976637067,0.6333131609424105,5,9,2.8510012016072928,1.6884908058995443
