target_gene,minimal_set,disjoint_sets
ymxH,sigE: rsfA,sigE: rsfA; sigF: sigG
yesY,mhqR: yfmP,mhqR: yfmP; cymR: hprT; iolR: comA; sigM: gutR; ycbG: sigL; licT: malR; mtlR: treR; sigD: padR; sigF: zur; yxdJ: dnaA; codY: glcT; lmrA: ansR; ywbI: rex: ohrR: mntR: ydfI: czrA: glnR: yodB: sigW: exuR: nadR: gltR: citR: ganR: cggR: yetL: kdgR: levR: sigY: mdxR: ctsR: glcR: mtrB: tilS: sacY: nrdR: glnL: sigA: walR: gabR: bltR: lexA: sigV: rocR: sinR: sigH: birA: rsoA: nsrR: licR: gerE: fruR: araR: arsR: slrR: bkdR: sigO: nusA: ahrC: salA: adaA: gltC: rsfA: splA: ccpN: deoR: cysL: yrkP: xre: yfhP: purR: liaR: comK; ccpA: sigE; hutP: citT: resD
yvmC,sigB: sdpR,sigB: sdpR
dnaN,sigF: lexA,sigF: lexA; sigO: bltR; rsfA: resD; hutP: dnaA; purR: rsoA; citT: nrdR; comA: licT; mtlR: sigE; adaA: glcT; mdxR: codY; yxdJ: sigV; birA: slrR; arsR: xre: ansR; sigA: lmrA: hprT; ccpA: liaR: ahrC; treR: gutR: mhqR; comK: yfhP: nusA; sinR: gerE: glnL; zur: ywbI: araR; sigY: bkdR: ccpN; sacY: yfmP: malR; sigM: sigL: walR; abh: abrB: acoR: alsR: aseR: azlB: bceR: bmrR: ccpC: cggR: citB: citR: csoR: cssR: ctsR: cymR: cysL: czrA: degU: deoR: desR: exuR: fadR: fnr: frlR: fruR: fur: gabR: ganR: glcR: glnR: glpP: gltC: gltR: gmuR: gntR: hrcA: hxlR: immR: iolR: kdgR: kipR: levR: licR: manR: mgsR: mntR: mta: mtrB: nadR: natR: nhaX: nsrR: ohrR: padR: perR: phoP: pucR: pyrR: rex: rocR: rok: rplJ: rplL: rplT: rpmE: rpsB: rpsD: sacT: salA: sdpR: sigB: sigD: sigG: sigH: sigI: sigW: sigX: splA: spo0A: spoVT: tilS: tnrA: tyrZ: xpf: xylR: ycbG: yclJ: ycnK: ydfI: yetL: yfiR: ylaC: yodB: yrkP: ytrA: ywcC
pyrB,walR: adaA,walR: adaA; rsoA: slrR; ycbG: sigO; liaR: sigF: iolR: lexA; bltR: sigE: gltC: licR; mtlR: ccpA; bkdR: mdxR; sigM: gutR; gerE: yfmP; malR: citT; sigV: ywbI: yrkP; arsR: sigL: yxdJ; cysL: glnL: splA; comA: sacY: sigY; xre: birA: comK; araR: lmrA: fruR; ansR: hutP: resD; mhqR: glcT: licT; glpP: ccpC: glcR: gntR: immR: sacT: desR: phoP: rplL: kdgR: hxlR: sigB: kipR: rplJ: tyrZ: ytrA: czrA: pucR: mntR: nsrR: spoVT: alsR: mta: manR: rocR: sigH: frlR: azlB: hrcA: salA: rok: tilS: sinR: sigD: hprT: natR: nusA: codY: rsfA: sigA: treR: ccpN: dnaA: purR: yfhP: ahrC: cymR: deoR: nrdR: zur: padR; ylaC: mtrB: gabR; citB: glnR: yetL: bceR: cggR: sdpR
tagH,resD: iolR,resD: iolR; fruR: yfmP; rsoA: glcT; licR: lmrA; birA: cysL; glnL: ycbG; licT: malR; nusA: ansR; bltR: sigO; adaA: gerE; cymR: comK; nrdR: mtlR; hutP: sigL: gutR: arsR: padR: sigA: lexA: sigF: salA: mdxR: araR: sigD: treR: yrkP: splA; ahrC: ywbI: sigV; comA: yxdJ: sacY; ccpN: sigE: purR; deoR: bkdR: dnaA; sigM: gltC: liaR; walR: sigY: slrR; mta: fur: gmuR: exuR: citR: pucR: rpmE: xpf: rplT: rex: nadR: sigG: sdpR: mgsR: fadR: sigW: ccpA: spoVT: ccpC: fnr: ylaC: mntR: sinR: glcR: nsrR: citB: azlB: rok: mhqR: tilS: mtrB: cggR: frlR: glpP: natR: alsR: rsfA: hprT: codY: citT: xre: hrcA: rocR: yfhP: sigH: gabR: zur
qoxB,sigW: rsfA: cggR: rex,sigW: rsfA: cggR: rex; adaA: ycnK; sigV: rsoA: mdxR: sigA: mhqR: hutP: slrR: yrkP: citT; bltR: sigY: nsrR: sigE; zur: sigO; hrcA: dnaA: sinR: gabR; splA: pyrR: hprT: codY: sigH: arsR: azlB; xre: ylaC: mta; fadR: abrB: citB: araR: licR: sigG: ytrA: salA: sigM: rplJ: comA: phoP: glnL: tyrZ: yodB: natR: nusA: bmrR: pucR: padR: kdgR: purR: xpf: birA: sdpR: rocR: ywbI: ganR: sacT: ycbG: liaR: resD: lexA: gutR: sigF: ccpN: fruR: nrdR: yfmP: acoR: malR: mtlR: rpsD: yetL: yxdJ: lmrA: gltC: mntR: glnR: bkdR: abh: rpmE: nadR: sigD: frlR: licT: gerE: comK
citZ,mntR: nusA,mntR: nusA
ptsG,ccpA: liaR,ccpA: liaR; glnL: sigL: lexA: licT; gutR: malR; codY: yfhP; mtlR: purR; comA: iolR: ccpN: walR; cysL: araR; deoR: comK: birA: hprT; xre: dnaA; mhqR: tilS: sigD; fruR: resD: yxdJ; sinR: lmrA: ahrC: ycbG: citT: sigM: ywbI: sacY: yfmP: sigE: zur: mdxR: cymR: nrdR: licR; sigO: glcT: ansR; bkdR: sigF: gltC: padR: sigA: nusA; spoVT: manR: nhaX: xylR: perR: sigX: csoR: kdgR: sigB: ctsR: abrB: kipR: ytrA: nadR: pyrR: rplL: gntR: exuR: rok: rplT: fnr: nsrR: yetL: azlB: bceR: rocR: sdpR: natR: gabR: alsR: arsR: glpP: cggR: glcR: sigY: sigH: adaA: mtrB: salA: gerE: sigV: splA: slrR: hutP: treR: rsfA: yrkP: rsoA
tuaC,liaR: sdpR,liaR: sdpR; mtlR: sigB; licT: frlR; xre: sacY; abh: abrB: acoR: adaA: ahrC: alsR: ansR: araR: arsR: aseR: azlB: bceR: birA: bkdR: bltR: bmrR: ccpA: ccpC: ccpN: cggR: citB: citR: citT: codY: comA: comK: csoR: cssR: ctsR: cymR: cysL: czrA: degU: deoR: desR: dnaA: exuR: fadR: fnr: fruR: fur: gabR: ganR: gerE: glcR: glcT: glnL: glnR: glpP: gltC: gltR: gmuR: gntR: gutR: hprT: hrcA: hutP: hxlR: immR: iolR: kdgR: kipR: levR: lexA: licR: lmrA: malR: manR: mdxR: mgsR: mhqR: mntR: mta: mtrB: nadR: natR: nhaX: nrdR: nsrR: nusA: ohrR: padR: perR: phoP: pucR: purR: pyrR: resD: rex: rocR: rok: rplJ: rplL: rplT: rpmE: rpsB: rpsD: rsfA: rsoA: sacT: salA: sigA: sigD: sigE: sigF: sigG: sigH: sigI: sigL: sigM: sigO: sigV: sigW: sigX: sigY: sinR: slrR: splA: spo0A: spoVT: tilS: tnrA: treR: tyrZ: walR: xpf: xylR: ycbG: yclJ: ycnK: ydfI: yetL: yfhP: yfiR: yfmP: ylaC: yodB: yrkP: ytrA: ywbI: ywcC: yxdJ: zur
