target_gene,minimal_set,disjoint_sets
YLR354C,YGR138C: YCL055W: YDR214W,YGR138C: YCL055W: YDR214W; YOR049C: YCR084C: YPL129W; YLR213C: YBR240C: YKR034W: YDL235C: YBL103C: YGL035C: YHL027W; YBR297W: YKL164C: YHR190W: YNL279W: YOR028C: YLR220W: YBR083W: YGL016W: YMR070W: YML007W: YHR143W-A: YDR216W: YMR236W: YBL016W; YAL001C: YAL021C: YAL051W: YAL061W: YBL005W: YBL007C: YBL021C: YBL025W: YBL054W: YBL066C: YBL078C: YBL085W: YBL093C: YBL107C: YBR017C: YBR020W: YBR033W: YBR047W: YBR049C: YBR066C: YBR081C: YBR089C-A: YBR111W-A: YBR112C: YBR123C: YBR128C: YBR150C: YBR151W: YBR154C: YBR170C: YBR182C: YBR187W: YBR193C: YBR198C: YBR215W: YBR216C: YBR239C: YBR244W: YBR253W: YBR278W: YBR289W: YCL032W: YCL036W: YCR042C: YCR065W: YCR093W: YCR095C: YCR096C: YCR097W: YCR106W: YDL005C: YDL013W: YDL020C: YDL044C: YDL048C: YDL056W: YDL070W: YDL080C: YDL106C: YDL108W: YDL115C: YDL126C: YDL132W: YDL165W: YDL170W: YDL179W: YDL190C: YDL233W: YDR026C: YDR034C: YDR043C: YDR055W: YDR075W: YDR079C-A: YDR081C: YDR096W: YDR098C: YDR121W: YDR123C: YDR145W: YDR146C: YDR147W: YDR167W: YDR169C: YDR174W: YDR202C: YDR207C: YDR213W: YDR223W: YDR252W: YDR253C: YDR259C: YDR277C: YDR284C: YDR296W: YDR299W: YDR303C: YDR308C: YDR310C: YDR311W: YDR333C: YDR335W: YDR362C: YDR392W: YDR406W: YDR421W: YDR423C: YDR451C: YDR460W: YDR463W: YDR477W: YDR480W: YDR485C: YDR492W: YDR501W: YDR520C: YEL007W: YEL009C: YEL063C: YER022W: YER028C: YER040W: YER045C: YER064C: YER068W: YER088C: YER110C: YER111C: YER114C: YER116C: YER130C: YER148W: YER159C: YER161C: YER169W: YER171W: YER174C: YER177W: YER184C: YFL009W: YFL021W: YFL031W: YFL034C-B: YFR028C: YFR034C: YGL013C: YGL025C: YGL038C: YGL043W: YGL045W: YGL060W: YGL071W: YGL073W: YGL094C: YGL096W: YGL104C: YGL105W: YGL106W: YGL107C: YGL110C: YGL111W: YGL112C: YGL113W: YGL127C: YGL133W: YGL151W: YGL162W: YGL166W: YGL181W: YGL190C: YGL209W: YGL237C: YGL252C: YGL254W: YGL256W: YGR005C: YGR040W: YGR044C: YGR047C: YGR048W: YGR104C: YGR134W: YGR146C: YGR186W: YGR197C: YGR209C: YGR211W: YGR224W: YGR233C: YGR243W: YGR246C: YGR249W: YGR257C: YGR274C: YGR281W: YHL009C: YHL010C: YHL020C: YHL031C: YHR006W: YHR030C: YHR041C: YHR056C: YHR058C: YHR064C: YHR071W: YHR084W: YHR124W: YHR178W: YHR206W: YIL033C: YIL036W: YIL038C: YIL056W: YIL101C: YIL122W: YIL130W: YIL131C: YIL143C: YIL154C: YIR013C: YIR017C: YIR018W: YIR023W: YIR033W: YIR037W: YJL056C: YJL065C: YJL078C: YJL089W: YJL103C: YJL110C: YJL124C: YJL127C: YJL156C: YJL173C: YJL176C: YJL210W: YJL216C: YJR032W: YJR060W: YJR063W: YJR066W: YJR078W: YJR094C: YJR127C: YJR132W: YJR147W: YKL005C: YKL015W: YKL020C: YKL028W: YKL032C: YKL038W: YKL043W: YKL058W: YKL062W: YKL096W: YKL109W: YKL112W: YKL125W: YKL179C: YKL185W: YKL203C: YKL220C: YKR062W: YKR064W: YKR077W: YKR099W: YLL026W: YLL028W: YLL051C: YLR005W: YLR013W: YLR014C: YLR032W: YLR040C: YLR047C: YLR055C: YLR071C: YLR098C: YLR109W: YLR113W: YLR131C: YLR141W: YLR175W: YLR176C: YLR182W: YLR183C: YLR214W: YLR223C: YLR228C: YLR256W: YLR266C: YLR332W: YLR335W: YLR347C: YLR362W: YLR375W: YLR398C: YLR399C: YLR401C: YLR403W: YLR414C: YLR445W: YLR451W: YML015C: YML027W: YML028W: YML051W: YML076C: YML081W: YML098W: YML099C: YML114C: YMR005W: YMR016C: YMR021C: YMR023C: YMR037C: YMR039C: YMR042W: YMR043W: YMR112C: YMR136W: YMR164C: YMR168C: YMR172W: YMR182C: YMR186W: YMR227C: YMR228W: YMR243C: YMR270C: YMR280C: YMR308C: YNL021W: YNL023C: YNL025C: YNL027W: YNL039W: YNL068C: YNL097C: YNL098C: YNL099C: YNL103W: YNL135C: YNL161W: YNL167C: YNL176C: YNL189W: YNL199C: YNL216W: YNL229C: YNL236W: YNL239W: YNL278W: YNL288W: YNL289W: YNL294C: YNL313C: YNL314W: YNR003C: YNR007C: YNR009W: YNR010W: YNR052C: YOL001W: YOL051W: YOL067C: YOL089C: YOL108C: YOL116W: YOL128C: YOL135C: YOL145C: YOL148C: YOL149W: YOL151W: YOL152W: YOR032C: YOR046C: YOR047C: YOR059C: YOR066W: YOR080W: YOR083W: YOR098C: YOR110W: YOR113W: YOR123C: YOR140W: YOR153W: YOR162C: YOR172W: YOR174W: YOR194C: YOR213C: YOR229W: YOR230W: YOR273C: YOR280C: YOR290C: YOR295W: YOR298C-A: YOR304W: YOR315W: YOR337W: YOR344C: YOR352W: YOR358W: YOR359W: YOR363C: YOR372C: YOR378W: YOR380W: YPL007C: YPL011C: YPL016W: YPL021W: YPL031C: YPL033C: YPL037C: YPL038W: YPL042C: YPL048W: YPL049C: YPL058C: YPL075W: YPL089C: YPL122C: YPL128C: YPL133C: YPL139C: YPL177C: YPL192C: YPL202C: YPL230W: YPL240C: YPL248C: YPL250C: YPL254W: YPR008W: YPR009W: YPR013C: YPR025C: YPR030W: YPR036W-A: YPR052C: YPR056W: YPR065W: YPR070W: YPR072W: YPR086W: YPR104C: YPR124W: YPR133C: YPR156C: YPR165W: YPR168W: YPR186C
YBR148W,YHR124W: YHR064C: YKL109W,YHR124W: YHR064C: YKL109W; YPL048W: YLR220W: YLR213C; YJL089W: YDR167W: YLR445W; YER174C: YOL067C: YGL252C; YER064C: YHR190W: YMR308C; YLR175W: YPR086W: YKL125W; YOR344C: YDR055W: YPL129W; YJL110C: YBR154C: YNL103W; YLR223C: YBR151W: YHR030C; YDR121W: YNL098C: YER088C: YBR170C: YGL025C: YBL021C: YNL199C; YKL058W: YDR299W: YGL111W; YOL149W: YGR243W: YDR026C; YDL115C: YDR081C: YOL145C; YJR063W: YPR036W-A: YCL055W; YKL020C: YNL294C: YPL021W; YNR003C: YDR310C: YPL033C; YOL151W: YML051W: YLL026W; YBR253W: YGR048W: YNL161W: YNL279W: YAL021C: YLR182W: YMR043W: YKL185W: YKR062W: YHR206W: YMR243C: YBL007C: YGR047C; YDR296W: YOR359W: YDR096W; YCR084C: YKR077W: YDR174W; YIL154C: YPL192C: YML081W; YLR335W: YNL313C: YHL010C; YDR451C: YOL001W: YAL001C: YBR111W-A: YPR186C: YGL112C: YGR246C: YNL068C: YDR216W: YOR352W: YFR034C: YOR032C: YIR013C: YJL103C: YGL013C: YJL176C: YDL108W: YMR172W: YGL166W: YDR463W: YLL028W: YKR099W: YBR193C: YMR164C: YFL031W: YPR168W: YOL051W: YDR145W: YNL314W: YDL070W: YGL110C: YDR213W: YGL181W: YGL105W: YCL032W: YDL013W: YGL071W: YBR289W: YOR047C: YDR043C: YNR052C: YHL009C: YNL099C: YDR501W: YPR104C: YLR451W: YDL170W: YDR423C: YDL132W: YJL216C: YKR064W: YOL128C: YOR174W: YML027W: YER022W: YPL089C: YPR072W: YER111C: YLR256W: YJL210W: YPL250C: YJL056C: YLR214W: YOR363C: YBR239C: YLR071C: YIL131C: YOR213C: YOR049C: YOR098C: YGL043W: YPL128C: YHR006W: YGL162W: YAL061W: YOR194C: YLR414C: YHL027W: YIL033C: YNL239W: YOL108C: YDR259C: YJR132W: YPL058C: YDR303C: YIL122W: YJR032W: YLR032W: YDR075W: YBR215W: YLR332W: YBR089C-A: YBR047W: YEL009C: YBR198C: YNL289W: YDR311W: YBR083W: YER169W: YBL107C: YER068W: YBR066C: YOR290C: YDL126C: YPR008W: YMR280C: YNL097C: YOL089C: YGL035C: YDL235C: YPL075W: YDR335W: YGL256W: YMR021C: YGR146C: YMR270C: YJR147W: YPL007C: YCR106W: YNL176C: YCR042C: YKL032C: YPL011C: YBR049C: YDL165W: YMR168C: YDR520C: YDR034C: YEL063C: YKL179C: YDL106C: YPL139C: YGR281W: YOR280C: YBR278W: YLR131C: YNL189W: YPR056W: YPL122C: YBR182C: YMR039C: YLR398C: YDL020C: YOR153W: YOR046C: YPR052C: YDR207C: YOL152W: YDL080C: YIR018W: YGR138C: YOR230W: YIL143C: YOR172W: YDL044C: YOR123C: YPR070W: YGR134W: YFL034C-B: YBL103C: YOR229W: YBL054W: YPL240C: YBR128C: YIR017C: YMR136W: YBR216C: YMR186W: YJR127C: YML099C: YFR028C: YDR253C: YIR037W: YOR028C: YDR252W: YMR016C: YJL127C: YJL124C: YKL043W: YBR017C: YIL038C: YOR315W: YIL036W: YBL016W: YLR401C: YOR059C: YML028W: YNL135C: YMR236W: YML114C: YPR133C: YOR295W: YER114C: YNL288W: YPL230W: YCR096C: YLR098C: YGR211W: YPR156C: YNL039W: YDL233W: YPL031C: YKL164C: YMR037C; YDR202C: YGL096W: YOR337W; YIL130W: YDR098C: YLR109W; YHR084W: YER177W: YCR095C; YBR123C: YBL066C: YOL135C; YOR083W: YER161C: YGR274C; YOR378W: YGL016W; YOR358W: YER130C: YNR010W: YLR013W: YPL049C; YPL254W: YLR347C: YNL278W: YLR375W: YDL005C: YHL020C: YLR014C: YBR150C: YNL236W: YGL060W: YBR297W: YOR066W: YCL036W: YMR070W: YOL116W: YHR071W: YER040W: YLR362W: YPL133C: YDR477W: YKL096W: YGL254W; YGL237C: YLR055C; YMR112C: YJR060W; YLR176C: YDR460W; YJL078C: YGR209C; YIL056W: YER116C; YGR104C: YJL065C; YLR005W: YDR392W; YGL107C: YHR178W; YJR066W: YDL190C; YDR123C: YOR113W; YNR009W: YGL209W; YPR025C: YOR080W; YNR007C: YPL038W; YHL031C: YNL025C: YDR284C: YDR214W; YBR033W: YLR266C
YML063W,YNR007C: YDR169C: YKR062W,YNR007C: YDR169C: YKR062W; YJL103C: YCL032W: YBL078C; YHR064C: YOL067C: YIL154C; YPL177C: YGR005C: YHL027W; YMR308C: YGR243W: YDL115C
YHL015W,YDL115C: YPL037C: YCL032W,YDL115C: YPL037C: YCL032W; YKR062W: YPL230W: YHR064C; YNR007C: YGL106W: YJL103C; YDR169C: YIL033C: YBL078C; YPL031C: YHL027W: YML007W; YGR274C: YPR186C: YLR014C: YJL173C: YJR060W: YJR066W: YOR229W: YHR143W-A: YDR463W: YDR098C: YLR220W: YNL135C: YER130C: YPR168W: YJR032W: YOL001W: YOR337W: YMR186W: YGL043W: YPL122C: YGR048W: YGL038C: YBL021C: YDL005C: YPL192C: YPR036W-A: YNL176C: YOR028C: YLR109W: YGR211W: YNL097C: YDL020C: YJL210W: YDR253C: YBR154C: YMR243C: YLR175W: YGR005C: YAL061W: YMR042W: YGR186W: YOL108C: YBR278W: YER068W: YPL177C: YJR147W: YIR037W: YJR063W: YGR243W: YOR153W: YOL067C: YPR008W: YJL124C: YDR216W: YAL021C: YBR170C: YIR033W: YIL154C: YER088C
YLR109W,YHL009C: YKL164C: YBL005W,YHL009C: YKL164C: YBL005W; YPL248C: YBR193C: YPL230W; YPL254W: YBR216C: YJR032W: YMR070W: YOR344C: YJR147W: YPL240C; YPL177C: YIR033W: YBR112C; YLR176C: YNL314W: YOR363C; YER169W: YGL151W: YLR451W: YLR047C: YMR280C: YCR106W: YNL021W: YGL016W: YPL250C: YOR194C: YCL032W: YOL001W: YGR274C: YHR143W-A: YIR037W: YCR084C: YGR249W: YPL048W: YGR224W: YOR059C: YLR256W: YGL252C: YLR040C: YDR460W: YGL209W: YIR023W: YGL254W: YOR290C: YML015C: YNL039W: YDR121W: YML027W: YJL110C: YDL165W: YOR153W: YJR132W: YDR214W: YLR071C: YBR215W: YNL239W: YDR123C: YGR211W: YHR206W: YJL124C: YBR297W: YJL127C: YJR094C: YCR042C: YJL056C: YHR084W: YDR299W: YHR071W: YLR175W: YJL065C: YIL056W: YBL078C: YHR178W: YDR311W: YDR202C: YCR097W: YDR207C: YDL070W: YMR043W: YER068W: YER088C: YDR520C: YOL135C: YEL007W: YPR072W: YGR243W: YOR372C: YOL067C: YKL112W: YHR124W: YAL051W: YBR083W: YGR246C: YBR111W-A: YML051W: YEL009C: YBL007C: YDR098C: YPL122C: YNL278W: YAL021C: YBR289W: YML081W: YDR308C: YML007W: YER064C: YHL027W: YMR168C: YBR066C: YGL043W: YBR253W: YNL099C: YLR399C: YDR284C: YNR003C: YLR375W: YDR303C: YGL105W: YNL288W: YDR480W: YOR080W: YBR089C-A: YPR168W: YPL037C: YGR005C: YLL026W: YGR040W: YMR136W: YDR463W: YLR414C: YGR257C: YCR065W: YJL089W: YGR146C: YKL038W: YJR127C: YBL085W: YLR445W: YPR086W: YGR047C: YBR047W: YOL108C: YBR128C: YHL031C: YLR005W: YIL130W: YNL025C: YGL045W: YPR056W: YER130C: YJL078C: YPL011C: YOL089C: YJL156C: YDR096W: YOL152W: YDR216W: YDR501W: YLR013W: YPL058C: YDL056W: YHR056C: YLR098C: YFR034C: YOR295W: YKL220C: YPR124W: YKL185W: YDL044C: YDR174W: YFL034C-B: YDR075W: YNL229C: YDR451C: YGL181W: YKR062W: YFL021W: YKL043W: YLR182W: YGR134W: YER177W: YLR362W: YBR240C: YDR477W: YPR025C: YKR034W: YAL001C: YGL111W: YDR081C: YGL013C: YLR109W: YDL020C: YLR014C: YPL139C: YLR214W: YDL179W: YER111C: YDR167W: YCR096C: YOL051W: YOR046C: YOR378W: YLL028W: YGR197C: YBR182C: YOR162C: YOR380W: YPR052C: YLR332W: YHR006W: YLR055C: YBL107C: YBR123C: YPL075W: YMR227C: YMR112C: YGL190C: YPR133C: YBR170C: YIR013C: YGR048W: YOL145C: YIL154C: YKL058W: YER116C: YPR036W-A: YPR065W: YDR043C: YDR335W: YBL025W: YPL042C: YOR280C: YKL109W: YKR077W: YGL112C: YKL015W: YGL025C: YOL148C: YFL009W: YMR023C: YNL279W: YIL131C: YER110C: YGR104C: YLR223C: YGR281W: YPL133C: YJL216C: YGR209C: YNR007C: YPL192C: YBL016W: YJR063W: YBR239C: YLR398C: YOL116W: YNR052C: YDR213W: YOR358W: YJL210W: YER161C: YER114C: YMR164C: YER040W: YBR017C: YPR008W: YHL020C: YOR230W: YML028W: YBL103C: YLR183C: YOR098C: YCR095C: YNL068C: YML076C: YOR352W: YGL094C: YPR013C: YGL104C: YNL313C: YDR421W: YDR362C: YLR266C: YCL055W: YKL005C: YNL097C: YNL135C: YCR093W: YKR064W: YGL096W: YNL161W: YER028C: YOL128C: YBR020W: YNR010W: YDR253C: YDR296W: YDL132W: YDR423C: YER148W: YER159C: YHL010C: YBR154C: YNL103W: YNL216W: YBR187W: YMR186W: YDL080C: YGL071W: YIL038C: YDL170W: YFR028C: YER184C: YGL035C: YLR228C: YPR186C: YNL289W: YPR030W: YDR310C: YLR347C: YGR233C: YDR485C: YLR141W: YIL122W: YGL127C: YDR026C: YDR147W: YPL089C: YPL049C: YDL108W: YOR066W: YPL038W: YDR492W: YDR169C: YOR047C: YOR083W: YDR406W: YKL179C: YLR113W: YEL063C: YOR304W: YJL173C: YDR223W: YMR037C: YMR039C: YML098W: YNL189W: YIR018W: YIR017C: YLR220W: YGL166W: YKL028W: YKL096W: YER045C: YDR055W: YER171W: YGL113W: YLR335W: YDL126C: YBL021C: YMR308C: YDR259C: YNR009W: YPL021W: YLR131C: YJR060W: YOR110W: YDL106C: YBR033W: YOR315W: YJR078W: YDL005C: YHR058C: YGR138C: YIL033C: YOR273C: YNL199C: YBR081C: YDL235C: YML099C: YLR032W: YIL143C: YHR041C: YOR359W: YMR270C: YMR182C: YPL007C: YGL106W: YOR174W: YBR198C: YDR333C: YNL236W: YER022W: YDL190C: YLL051C: YBL093C: YLR401C: YOR028C: YBR244W: YLR213C: YCL036W: YGL256W: YGR186W: YOL151W: YPL031C: YNL027W: YHR030C: YJL176C: YKL032C: YDL115C: YOR049C: YDR146C: YKR099W: YMR016C: YNL176C: YDR252W: YOR337W: YDR079C-A: YOR123C: YIL036W: YHR064C: YDR277C: YBR049C: YOR229W: YOR213C: YKL020C: YGL038C: YNL294C: YMR236W: YIL101C: YOL149W: YOR298C-A: YBL054W: YOR032C: YLR403W: YPL129W: YMR172W: YJL103C: YMR042W: YPR009W: YDR145W: YAL061W: YDL233W: YER174C: YDR392W: YKL062W: YNL023C: YPL016W: YOR172W: YGL110C: YDR034C: YPR104C: YKL203C: YBR150C: YKL125W: YGL133W: YPL033C: YJR066W: YBR278W: YNL167C: YMR243C: YPL202C: YPR070W: YDL013W: YGL107C: YDL048C: YGL060W: YGR044C: YMR005W: YNL098C: YPL128C: YOR113W: YMR228W: YGL162W: YBR151W: YPR156C: YFL031W: YHR190W: YGL237C: YGL073W: YMR021C: YML114C: YPR165W: YBL066C
YDR522C,YLR213C: YHR124W: YPL048W,YLR213C: YHR124W: YPL048W; YHR064C: YKL109W: YLR220W; YGL252C: YLR175W: YLR445W; YER064C: YBR154C: YJL089W; YER174C: YOR344C: YOL067C; YDR055W: YPL129W: YHR190W; YKL125W: YDR167W: YJL110C; YLR223C: YPR086W: YMR308C
YMR116C,YDR253C: YIL154C: YKR062W,YDR253C: YIL154C: YKR062W; YCL032W: YDR169C: YOL067C; YGL025C: YIR017C: YBL078C; YGL127C: YER068W: YNR007C; YMR243C: YNL097C: YPL177C; YGR243W: YDR423C: YGR005C; YBL103C: YPR036W-A: YGR249W; YBL021C: YPL021W: YPL031C: YJL103C: YMR042W: YOL108C: YHL027W; YDL115C: YPL230W: YDL005C; YHR064C: YCR097W: YMR136W; YDR121W: YBR278W: YDR259C; YHL031C: YJL176C: YGR246C; YPL037C: YOR153W: YMR227C; YAL021C: YJL089W: YKR034W; YMR308C: YNL135C: YIR037W: YBR047W: YGL237C: YJR094C; YMR039C: YDL165W: YOR113W; YGR048W: YDR167W: YOR140W; YDR460W: YHL020C: YIL033C; YMR043W: YDL106C: YER159C; YPR008W: YPL192C: YDR216W; YDR145W: YBR215W: YCR096C
YLR448W,YHL027W: YKR062W: YBL078C,YHL027W: YKR062W: YBL078C; YDL115C: YDR169C: YNR007C; YOL067C: YPL230W: YCL032W; YAL021C: YPL031C: YPL037C; YJL103C: YDR253C: YHR064C; YIR033W: YER088C: YIL033C; YPR008W: YDR216W: YIL154C; YIR017C: YLR175W: YGL127C; YNL025C: YLR013W: YPL192C: YLR451W: YNR052C: YDR335W: YDR296W: YJR066W: YER171W: YPR030W: YLR182W: YNL068C: YGR044C: YNL039W: YDR174W: YIR013C: YOR172W: YKL164C: YJL110C: YAL001C: YBR151W: YOR059C: YOR140W: YML028W: YPR065W: YDR098C: YKR034W: YOR174W: YDL126C: YER064C: YOR028C: YOR162C: YBR239C: YFR034C: YGL162W: YKR077W: YDR075W: YBL016W: YDL080C: YOL145C: YDR311W: YDR480W: YDR492W: YBR049C: YLR375W: YML114C: YBL085W: YDL190C: YBR289W: YPL049C: YGL111W: YGR104C: YHR006W: YKL062W: YGL060W: YNR009W: YMR039C: YHR124W: YNL027W: YMR023C: YEL063C: YJL176C: YHR071W: YNR003C: YDR463W: YPL250C: YER177W: YPL038W: YLL028W: YCR084C: YBL054W: YKL032C: YGR281W: YEL009C: YLR332W: YGR040W: YLR131C: YDR485C: YDR207C: YGL071W: YAL051W: YDL048C: YBR187W: YKL096W: YPL133C: YBR111W-A: YJL056C: YMR236W: YEL007W: YMR186W: YOL149W: YIR018W: YML007W: YOR358W: YPR133C: YDR252W: YLR047C: YDR202C: YGR209C: YMR043W: YIL101C: YOR352W: YNL021W: YNL229C: YPL033C: YLR223C: YLR228C: YNL216W: YPL021W: YGL104C: YER110C: YMR037C: YLR445W: YOL116W: YGR138C: YPL240C: YBR089C-A: YNL098C: YIL036W: YOR153W: YDL044C: YOR213C: YFR028C: YJL156C: YKL220C: YDR310C: YER111C: YKL020C: YPL122C: YLR213C: YJL078C: YBL005W: YLR335W: YGL166W: YMR005W: YCR106W: YOR047C: YPL048W: YGL107C: YNL236W: YOR380W: YER022W: YBR150C: YOR295W: YLR098C: YER148W: YPL075W: YHR084W: YGL105W: YOR359W: YDR147W: YDR121W: YCL036W: YGL043W: YNL023C: YKL112W: YLR214W: YMR228W: YCL055W: YLR401C: YHR143W-A: YLR014C: YKL203C: YGR186W: YBR244W: YLR266C: YOR273C: YIL143C: YLR399C: YPR052C: YPR124W: YDR501W: YNL176C: YLR362W: YNL103W: YML098W: YHR190W: YOR230W: YNL313C: YOR315W: YBR033W: YMR016C: YDL132W: YGL038C: YGR048W: YER040W: YJL124C: YDL020C: YDR096W: YGL110C: YOL108C: YGL106W: YGR246C: YJR094C: YLL051C: YBR047W: YGR249W: YGL073W: YBL103C: YBR170C: YLR220W: YMR280C: YOR049C: YMR243C: YER068W: YGL190C: YGR211W: YHL031C: YMR136W: YNL167C: YDL106C: YDR145W: YLR403W: YBR278W: YGL237C: YPR036W-A: YOR113W: YJL210W: YDL005C: YDR259C: YGL025C: YFL021W: YAL061W: YBL021C: YMR042W: YGR005C: YBR154C: YJR147W: YDR423C: YNL097C: YPL177C: YGL096W
YIL133C,YDL115C: YBL078C: YDR169C,YDL115C: YBL078C: YDR169C; YHL027W: YKR062W: YNR007C; YPL037C: YDR253C: YIL154C; YPL230W: YCL032W: YHR064C; YMR243C: YOL108C: YJL103C
YDL061C,YNL279W: YML007W: YDL070W,YNL279W: YML007W: YDL070W; YIL033C: YEL063C: YNL288W; YLR014C: YOL089C: YDR034C: YNL278W: YNL294C: YKL096W: YDR299W: YHR071W: YAL061W: YPR086W: YBR020W: YDL179W: YIR037W: YBL078C: YDR096W: YIL154C: YDR311W: YHR064C: YNR010W: YKL032C: YMR168C: YJL176C: YGR186W: YGL013C: YPL177C: YBR244W: YKL062W: YBR081C: YER130C: YNR003C: YPR008W: YIL056W: YJR147W: YMR005W: YGL096W: YPR013C: YGL073W: YNR007C: YBR112C: YMR186W: YPL230W: YDR406W: YLR266C: YHR030C: YLR220W: YLR071C: YBR111W-A: YER177W: YDL233W: YDL056W: YGR005C: YOR174W: YCL055W: YOL128C: YPR052C: YGR274C: YHR143W-A: YDR463W: YDR026C: YDR253C: YGL038C: YBR297W: YBL016W: YDR202C: YBR089C-A: YDR303C: YDL106C: YOR162C: YOR315W: YOR194C: YDR207C: YIL101C: YML051W: YOR059C: YPR168W: YKL028W: YHL010C: YKL058W: YOR113W: YLR214W: YPR065W: YJR078W: YOR337W: YKL020C: YJL078C: YER110C: YLR256W: YJL124C: YNL099C: YDR079C-A: YGL106W: YGL060W: YER114C: YER022W: YMR136W: YDL005C: YHL027W: YOL108C: YLL051C: YDR216W: YIR033W: YDR145W: YER088C: YCR084C: YOL152W: YDL235C: YDR169C: YER148W: YFL021W: YDR098C: YAL021C: YLR332W: YDL020C: YOL051W: YJR063W: YPL192C: YBR154C: YLR403W: YGL043W: YNL135C
