,top_1_combination,top_1_score,top_2_combination,top_2_score,top_3_combination,top_3_score,top_4_combination,top_4_score,top_5_combination,top_5_score
AT5G61380,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803168
AT2G01170,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT2G02570,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT1G22770,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT1G11210,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT2G40840,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT1G15670,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.6213173721601433,AT1G56650; AT5G54680,0.5778260147803205
AT3G15356,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT2G21130,AT1G56650; AT1G78080; AT5G54680,0.6605968101626716,AT1G78080; AT5G54680,0.6535539150237774,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.6213173721601452,AT1G56650; AT5G54680,0.5778260147803187
AT5G42900,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.653553915023781,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT1G01620,AT1G56650; AT1G78080; AT5G54680,0.6605968101626771,AT1G78080; AT5G54680,0.6535539150237755,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT1G63410,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237755,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT3G53420,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803168
AT1G28060,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.6213173721601488,AT1G56650; AT5G54680,0.5778260147803205
AT1G77380,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT5G64570,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT5G26570,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.621317372160147,AT1G56650; AT5G54680,0.5778260147803205
AT4G30460,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311368,AT3G17609; AT1G78080; AT5G54680,0.6213173721601433,AT1G56650; AT5G54680,0.5778260147803205
AT2G19450,AT1G56650; AT1G78080; AT5G54680,0.6605968101626735,AT1G78080; AT5G54680,0.6535539150237791,AT1G56650; AT3G17609; AT1G78080; AT5G54680,0.6439557032311349,AT3G17609; AT1G78080; AT5G54680,0.6213173721601433,AT1G56650; AT5G54680,0.5778260147803205
