,top_1_combination,top_1_score,top_2_combination,top_2_score,top_3_combination,top_3_score,top_4_combination,top_4_score,top_5_combination,top_5_score
AT1G22070,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT3G22830,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT1G63410,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT1G54570,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT1G22190,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT5G18670,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT1G15670,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT2G40340,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT4G16146,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT2G29490,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT1G64890,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT2G06850,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT2G16365,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT4G37320,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT3G27300,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT3G28510,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT1G27020,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT3G20810,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
AT1G78600,AT3G15170; AT5G56840,0.1277379794514163,AT4G14540; AT3G15170; AT5G56840,0.12727683151115848,AT4G14540; AT3G15170; AT5G56840; AT1G07900,0.11298124536316602,AT3G15170; AT5G56840; AT1G07900,0.1106755056618769,AT3G15170; AT5G56840; AT2G18120,0.06963333897893091
