,gene_length
AT5G04970,3083.0
AT2G38700,3572.0
AT1G71100,1663.0
AT4G37370,2004.0
AT5G37175,769.0
AT2G30250,2131.0
AT2G07520,669.0
AT1G16110,2711.0
AT2G47270,899.0
AT4G38360,2880.5
AT1G73890,756.0
AT1G48670,2434.5
AT4G07493,477.0
AT1G21000,1733.5
AT5G23770,2437.0
AT4G26055,741.0
AT1G11210,1331.0
AT2G36835,1953.0
AT1G37160,1869.0
AT1G62810,4393.0
AT1G05900,2873.5
AT1G30570,3284.0
AT5G49000,1329.5
AT3G13790,3010.0
AT4G23000,5760.5
AT5G57690,3002.0
AT4G39590,1429.0
AT5G34920,631.0
AT4G06524,2527.0
AT3G01060,2198.0
AT5G44670,2604.0
AT1G23670,2623.0
AT5G32628,1203.0
AT5G27760,1622.0
AT5G05620,2826.0
AT5G63225,635.0
AT3G12570,2456.0
AT1G66852,333.0
AT4G08040,2263.0
AT3G30230,2554.0
AT2G12650,5489.0
AT5G43700,1537.0
AT5G54330,1071.0
AT5G58180,1929.5
AT2G20710,1879.0
AT5G57760,553.0
AT3G10050,3324.0
AT4G18270,3435.0
AT1G31240,1071.0
AT1G57630,713.0
AT1G75390,1311.0
AT1G08110,2625.0
AT2G33000,2402.0
AT2G29830,1189.0
AT5G55530,3173.0
AT2G14660,759.0
AT5G29029,1458.0
AT4G16695,1513.0
AT1G78840,1628.5
AT5G37474,444.0
AT1G61250,3147.5
AT3G17750,5018.0
ATCG00700,132.0
AT1G33817,1782.0
AT5G52630,1959.0
AT2G33150,3923.0
AT5G22765,482.0
AT1G77870,1378.0
AT2G24430,3046.5
AT2G13890,3489.0
AT4G04070,3067.0
AT1G32010,2700.0
AT5G44370,2925.0
AT5G24920,763.0
AT3G05090,5413.0
AT3G33130,3498.0
AT3G09035,1571.0
AT3G55150,2160.0
AT5G39880,1458.0
AT4G38390,2605.0
AT3G11745,966.0
AT4G00005,357.0
AT1G80060,3197.0
AT3G57800,3973.5
AT5G25205,4982.0
AT4G37410,2149.0
AT5G33202,1407.0
AT5G04960,2281.0
AT4G01980,909.0
AT4G38950,5764.0
AT2G04000,576.0
AT3G16970,423.0
AT5G07550,933.0
AT4G04745,830.0
AT3G43040,1008.0
AT5G54850,2193.0
AT2G36400,3028.0
AT3G06690,1400.0
AT3G51710,1864.0
AT2G20250,3313.0
AT5G25300,2836.0
AT2G42350,1300.0
AT2G13275,424.0
AT1G18760,675.0
AT1G62440,2361.0
AT2G21385,2286.0
AT2G25565,1234.0
AT1G48640,2861.0
AT3G21130,1104.0
AT5G61240,2950.5
AT1G70040,899.0
AT2G26240,1425.0
AT4G12290,3042.0
AT4G13300,3524.0
AT4G22305,1870.5
AT2G43261,1426.0
AT5G05850,2370.0
AT4G08450,5647.5
AT2G07784,837.0
AT5G35657,2763.0
AT1G41650,537.0
AT1G75820,3628.0
AT1G44641,194.0
AT2G13980,516.0
AT3G53980,795.5
AT2G13905,581.0
AT4G40040,1654.0
AT3G20330,2629.5
AT4G33666,488.0
AT1G18485,3222.0
AT1G12080,949.5
AT5G42450,1857.0
AT1G13650,2024.5
AT3G05770,2025.5
AT5G29568,1003.0
AT3G12730,1397.5
AT1G40106,2427.0
AT3G14570,10365.0
AT1G28160,809.0
AT1G14690,3644.0
AT4G16590,4109.0
AT4G20580,1013.0
AT4G02530,2018.0
AT1G47330,2856.0
AT5G34925,804.0
AT1G36395,754.0
AT3G07340,2853.0
AT1G74630,2042.5
AT5G45120,1476.0
AT5G67330,2632.0
AT4G28490,3782.0
AT5G30360,874.0
AT4G18395,546.0
AT4G06509,3438.0
AT1G67400,3274.0
AT1G80370,3398.0
AT5G57110,8107.0
AT3G48460,1835.0
AT2G38130,2387.0
AT5G56330,2460.0
AT2G05567,690.0
AT2G07695,1898.0
AT4G23570,3187.0
AT5G20640,1126.0
AT4G15830,1501.0
AT2G17640,2418.0
AT5G61220,895.0
AT2G19140,3801.0
AT4G27440,1851.0
AT1G01453,1362.5
AT3G43148,3129.0
AT4G37560,2004.5
AT4G19630,761.0
AT1G76190,762.0
AT4G27160,768.0
AT3G49650,4943.0
AT1G32660,1341.0
AT4G02720,1804.0
AT1G78230,2713.0
AT3G19780,4613.0
AT3G03410,396.0
AT2G02260,1307.0
AT3G10310,5195.0
AT5G46060,1383.0
AT4G01703,114.0
AT1G36360,5702.0
AT2G19830,1757.5
AT1G17500,5221.5
AT4G07583,640.0
AT2G15190,4651.0
AT3G42490,951.0
AT3G56540,1070.0
AT1G28660,1809.0
AT3G54560,1470.0
AT5G54770,1814.0
AT2G47840,815.0
AT3G58240,1369.0
AT3G01660,1439.0
AT1G45231,3505.0
AT4G19380,4121.0
AT5G53720,391.0
AT2G07420,4365.0
AT3G32940,3007.0
AT4G02360,717.0
AT1G73130,3239.0
AT5G43500,4125.0
AT1G66210,3313.0
AT2G40925,1335.0
AT1G60310,1550.0
AT2G09862,510.0
AT3G10160,5233.0
AT1G32460,1209.0
AT4G08230,1887.0
AT5G58200,2449.0
AT3G49370,3455.0
AT5G36450,604.0
AT1G54720,924.0
AT3G27027,459.0
AT1G59850,1753.0
AT3G30832,1590.0
AT5G01420,1491.0
