GeneID,#Name,Accession,Start,Stop,Strand,Locus,Locus tag,Protein product,Length,Protein Name
939978,chromosome,NC_000964.3,410,1750,-,dnaA,BSU00010,NP_387882.1,446,chromosomal replication initiator informational ATPase
939970,chromosome,NC_000964.3,1939,3075,-,dnaN,BSU00020,NP_387883.1,378,DNA polymerase III (beta subunit)
939444,chromosome,NC_000964.3,3206,3421,-,rlbA,BSU00030,NP_387884.1,71,RNA binding protein involved in ribosome maturation
939454,chromosome,NC_000964.3,3437,4549,-,recF,BSU00040,NP_387885.1,370,"RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding"
939466,chromosome,NC_000964.3,4567,4812,-,remB,BSU00050,NP_387886.2,81,regulator of extracellular matrix formation
939456,chromosome,NC_000964.3,4867,6783,-,gyrB,BSU00060,NP_387887.1,638,DNA gyrase (subunit B)
940002,chromosome,NC_000964.3,6994,9459,-,gyrA,BSU00070,NP_387888.1,821,DNA gyrase (subunit A)
939969,chromosome,NC_000964.3,14847,15794,-,yaaC,BSU00080,NP_387889.1,315,conserved protein of unknown function
938032,chromosome,NC_000964.3,15915,17381,-,guaB,BSU00090,NP_387890.1,488,inosine-monophosphate dehydrogenase
940000,chromosome,NC_000964.3,17534,18865,-,dacA,BSU00100,NP_387891.1,443,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)
939988,chromosome,NC_000964.3,19062,19946,-,pdxS,BSU00110,NP_387892.1,294,"glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5\\'-phosphate synthase complex, synthase subunit"
939971,chromosome,NC_000964.3,19968,20558,-,pdxT,BSU00120,NP_387893.1,196,"glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5\\'-phosphate synthase complex, glutamine amidotransferase subunit PdxT"
939994,chromosome,NC_000964.3,20880,22157,-,serS,BSU00130,NP_387894.1,425,seryl-tRNA synthetase
936793,chromosome,NC_000964.3,22496,23149,-,dck,BSU00140,NP_387895.1,217,deoxyadenosine/deoxycytidine kinase
937037,chromosome,NC_000964.3,23146,23769,-,dgk,BSU00150,NP_387896.1,207,deoxyguanosine kinase
937029,chromosome,NC_000964.3,23868,25151,-,sleL,BSU00160,NP_387897.1,427,spore peptidoglycan N-acetylglucosaminidase
937036,chromosome,NC_000964.3,25221,25766,-,yaaI,BSU00170,NP_387898.1,181,putative amidase (isochorismatase family)
937989,chromosome,NC_000964.3,25852,26337,-,tadA,BSU00180,NP_387899.1,161,tRNA specific adenosine A34 deaminase
936899,chromosome,NC_000964.3,26814,28505,-,dnaX,BSU00190,NP_387900.2,563,DNA polymerase III subunit tau subunit
937027,chromosome,NC_000964.3,28529,28852,-,ebfC,BSU00200,NP_387901.1,107,nucleoid associated protein
937197,chromosome,NC_000964.3,28867,29463,-,recR,BSU00210,NP_387902.1,198,recA filament-DNA complex stabilisation factor
937026,chromosome,NC_000964.3,29481,29705,-,yaaL,BSU00220,NP_387903.1,74,conserved protein of unknown function
937025,chromosome,NC_000964.3,29772,30035,-,bofA,BSU00230,NP_387904.2,87,inhibitor of the pro-sigma(K) processing machinery
937016,chromosome,NC_000964.3,35531,35725,-,csfB,BSU00240,NP_387905.1,64,forespore-specific anti-sigma factor
937019,chromosome,NC_000964.3,35845,36459,-,xpaC,BSU00250,NP_387906.1,204,putative phosphatase
