TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1009021950	AT3G26680	AT3G26680.3	protein_coding	Involved in a SNM-dependent recombinational  repair process of oxidatively induced DNA damage.	SENSITIVE TO NITROGEN MUSTARD 1; SNM1	 nucleus, 5'-3' DNA exonuclease activity, DNA repair, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, damaged DNA binding, double-strand break repair via nonhomologous end joining, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, interstrand cross-link repair, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2090831	AT3G26680	AT3G26680.1	protein_coding	involved in a SNM-dependent recombinational  repair process of oxidatively induced DNA damage.	ATSNM1; SENSITIVE TO NITROGEN MUSTARD 1; SNM1	 nucleus, 5'-3' DNA exonuclease activity, DNA repair, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, damaged DNA binding, double-strand break repair via nonhomologous end joining, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, interstrand cross-link repair, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2169984	AT5G65720	AT5G65720.1	protein_coding	Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).	ARABIDOPSIS THALIANA NITROGEN FIXATION S (NIFS)-LIKE 1; ATNFS1; ATNIFS1; NFS1; NIFS1; NITROGEN FIXATION S (NIFS)-LIKE 1; NITROGEN FIXATION S HOMOLOG 1	 chloroplast, mitochondrion, ATP binding, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, [2Fe-2S] cluster assembly, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cysteine desulfurase activity, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, iron-sulfur cluster assembly, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, protein binding, pyridoxal phosphate binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:2024674	AT1G02860	AT1G02860.1	protein_coding	Encodes a ubiquitin E3 ligase with RING and SPX domains that is involved in mediating immune responses and mediates degradation of PHT1s at plasma membranes.  Targeted by MIR827. Ubiquitinates PHT1;3, PHT1;2, PHT1;1/AtPT1 and PHT1;4/AtPT2.	BAH1; BENZOIC ACID HYPERSENSITIVE 1; NITROGEN LIMITATION ADAPTATION; NLA; SYG1	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, gynoecium, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant-type hypersensitive response, plasma membrane, pollen, protein binding, protein ubiquitination, receptacle, regulation of salicylic acid metabolic process, response to benzoic acid, response to nitrate, response to salicylic acid, root, rosette leaf, salicylic acid biosynthetic process, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, systemic acquired resistance, ubiquitin-protein transferase activity, vascular leaf, vascular leaf senescent stage	true
Gene:2009599	AT1G53310	AT1G53310.1	protein_coding	Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.Plays an important role in carbon and nitrogen metabolism.	ATPEPC1; ATPPC1; PEP(PHOSPHOENOLPYRUVATE) CARBOXYLASE 1; PEPC1; PHOSPHOENOLPYRUVATE CARBOXYLASE 1; PPC1	 cytoplasm, apoplast, vascular leaf, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, cellular response to phosphate starvation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf development, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phosphoenolpyruvate carboxylase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, protein tetramerization, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, tricarboxylic acid cycle, vascular leaf, vascular leaf senescent stage	true
Gene:6532557257	AT5G28050	AT5G28050.3	protein_coding	Specifically deaminates (de)guanosine to produce xanthosine with high specificity, which is further converted to xanthine, a key intermediate in purine metabolism and  nitrogen recycling.		 extracellular region, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, extracellular region, flower, flower pedicel, flowering stage, guanosine deaminase activity, guard cell, hydrolase activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, purine nucleoside catabolic process, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:1009021231	AT1G53310	AT1G53310.2	protein_coding	Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.Plays an important role in carbon and nitrogen metabolism.	ATPEPC1; ATPPC1; PEP(PHOSPHOENOLPYRUVATE) CARBOXYLASE 1; PEPC1; PHOSPHOENOLPYRUVATE CARBOXYLASE 1; PPC1	 cytoplasm, apoplast, vascular leaf, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, cellular response to phosphate starvation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf development, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phosphoenolpyruvate carboxylase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, protein tetramerization, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, tricarboxylic acid cycle, vascular leaf, vascular leaf senescent stage	true
Gene:6532552499	AT5G57390	AT5G57390.2	protein_coding	Encodes a member of the AP2 family of transcriptional regulators. May be involved in germination and seedling growth. Mutants are resistant to ABA analogs and are resistant to high nitrogen concentrations.essential for the developmental  transition between the embryonic and vegetative  phases in plants. Overexpression results in the formation of somatic embryos on cotyledons. It is also required to maintain high levels of PIN1 expression at the periphery of the meristem and modulate local auxin production in the central region of the SAM which underlies phyllotactic transitions. Acts redundantly with PLT3 and 7 in lateral root pattern formation.		 nucleus, DNA binding, DNA-binding transcription factor activity, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.12 twelve leaves visible stage, bud, callus formation, cauline leaf, collective leaf structure, cotyledon, dry seed stage, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, lateral root formation, leaf apex, leaf phyllotactic patterning, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phyllotactic patterning, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant organ morphogenesis, plant ovule, positive regulation of embryonic development, post-embryonic development, regulation of DNA-templated transcription, root, root apical meristem, root development, seed, seed germination, seed imbibition stage, sepal, shoot apex, shoot system, transcription cis-regulatory region binding, vascular leaf	false
Gene:6532556858	AT1G25550	AT1G25550.2	protein_coding	Member of HHO/HRS GARP type transcriptional repressor family. Involved in Pi uptake and Pi starvation signaling. Transcriptional repressors that functions with other NIGT genes as an important hub in the nutrient signaling network associated with the acquisition and use of nitrogen and phosphorus.	HHO3; HRS1 HOMOLOG3; NIGT1.1; NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW PI-ELICITED PRIMARY ROOT SHORTENING 1.1	 nucleus, DNA binding, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to hypoxia, cellular response to phosphate starvation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, protein binding, regulation of DNA-templated transcription, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005714043	AT4G15530	AT4G15530.2	protein_coding	Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues.	PPDK; PYRUVATE ORTHOPHOSPHATE DIKINASE	 chloroplast, cytosol, seed, cultured plant cell, pollen, L mature pollen stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, pollen, pollen tube cell, pyruvate metabolic process, pyruvate, phosphate dikinase activity, rosette leaf, seed, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
